concept_id,canonical_name,medical_category,severity_weight,emergency_weight,urgent_weight,danger_sign,alias,alias_type,status
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"gapalanakit lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,paminsa,synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ga sakit akon lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ga sakit lawas akon",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ga sakit lawas gid ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ga sakit lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ga sakit lawas man",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ga sakit lawas subong",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"gasakit akon lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"gasakit lawas akon",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"gasakit lawas gid ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"gasakit lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"gasakit lawas man",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"gasakit lawas subong",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ginamasakit ang lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ginasakit akon lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ginasakit lawas akon",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ginasakit lawas gid ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ginasakit lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ginasakit lawas man",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"ginasakit lawas subong",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"hapdi akon lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"hapdi lawas akon",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"hapdi lawas gid ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"hapdi lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"hapdi lawas man",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"hapdi lawas subong",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit akon lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit ang lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit katawan",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit lawas akon",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit lawas gid ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit lawas man",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit lawas subong",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit akon lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit gid akon lawas",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit gid lawas akon",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit gid lawas gid ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit gid lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit gid lawas man",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit gid lawas subong",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit lawas akon",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit lawas gid ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit lawas man",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit lawas subong",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit sa lawas ko",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit ng katawan",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"pananakit ng katawan",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"masakit ang katawan",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,body_pain,concept_id,active
headache,Headache,neurological,2,0,2,no,headache,canonical,active
headache,Headache,neurological,2,0,2,no,cephalgia,synonym,active
headache,Headache,neurological,2,0,2,no,"head pain",synonym,active
headache,Headache,neurological,2,0,2,no,migraine,synonym,active
headache,Headache,neurological,2,0,2,no,"sakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"gapalanakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"masakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,lipong,synonym,active
headache,Headache,neurological,2,0,2,no,"gasakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"lipong ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"ginahampak ulo ko",synonym,active
headache,Headache,neurological,2,0,2,no,"labad ang ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"labad ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"masakit ang ulo ko",synonym,active
headache,Headache,neurological,2,0,2,no,"sakit sa ulo ko",synonym,active
headache,Headache,neurological,2,0,2,no,"sakit sa ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"aking ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"ginasakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"sakit sang ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"ulo masakit",synonym,active
headache,Headache,neurological,2,0,2,no,"nagasakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,migren,synonym,active
headache,Headache,neurological,2,0,2,no,"ginasakit ang ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"may sakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"sakit ulo gid",synonym,active
headache,Headache,neurological,2,0,2,no,"masakit ulo ko",synonym,active
headache,Headache,neurological,2,0,2,no,"gapasakit ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"sakit ng ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"masakit ang ulo",synonym,active
headache,Headache,neurological,2,0,2,no,"sumasakit ang ulo",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"sore throat",canonical,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"throat pain",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,pharyngitis,synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"painful throat",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"sakit tutunlan",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"hapdi tutunlan",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"masakit tutunlan",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"mapula tungod ko",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"hapdi tutunlan ko",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"masakit ang lalamunan",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,"sakit ng lalamunan",synonym,active
sore_throat,"Sore Throat",respiratory,2,0,1,no,sore_throat,concept_id,active
nausea,Nausea,gastrointestinal,2,0,1,no,nausea,canonical,active
nausea,Nausea,gastrointestinal,2,0,1,no,queasy,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"feel like vomiting",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"feeling nauseous",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,ginakulba,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,kulba,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"ginakulba ko",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"daw magasuka",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"ginasuka ko",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"nahilo tiyan",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,ginasuka-uka,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,ginakasukaon,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,ginapalanuka,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"ginapalanuka ko",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,kasukaon,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"nahihilo tiyan",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"ginabalik tiyan",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,palanuka,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"gana magasuka",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"daw masuka ako",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"ginasuka-suka ang pamatyagan",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"daw masuka",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,nahilo,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,nauseous,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,ginasuka-suka,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"daw magkasuka",synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,nasusuka,synonym,active
nausea,Nausea,gastrointestinal,2,0,1,no,"nakakaramdam ng pagduduwal",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,vomiting,canonical,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,vomit,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,emesis,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"throwing up",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"naga suka",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,nagsuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,suka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,ginsuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,gasuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,ginasuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,nagasuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,gapalanuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"doc ginasuka ko",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,nagsusuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,sumuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,ginagsuka,synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"nagasuka ako",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"permi nagasuka",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"naga suka gid",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"suka man",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,"nagsuka ko",synonym,active
vomiting,Vomiting,gastrointestinal,3,0,3,no,pagsusuka,synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"persistent vomiting",canonical,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"continuous vomiting",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"cannot keep fluids down",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"intractable vomiting",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"pirmi naga suka",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"walla gid mahapus suka",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"padayon naga suka",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"paulit-ulit na pagsusuka",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,"hindi tumitigil ang pagsusuka",synonym,active
persistent_vomiting,"Persistent Vomiting",gastrointestinal,6,0,6,no,persistent_vomiting,concept_id,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,diarrhea,canonical,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"loose stools",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"watery stool",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"loose bowel movement",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"naga tae",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,tae-tae,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"malusaw tae",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,nagakalibang,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"3 ka adlaw ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"5 ka adlaw ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"bag-o lang ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,diarrea,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"doc ginadudulom ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"dugay na ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"gahapon ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,gakalibanga,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko 3 ka adlaw",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko 5 ka adlaw",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko bag-o lang",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko dugay na",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko gahapon",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko kagapon",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko semana na",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudul-om ko subong lang",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginadudulom ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,ginatulo,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"kagapon ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,kalibang,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,kalibanga,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,lbm,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"may ginakalibanga",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"semana na ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"subong lang ginadudul-om ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"tatae ng madalas",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,tulo,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,tulo-tulo,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,ginadudul-om,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,ginadudulom,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,dul-om,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,ginakalibanga,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"ginakalibanga ko",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,nagakalibanga,synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"naga tae gid",synonym,active
diarrhea,Diarrhea,gastrointestinal,2,0,2,no,"tae man",synonym,active
