emotion,phrase,language
curious,Hindi ako maka-login sa account ko,fil
relieved,Salamat okay na ang login,fil
relieved,Salamat guid okay na,hil
excited,Excited na mag-book ng appointment,fil
excited,Excited na ko mag konsulta,hil
disappointed,Hindi nag-work ang appointment ko,fil
disappointed,Indi nag-work ang appointment ko,hil
nervous,Kinakabahan ako sa video consult,fil
nervous,Kinakabahan ko sa video konsultasyon,hil
afraid,Basi delikado ang sintomas ko,fil
happy,Maayo na ang tanan subong,hil
happy,Okay na ang tanan,fil
happy,malipayon ko,hil
happy,okay lang ko,hil
relieved,okay lang,hil
tired,ginakapoy ko,hil
sad,nasubo ko,hil
anxious,kulbaan ko,hil
frustrated,nabudlayan ko,hil
stressed,na-stress ko,hil
stressed,na stress ko,hil
angry,akig ko,hil
irritated,lain gid ya,hil
irritated,lain gid,hil
uncertain,indi ko kabalo,hil
uncertain,wala ko kasabot,hil
confused,ano ni,hil
confused,ano ini,hil
thankful,salamat gid,hil
mixed,pero nahadlok ko,hil
mixed,pero kapoy ko,hil
uncertain,indi ko gusto,hil
thankful,amo gid,hil
thankful,oo gid,hil
surprised,grabe,hil
sad,hay,hil
happy,hahaha,hil
sad,naguol ko,hil
sad,naghuoy ko,hil
sad,gusto ko maghibi,hil
sad,nagkasubo ko,hil
sad,subo gid ko,hil
sad,subo gid ya,hil
sad,malain gid pamatyagon ko,hil
sad,budlay gid ang adlaw ko,hil
sad,wala laman ko,hil
sad,feeling empty ko,hil
sad,broken heart ko,hil
sad,heartbroken ko,hil
sad,hay grabe,hil
sad,hay grabe ya,hil
sad,sigh,hil
lonely,miss ko ang pamilya,hil
lonely,miss ko sila,hil
lonely,miss ko ang balay,hil
lonely,wala ko sang kaistoryahan,hil
lonely,isa lang gid ko,hil
lonely,daw wala ko upod,hil
worried,nagabalaka ko,hil
worried,ginakabalaka ko,hil
worried,basi may problema,hil
worried,basi delikado,hil
worried,kabalaka gid ko,hil
worried,nabalaka gid ko subong,hil
anxious,kinabahan ko,hil
anxious,kinabahan ko sa konsultasyon,hil
anxious,kulba gid ko subong,hil
anxious,daw indi ko kaya,hil
anxious,indi ko kaya na,hil
afraid,nahadlok ko magpa check up,hil
afraid,nahadlok ko sa ospital,hil
afraid,takot gid ko,hil
afraid,medyo nahadlok ko,hil
stressed,sobra nga stress,hil
stressed,sobra stress ko,hil
stressed,stress gid ya,hil
stressed,grabeng problema,hil
stressed,daw indi ko kaya tanan,hil
tired,pagod na gid ko ya,hil
tired,kapoy na ko sa tanan,hil
tired,ginakapoy na gid ko,hil
tired,exhausted gid ko,hil
frustrated,badtrip ko,hil
frustrated,bad trip ko,hil
frustrated,indi gid mag work,hil
frustrated,indi gid mag function,hil
frustrated,tama na ya,hil
frustrated,tama na,hil
irritated,nainis gid ko,hil
irritated,nainis ko gid ya,hil
irritated,astang grabe,hil
irritated,asta grabe,hil
angry,akig na gid ko,hil
angry,akig gid ya,hil
angry,galit na ko,hil
angry,sobra akig ko,hil
disappointed,nadismaya gid ko,hil
disappointed,bitin gid,hil
disappointed,indi ko ginalauman,hil
hopeless,wala gid ko paglaum,hil
hopeless,daw wala na solusyon,hil
hopeless,walang saysay,hil
hopeless,wala sense,hil
hopeless,indi ko gusto magpadayon,hil
grief,naglubong ang tatay ko,hil
grief,namatay ang lola ko,hil
grief,nawala ang mahal ko,hil
embarrassed,nahuya gid ko,hil
embarrassed,huya gid ko,hil
embarrassed,nakahuya ko,hil
ashamed,may hiya ko,hil
ashamed,nahuya ko magpa check,hil
guilty,may guilt ko,hil
guilty,guilty gid ko,hil
guilty,kasalanan ko ini,hil
jealous,naiinggit ko,hil
jealous,selos ko,hil
jealous,inggit ko sa ila,hil
bored,wala gid ko gana,hil
bored,bored gid ko,hil
bored,indi ko gusto maghimo,hil
confused,naglibog ko,hil
confused,libog ko,hil
confused,ano ah,hil
confused,anu ah,hil
confused,ano ni ya,hil
uncertain,indi ko sure,hil
uncertain,di ko sure,hil
uncertain,hindi ko alam,hil
uncertain,indi ko maintindihan,hil
uncertain,wala ko kasabot gid,hil
happy,lipay gid ko,hil
happy,masadya gid ko,hil
happy,nami gid ang pamatyag ko,hil
happy,sobra lipay ko,hil
happy,hahaha grabe,hil
thankful,salamat kaayo gid,hil
thankful,damo gid nga salamat,hil
thankful,thank you gid kaayo,hil
thankful,salamat sa bulig gid,hil
relieved,ginhawa na gid ko,hil
relieved,okay na gid tanan,hil
relieved,maayo na gid,hil
excited,sabik na gid ko,hil
excited,excited gid ya,hil
excited,daw indi ko makahulat,hil
surprised,grabe gid ya,hil
surprised,grabe kaayo,hil
surprised,wow gid,hil
surprised,nagulat gid ko,hil
affectionate,miss ko kamo,hil
affectionate,gihigugma ko kamo,hil
affectionate,malambing ko subong,hil
mixed,pero ginakulbaan ko,hil
mixed,pero nabalaka ko,hil
mixed,pero sad ko,hil
mixed,pero akig ko,hil
mixed,pero indi ko gusto,hil
mixed,okay lang pero nahadlok,hil
mixed,okay pero sad,hil
panic,buligi ko daw,hil
panic,tabangi ko daw,hil
panic,kinahanglan ko sang dulungan,hil
panic,ano himuon ko na,hil
panic,ano na himuon ko,hil
panic,daw wala ko kabalo,hil
pain,gasakit lawas ko,hil
pain,masakit gid ang ulo ko,hil
pain,sakit gid ang tiyan ko,hil
sick,may sipon ko,hil
sick,may ubo ko,hil
sick,gasuka ko subong,hil
sick,daw may hilanat ko,hil
overwhelmed,daw wala na ko gana,hil
overwhelmed,wala na ko gana sa tanan,hil
overwhelmed,sobra nga problema,hil
thankful,amo gid salamat,hil
thankful,oo gid salamat,hil
thankful,sige salamat,hil
uncertain,indi ko gusto pero,hil
uncertain,indi gid ko gusto,hil
uncertain,wala ko gusto,hil
happy,sige lang ko,hil
happy,medyo okay lang,hil
happy,medyo okay,hil
frustrated,yawa,hil
frustrated,bwesit na,hil
worried,d nko kaginhawa,hil
worried,budlay ginhawa,hil
afraid,d nko mahadlok,hil
sad,d ko kaya,hil
sad,wla ko gana,hil
confused,d ko kasabot,hil
anxious,d ko mapanatag,hil
tired,wla ko kusog,hil
stressed,grabeng stress gid,hil
lonely,wla ko storya,hil
happy,amo man,hil
happy,oo man,hil
thankful,amo gid man,hil
mixed,pero man,hil
mixed,pero gid,hil
sad,indi man,hil
worried,basi lang,hil
curious,ano man ini,hil
curious,paano man,hil
happy,i'm happy with login,en
happy,i'm happy with sign in,en
happy,i'm happy with my account,en
happy,i'm happy with appointment,en
happy,i'm happy with booking,en
happy,i'm happy with password,en
happy,i'm happy with medconnect,en
happy,i'm happy with the website,en
happy,i'm happy with registration,en
happy,i'm happy about my appointment,en
happy,i'm happy about my health,en
happy,i'm happy about my records,en
happy,so i'm happy,en
happy,i'm happy so,en
happy,very i'm happy,en
happy,i'm happy very,en
happy,really i'm happy,en
happy,i'm happy really,en
happy,super i'm happy,en
happy,i'm happy super,en
happy,extremely i'm happy,en
happy,i'm happy extremely,en
happy,quite i'm happy,en
happy,i'm happy quite,en
happy,i'm feeling better with login,en
happy,i'm feeling better with sign in,en
happy,i'm feeling better with my account,en
happy,i'm feeling better with appointment,en
happy,i'm feeling better with booking,en
happy,i'm feeling better with password,en
happy,i'm feeling better with medconnect,en
happy,i'm feeling better with the website,en
happy,i'm feeling better with registration,en
happy,i'm feeling better about my appointment,en
happy,i'm feeling better about my health,en
happy,i'm feeling better about my records,en
happy,so i'm feeling better,en
happy,i'm feeling better so,en
happy,very i'm feeling better,en
happy,i'm feeling better very,en
happy,really i'm feeling better,en
happy,i'm feeling better really,en
happy,super i'm feeling better,en
happy,i'm feeling better super,en
happy,extremely i'm feeling better,en
happy,i'm feeling better extremely,en
happy,quite i'm feeling better,en
happy,i'm feeling better quite,en
happy,everything is okay with login,en
happy,everything is okay with sign in,en
happy,everything is okay with my account,en
happy,everything is okay with appointment,en
happy,everything is okay with booking,en
happy,everything is okay with password,en
happy,everything is okay with medconnect,en
happy,everything is okay with the website,en
happy,everything is okay with registration,en
happy,everything is okay about my appointment,en
happy,everything is okay about my health,en
happy,everything is okay about my records,en
happy,so everything is okay,en
happy,everything is okay so,en
happy,very everything is okay,en
happy,everything is okay very,en
happy,really everything is okay,en
happy,everything is okay really,en
happy,super everything is okay,en
happy,everything is okay super,en
happy,extremely everything is okay,en
happy,everything is okay extremely,en
happy,quite everything is okay,en
happy,everything is okay quite,en
happy,i'm doing great with login,en
happy,i'm doing great with sign in,en
happy,i'm doing great with my account,en
happy,i'm doing great with appointment,en
happy,i'm doing great with booking,en
happy,i'm doing great with password,en
happy,i'm doing great with medconnect,en
happy,i'm doing great with the website,en
happy,i'm doing great with registration,en
happy,i'm doing great about my appointment,en
happy,i'm doing great about my health,en
happy,i'm doing great about my records,en
happy,so i'm doing great,en
happy,i'm doing great so,en
happy,very i'm doing great,en
happy,i'm doing great very,en
happy,really i'm doing great,en
happy,i'm doing great really,en
happy,super i'm doing great,en
happy,i'm doing great super,en
happy,extremely i'm doing great,en
happy,i'm doing great extremely,en
happy,quite i'm doing great,en
happy,i'm doing great quite,en
happy,feeling good today,en
happy,feeling good today with login,en
happy,feeling good today with sign in,en
happy,feeling good today with my account,en
happy,feeling good today with appointment,en
happy,feeling good today with booking,en
happy,feeling good today with password,en
happy,feeling good today with medconnect,en
happy,feeling good today with the website,en
happy,feeling good today with registration,en
happy,feeling good today about my appointment,en
happy,feeling good today about my health,en
happy,feeling good today about my records,en
happy,so feeling good today,en
happy,feeling good today so,en
happy,very feeling good today,en
happy,feeling good today very,en
happy,really feeling good today,en
happy,feeling good today really,en
happy,super feeling good today,en
happy,feeling good today super,en
happy,extremely feeling good today,en
happy,feeling good today extremely,en
happy,quite feeling good today,en
happy,feeling good today quite,en
happy,so happy with login,en
happy,so happy with sign in,en
happy,so happy with my account,en
happy,so happy with appointment,en
happy,so happy with booking,en
happy,so happy with password,en
happy,so happy with medconnect,en
happy,so happy with the website,en
happy,so happy with registration,en
happy,so happy about my appointment,en
happy,so happy about my health,en
happy,so happy about my records,en
happy,so so happy,en
happy,so happy so,en
happy,very so happy,en
happy,so happy very,en
happy,really so happy,en
happy,so happy really,en
happy,super so happy,en
happy,so happy super,en
happy,extremely so happy,en
happy,so happy extremely,en
happy,quite so happy,en
happy,so happy quite,en
happy,great day,en
happy,great day with login,en
happy,great day with sign in,en
happy,great day with my account,en
happy,great day with appointment,en
happy,great day with booking,en
happy,great day with password,en
happy,great day with medconnect,en
happy,great day with the website,en
happy,great day with registration,en
happy,great day about my appointment,en
happy,great day about my health,en
happy,great day about my records,en
happy,so great day,en
happy,great day so,en
happy,very great day,en
happy,great day very,en
happy,really great day,en
happy,great day really,en
happy,super great day,en
happy,great day super,en
happy,extremely great day,en
happy,great day extremely,en
happy,quite great day,en
happy,great day quite,en
happy,wonderful,en
happy,wonderful with login,en
happy,wonderful with sign in,en
happy,wonderful with my account,en
happy,wonderful with appointment,en
happy,wonderful with booking,en
happy,wonderful with password,en
happy,wonderful with medconnect,en
happy,wonderful with the website,en
happy,wonderful with registration,en
happy,wonderful about my appointment,en
happy,wonderful about my health,en
happy,wonderful about my records,en
happy,so wonderful,en
happy,wonderful so,en
happy,very wonderful,en
happy,wonderful very,en
happy,really wonderful,en
happy,wonderful really,en
happy,super wonderful,en
happy,wonderful super,en
happy,extremely wonderful,en
happy,wonderful extremely,en
happy,quite wonderful,en
happy,wonderful quite,en
happy,all good,en
happy,all good with login,en
happy,all good with sign in,en
happy,all good with my account,en
happy,all good with appointment,en
happy,all good with booking,en
happy,all good with password,en
happy,all good with medconnect,en
happy,all good with the website,en
happy,all good with registration,en
happy,all good about my appointment,en
happy,all good about my health,en
happy,all good about my records,en
happy,so all good,en
happy,all good so,en
happy,very all good,en
happy,all good very,en
happy,really all good,en
happy,all good really,en
happy,super all good,en
happy,all good super,en
happy,extremely all good,en
happy,all good extremely,en
happy,quite all good,en
happy,all good quite,en
happy,much better now,en
happy,much better now with login,en
happy,much better now with sign in,en
happy,much better now with my account,en
happy,much better now with appointment,en
happy,much better now with booking,en
happy,much better now with password,en
happy,much better now with medconnect,en
happy,much better now with the website,en
happy,much better now with registration,en
happy,much better now about my appointment,en
happy,much better now about my health,en
happy,much better now about my records,en
happy,so much better now,en
happy,much better now so,en
happy,very much better now,en
happy,much better now very,en
happy,really much better now,en
happy,much better now really,en
happy,super much better now,en
happy,much better now super,en
happy,extremely much better now,en
happy,much better now extremely,en
happy,quite much better now,en
happy,much better now quite,en
happy,feeling fine,en
happy,feeling fine with login,en
happy,feeling fine with sign in,en
happy,feeling fine with my account,en
happy,feeling fine with appointment,en
happy,feeling fine with booking,en
happy,feeling fine with password,en
happy,feeling fine with medconnect,en
happy,feeling fine with the website,en
happy,feeling fine with registration,en
happy,feeling fine about my appointment,en
happy,feeling fine about my health,en
happy,feeling fine about my records,en
happy,so feeling fine,en
happy,feeling fine so,en
happy,very feeling fine,en
happy,feeling fine very,en
happy,really feeling fine,en
happy,feeling fine really,en
happy,super feeling fine,en
happy,feeling fine super,en
happy,extremely feeling fine,en
happy,feeling fine extremely,en
happy,quite feeling fine,en
happy,feeling fine quite,en
happy,i'm okay now,en
happy,i'm okay now with login,en
happy,i'm okay now with sign in,en
happy,i'm okay now with my account,en
happy,i'm okay now with appointment,en
happy,i'm okay now with booking,en
happy,i'm okay now with password,en
happy,i'm okay now with medconnect,en
happy,i'm okay now with the website,en
happy,i'm okay now with registration,en
happy,i'm okay now about my appointment,en
happy,i'm okay now about my health,en
happy,i'm okay now about my records,en
happy,so i'm okay now,en
happy,i'm okay now so,en
happy,very i'm okay now,en
happy,i'm okay now very,en
happy,really i'm okay now,en
happy,i'm okay now really,en
happy,super i'm okay now,en
happy,i'm okay now super,en
happy,extremely i'm okay now,en
happy,i'm okay now extremely,en
happy,quite i'm okay now,en
happy,i'm okay now quite,en
happy,things are good,en
happy,things are good with login,en
happy,things are good with sign in,en
happy,things are good with my account,en
happy,things are good with appointment,en
happy,things are good with booking,en
happy,things are good with password,en
happy,things are good with medconnect,en
happy,things are good with the website,en
happy,things are good with registration,en
happy,things are good about my appointment,en
happy,things are good about my health,en
happy,things are good about my records,en
happy,so things are good,en
happy,things are good so,en
happy,very things are good,en
happy,things are good very,en
happy,really things are good,en
happy,things are good really,en
happy,super things are good,en
happy,things are good super,en
happy,extremely things are good,en
happy,things are good extremely,en
happy,quite things are good,en
happy,things are good quite,en
happy,masaya ako sa login,fil
happy,masaya ako sa account ko,fil
happy,masaya ako sa appointment,fil
happy,masaya ako sa password,fil
happy,masaya ako sa medconnect,fil
happy,masaya ako sa pag-book,fil
happy,masaya ako sa registration,fil
happy,masaya ako tungkol sa appointment,fil
happy,masaya ako sa kalusugan ko,fil
happy,sobrang masaya ako,fil
happy,masaya ako sobrang,fil
happy,talaga masaya ako,fil
happy,masaya ako talaga,fil
happy,grabe masaya ako,fil
happy,masaya ako grabe,fil
happy,napaka masaya ako,fil
happy,masaya ako napaka,fil
happy,super masaya ako,fil
happy,masaya ako super,fil
happy,okay na ako sa login,fil
happy,okay na ako sa account ko,fil
happy,okay na ako sa appointment,fil
happy,okay na ako sa password,fil
happy,okay na ako sa medconnect,fil
happy,okay na ako sa pag-book,fil
happy,okay na ako sa registration,fil
happy,okay na ako tungkol sa appointment,fil
happy,okay na ako sa kalusugan ko,fil
happy,sobrang okay na ako,fil
happy,okay na ako sobrang,fil
happy,talaga okay na ako,fil
happy,okay na ako talaga,fil
happy,grabe okay na ako,fil
happy,okay na ako grabe,fil
happy,napaka okay na ako,fil
happy,okay na ako napaka,fil
happy,super okay na ako,fil
happy,okay na ako super,fil
happy,mabuti ang pakiramdam ko sa login,fil
happy,mabuti ang pakiramdam ko sa account ko,fil
happy,mabuti ang pakiramdam ko sa appointment,fil
happy,mabuti ang pakiramdam ko sa password,fil
happy,mabuti ang pakiramdam ko sa medconnect,fil
happy,mabuti ang pakiramdam ko sa pag-book,fil
happy,mabuti ang pakiramdam ko sa registration,fil
happy,mabuti ang pakiramdam ko tungkol sa appointment,fil
happy,mabuti ang pakiramdam ko sa kalusugan ko,fil
happy,sobrang mabuti ang pakiramdam ko,fil
happy,mabuti ang pakiramdam ko sobrang,fil
happy,talaga mabuti ang pakiramdam ko,fil
happy,mabuti ang pakiramdam ko talaga,fil
happy,grabe mabuti ang pakiramdam ko,fil
happy,mabuti ang pakiramdam ko grabe,fil
happy,napaka mabuti ang pakiramdam ko,fil
happy,mabuti ang pakiramdam ko napaka,fil
happy,super mabuti ang pakiramdam ko,fil
happy,mabuti ang pakiramdam ko super,fil
happy,maganda ang araw ko sa login,fil
happy,maganda ang araw ko sa account ko,fil
happy,maganda ang araw ko sa appointment,fil
happy,maganda ang araw ko sa password,fil
happy,maganda ang araw ko sa medconnect,fil
happy,maganda ang araw ko sa pag-book,fil
happy,maganda ang araw ko sa registration,fil
happy,maganda ang araw ko tungkol sa appointment,fil
happy,maganda ang araw ko sa kalusugan ko,fil
happy,sobrang maganda ang araw ko,fil
happy,maganda ang araw ko sobrang,fil
happy,talaga maganda ang araw ko,fil
happy,maganda ang araw ko talaga,fil
happy,grabe maganda ang araw ko,fil
happy,maganda ang araw ko grabe,fil
happy,napaka maganda ang araw ko,fil
happy,maganda ang araw ko napaka,fil
happy,super maganda ang araw ko,fil
happy,maganda ang araw ko super,fil
happy,masaya na ako,fil
happy,masaya na ako sa login,fil
happy,masaya na ako sa account ko,fil
happy,masaya na ako sa appointment,fil
happy,masaya na ako sa password,fil
happy,masaya na ako sa medconnect,fil
happy,masaya na ako sa pag-book,fil
happy,masaya na ako sa registration,fil
happy,masaya na ako tungkol sa appointment,fil
happy,masaya na ako sa kalusugan ko,fil
happy,sobrang masaya na ako,fil
happy,masaya na ako sobrang,fil
happy,talaga masaya na ako,fil
happy,masaya na ako talaga,fil
happy,grabe masaya na ako,fil
happy,masaya na ako grabe,fil
happy,napaka masaya na ako,fil
happy,masaya na ako napaka,fil
happy,super masaya na ako,fil
happy,masaya na ako super,fil
happy,maayos na,fil
happy,maayos na sa login,fil
happy,maayos na sa account ko,fil
happy,maayos na sa appointment,fil
happy,maayos na sa password,fil
happy,maayos na sa medconnect,fil
happy,maayos na sa pag-book,fil
happy,maayos na sa registration,fil
happy,maayos na tungkol sa appointment,fil
happy,maayos na sa kalusugan ko,fil
happy,sobrang maayos na,fil
happy,maayos na sobrang,fil
happy,talaga maayos na,fil
happy,maayos na talaga,fil
happy,grabe maayos na,fil
happy,maayos na grabe,fil
happy,napaka maayos na,fil
happy,maayos na napaka,fil
happy,super maayos na,fil
happy,maayos na super,fil
happy,buti na,fil
happy,buti na sa login,fil
happy,buti na sa account ko,fil
happy,buti na sa appointment,fil
happy,buti na sa password,fil
happy,buti na sa medconnect,fil
happy,buti na sa pag-book,fil
happy,buti na sa registration,fil
happy,buti na tungkol sa appointment,fil
happy,buti na sa kalusugan ko,fil
happy,sobrang buti na,fil
happy,buti na sobrang,fil
happy,talaga buti na,fil
happy,buti na talaga,fil
happy,grabe buti na,fil
happy,buti na grabe,fil
happy,napaka buti na,fil
happy,buti na napaka,fil
happy,super buti na,fil
happy,buti na super,fil
happy,okay na,fil
happy,okay na sa login,fil
happy,okay na sa account ko,fil
happy,okay na sa appointment,fil
happy,okay na sa password,fil
happy,okay na sa medconnect,fil
happy,okay na sa pag-book,fil
happy,okay na sa registration,fil
happy,okay na tungkol sa appointment,fil
happy,okay na sa kalusugan ko,fil
happy,sobrang okay na,fil
happy,okay na sobrang,fil
happy,talaga okay na,fil
happy,okay na talaga,fil
happy,grabe okay na,fil
happy,okay na grabe,fil
happy,napaka okay na,fil
happy,okay na napaka,fil
happy,super okay na,fil
happy,okay na super,fil
happy,maligaya ako,fil
happy,maligaya ako sa login,fil
happy,maligaya ako sa account ko,fil
happy,maligaya ako sa appointment,fil
happy,maligaya ako sa password,fil
happy,maligaya ako sa medconnect,fil
happy,maligaya ako sa pag-book,fil
happy,maligaya ako sa registration,fil
happy,maligaya ako tungkol sa appointment,fil
happy,maligaya ako sa kalusugan ko,fil
happy,sobrang maligaya ako,fil
happy,maligaya ako sobrang,fil
happy,talaga maligaya ako,fil
happy,maligaya ako talaga,fil
