local_term,english_term,synonym_group,language,status
ginapula,redness,redness,hiligaynon,active
gahika,cough,cough,hiligaynon,active
ubo,cough,cough,hiligaynon,active
ginauubo,cough,cough,hiligaynon,active
ginahika,cough,cough,hiligaynon,active
nabun-og,bruise,bruise,hiligaynon,active
nabunog,bruise,bruise,hiligaynon,active
may pasa,bruise,bruise,hiligaynon,active
i have fever,Fever,fever,hiligaynon,active
experiencing fever,Fever,fever,hiligaynon,active
suffering from fever,Fever,fever,hiligaynon,active
fever symptom,Fever,fever,hiligaynon,active
feeling of fever,Fever,fever,hiligaynon,active
complains of fever,Fever,fever,hiligaynon,active
with fever,Fever,fever,hiligaynon,active
fever present,Fever,fever,hiligaynon,active
ongoing fever,Fever,fever,hiligaynon,active
persistent fever,Fever,fever,hiligaynon,active
lagnat,Fever,fever,hiligaynon,active
hilanat,Fever,fever,hiligaynon,active
ginakalagnat,Fever,fever,hiligaynon,active
ginalagnat,Fever,fever,hiligaynon,active
gahilanat,Fever,fever,hiligaynon,active
ginahilanat,Fever,fever,hiligaynon,active
may init lawas,Fever,fever,hiligaynon,active
init lawas,Fever,fever,hiligaynon,active
may lagnat,Fever,fever,hiligaynon,active
ginainitan,Fever,fever,hiligaynon,active
i have cough,Cough,cough,hiligaynon,active
experiencing cough,Cough,cough,hiligaynon,active
suffering from cough,Cough,cough,hiligaynon,active
cough symptom,Cough,cough,hiligaynon,active
feeling of cough,Cough,cough,hiligaynon,active
complains of cough,Cough,cough,hiligaynon,active
with cough,Cough,cough,hiligaynon,active
cough present,Cough,cough,hiligaynon,active
ongoing cough,Cough,cough,hiligaynon,active
persistent cough,Cough,cough,hiligaynon,active
ubo,Cough,cough,hiligaynon,active
gaubo,Cough,cough,hiligaynon,active
ginaubo,Cough,cough,hiligaynon,active
nagauba,Cough,cough,hiligaynon,active
ginauubo,Cough,cough,hiligaynon,active
may ubo,Cough,cough,hiligaynon,active
ubo-ubo,Cough,cough,hiligaynon,active
i have headache,Headache,headache,hiligaynon,active
experiencing headache,Headache,headache,hiligaynon,active
suffering from headache,Headache,headache,hiligaynon,active
headache symptom,Headache,headache,hiligaynon,active
feeling of headache,Headache,headache,hiligaynon,active
complains of headache,Headache,headache,hiligaynon,active
with headache,Headache,headache,hiligaynon,active
headache present,Headache,headache,hiligaynon,active
ongoing headache,Headache,headache,hiligaynon,active
persistent headache,Headache,headache,hiligaynon,active
gasakit ulo,Headache,headache,hiligaynon,active
gapalanakit ulo,Headache,headache,hiligaynon,active
sakit ulo,Headache,headache,hiligaynon,active
masakit ulo,Headache,headache,hiligaynon,active
lipong ulo,Headache,headache,hiligaynon,active
i have chest pain,Chest Pain,chest_pain,hiligaynon,active
experiencing chest pain,Chest Pain,chest_pain,hiligaynon,active
suffering from chest pain,Chest Pain,chest_pain,hiligaynon,active
chest pain symptom,Chest Pain,chest_pain,hiligaynon,active
feeling of chest pain,Chest Pain,chest_pain,hiligaynon,active
complains of chest pain,Chest Pain,chest_pain,hiligaynon,active
with chest pain,Chest Pain,chest_pain,hiligaynon,active
chest pain present,Chest Pain,chest_pain,hiligaynon,active
ongoing chest pain,Chest Pain,chest_pain,hiligaynon,active
persistent chest pain,Chest Pain,chest_pain,hiligaynon,active
masakit dughan,Chest Pain,chest_pain,hiligaynon,active
gasakit dughan,Chest Pain,chest_pain,hiligaynon,active
sakit dughan,Chest Pain,chest_pain,hiligaynon,active
hapdi dughan,Chest Pain,chest_pain,hiligaynon,active
masakit dibdib,Chest Pain,chest_pain,hiligaynon,active
masakit akon dughan,Chest Pain,chest_pain,hiligaynon,active
i have difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
experiencing difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
suffering from difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
difficulty breathing symptom,Difficulty Breathing,difficulty_breathing,hiligaynon,active
feeling of difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
complains of difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
with difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
difficulty breathing present,Difficulty Breathing,difficulty_breathing,hiligaynon,active
ongoing difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
persistent difficulty breathing,Difficulty Breathing,difficulty_breathing,hiligaynon,active
budlay ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
budlay magginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
budlay gid ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
budlay gid ang ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
indi ko kaginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
indi makaginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
dula ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
ginakapos ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
ginahapo,Difficulty Breathing,difficulty_breathing,hiligaynon,active
hapo,Difficulty Breathing,difficulty_breathing,hiligaynon,active
i have shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
experiencing shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
suffering from shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
shortness of breath symptom,Shortness of Breath,shortness_of_breath,hiligaynon,active
feeling of shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
complains of shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
with shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
shortness of breath present,Shortness of Breath,shortness_of_breath,hiligaynon,active
ongoing shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
persistent shortness of breath,Shortness of Breath,shortness_of_breath,hiligaynon,active
i have vomiting,Vomiting,vomiting,hiligaynon,active
experiencing vomiting,Vomiting,vomiting,hiligaynon,active
suffering from vomiting,Vomiting,vomiting,hiligaynon,active
vomiting symptom,Vomiting,vomiting,hiligaynon,active
feeling of vomiting,Vomiting,vomiting,hiligaynon,active
complains of vomiting,Vomiting,vomiting,hiligaynon,active
with vomiting,Vomiting,vomiting,hiligaynon,active
vomiting present,Vomiting,vomiting,hiligaynon,active
ongoing vomiting,Vomiting,vomiting,hiligaynon,active
persistent vomiting,Vomiting,vomiting,hiligaynon,active
gasuka,Vomiting,vomiting,hiligaynon,active
ginasuka,Vomiting,vomiting,hiligaynon,active
nagasuka,Vomiting,vomiting,hiligaynon,active
naga suka,Vomiting,vomiting,hiligaynon,active
gapalanuka,Vomiting,vomiting,hiligaynon,active
ginsuka,Vomiting,vomiting,hiligaynon,active
suka,Vomiting,vomiting,hiligaynon,active
i have diarrhea,Diarrhea,diarrhea,hiligaynon,active
experiencing diarrhea,Diarrhea,diarrhea,hiligaynon,active
suffering from diarrhea,Diarrhea,diarrhea,hiligaynon,active
diarrhea symptom,Diarrhea,diarrhea,hiligaynon,active
feeling of diarrhea,Diarrhea,diarrhea,hiligaynon,active
complains of diarrhea,Diarrhea,diarrhea,hiligaynon,active
with diarrhea,Diarrhea,diarrhea,hiligaynon,active
diarrhea present,Diarrhea,diarrhea,hiligaynon,active
ongoing diarrhea,Diarrhea,diarrhea,hiligaynon,active
persistent diarrhea,Diarrhea,diarrhea,hiligaynon,active
naga tae,Diarrhea,diarrhea,hiligaynon,active
tae-tae,Diarrhea,diarrhea,hiligaynon,active
malusaw tae,Diarrhea,diarrhea,hiligaynon,active
nagakalibang,Diarrhea,diarrhea,hiligaynon,active
i have abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
experiencing abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
suffering from abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
abdominal pain symptom,Abdominal Pain,abdominal_pain,hiligaynon,active
feeling of abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
complains of abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
with abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
abdominal pain present,Abdominal Pain,abdominal_pain,hiligaynon,active
ongoing abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
persistent abdominal pain,Abdominal Pain,abdominal_pain,hiligaynon,active
masakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
gasakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
sakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
masakit akon tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
gapalanakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
i have nausea,Nausea,nausea,hiligaynon,active
experiencing nausea,Nausea,nausea,hiligaynon,active
suffering from nausea,Nausea,nausea,hiligaynon,active
nausea symptom,Nausea,nausea,hiligaynon,active
feeling of nausea,Nausea,nausea,hiligaynon,active
complains of nausea,Nausea,nausea,hiligaynon,active
with nausea,Nausea,nausea,hiligaynon,active
nausea present,Nausea,nausea,hiligaynon,active
ongoing nausea,Nausea,nausea,hiligaynon,active
persistent nausea,Nausea,nausea,hiligaynon,active
ginakulba,Nausea,nausea,hiligaynon,active
kulba,Nausea,nausea,hiligaynon,active
ginakulba ko,Nausea,nausea,hiligaynon,active
daw magasuka,Nausea,nausea,hiligaynon,active
i have dizziness,Dizziness,dizziness,hiligaynon,active
experiencing dizziness,Dizziness,dizziness,hiligaynon,active
suffering from dizziness,Dizziness,dizziness,hiligaynon,active
dizziness symptom,Dizziness,dizziness,hiligaynon,active
feeling of dizziness,Dizziness,dizziness,hiligaynon,active
complains of dizziness,Dizziness,dizziness,hiligaynon,active
with dizziness,Dizziness,dizziness,hiligaynon,active
dizziness present,Dizziness,dizziness,hiligaynon,active
ongoing dizziness,Dizziness,dizziness,hiligaynon,active
persistent dizziness,Dizziness,dizziness,hiligaynon,active
ginakalipong,Dizziness,dizziness,hiligaynon,active
lipong,Dizziness,dizziness,hiligaynon,active
nagakalipong,Dizziness,dizziness,hiligaynon,active
kalipong,Dizziness,dizziness,hiligaynon,active
i have fatigue,Fatigue,fatigue,hiligaynon,active
experiencing fatigue,Fatigue,fatigue,hiligaynon,active
suffering from fatigue,Fatigue,fatigue,hiligaynon,active
fatigue symptom,Fatigue,fatigue,hiligaynon,active
feeling of fatigue,Fatigue,fatigue,hiligaynon,active
complains of fatigue,Fatigue,fatigue,hiligaynon,active
with fatigue,Fatigue,fatigue,hiligaynon,active
fatigue present,Fatigue,fatigue,hiligaynon,active
ongoing fatigue,Fatigue,fatigue,hiligaynon,active
persistent fatigue,Fatigue,fatigue,hiligaynon,active
i have sore throat,Sore Throat,sore_throat,hiligaynon,active
experiencing sore throat,Sore Throat,sore_throat,hiligaynon,active
suffering from sore throat,Sore Throat,sore_throat,hiligaynon,active
sore throat symptom,Sore Throat,sore_throat,hiligaynon,active
feeling of sore throat,Sore Throat,sore_throat,hiligaynon,active
complains of sore throat,Sore Throat,sore_throat,hiligaynon,active
with sore throat,Sore Throat,sore_throat,hiligaynon,active
sore throat present,Sore Throat,sore_throat,hiligaynon,active
ongoing sore throat,Sore Throat,sore_throat,hiligaynon,active
persistent sore throat,Sore Throat,sore_throat,hiligaynon,active
sakit tutunlan,Sore Throat,sore_throat,hiligaynon,active
hapdi tutunlan,Sore Throat,sore_throat,hiligaynon,active
masakit tutunlan,Sore Throat,sore_throat,hiligaynon,active
i have runny nose,Runny Nose,runny_nose,hiligaynon,active
experiencing runny nose,Runny Nose,runny_nose,hiligaynon,active
suffering from runny nose,Runny Nose,runny_nose,hiligaynon,active
runny nose symptom,Runny Nose,runny_nose,hiligaynon,active
feeling of runny nose,Runny Nose,runny_nose,hiligaynon,active
complains of runny nose,Runny Nose,runny_nose,hiligaynon,active
with runny nose,Runny Nose,runny_nose,hiligaynon,active
runny nose present,Runny Nose,runny_nose,hiligaynon,active
ongoing runny nose,Runny Nose,runny_nose,hiligaynon,active
persistent runny nose,Runny Nose,runny_nose,hiligaynon,active
sip-on,Runny Nose,runny_nose,hiligaynon,active
sipon,Runny Nose,runny_nose,hiligaynon,active
may sip-on,Runny Nose,runny_nose,hiligaynon,active
ginapanuhot,Runny Nose,runny_nose,hiligaynon,active
panuhot,Runny Nose,runny_nose,hiligaynon,active
barado ilong,Runny Nose,runny_nose,hiligaynon,active
i have body pain,Body Pain,body_pain,hiligaynon,active
experiencing body pain,Body Pain,body_pain,hiligaynon,active
suffering from body pain,Body Pain,body_pain,hiligaynon,active
body pain symptom,Body Pain,body_pain,hiligaynon,active
feeling of body pain,Body Pain,body_pain,hiligaynon,active
complains of body pain,Body Pain,body_pain,hiligaynon,active
with body pain,Body Pain,body_pain,hiligaynon,active
body pain present,Body Pain,body_pain,hiligaynon,active
ongoing body pain,Body Pain,body_pain,hiligaynon,active
persistent body pain,Body Pain,body_pain,hiligaynon,active
sakit lawas,Body Pain,body_pain,hiligaynon,active
masakit lawas,Body Pain,body_pain,hiligaynon,active
gapalanakit lawas,Body Pain,body_pain,hiligaynon,active
paminsa,Body Pain,body_pain,hiligaynon,active
i have back pain,Back Pain,back_pain,hiligaynon,active
experiencing back pain,Back Pain,back_pain,hiligaynon,active
suffering from back pain,Back Pain,back_pain,hiligaynon,active
back pain symptom,Back Pain,back_pain,hiligaynon,active
feeling of back pain,Back Pain,back_pain,hiligaynon,active
complains of back pain,Back Pain,back_pain,hiligaynon,active
with back pain,Back Pain,back_pain,hiligaynon,active
back pain present,Back Pain,back_pain,hiligaynon,active
ongoing back pain,Back Pain,back_pain,hiligaynon,active
persistent back pain,Back Pain,back_pain,hiligaynon,active
sakit likod,Back Pain,back_pain,hiligaynon,active
masakit likod,Back Pain,back_pain,hiligaynon,active
i have ear pain,Ear Pain,ear_pain,hiligaynon,active
experiencing ear pain,Ear Pain,ear_pain,hiligaynon,active
suffering from ear pain,Ear Pain,ear_pain,hiligaynon,active
ear pain symptom,Ear Pain,ear_pain,hiligaynon,active
feeling of ear pain,Ear Pain,ear_pain,hiligaynon,active
complains of ear pain,Ear Pain,ear_pain,hiligaynon,active
with ear pain,Ear Pain,ear_pain,hiligaynon,active
ear pain present,Ear Pain,ear_pain,hiligaynon,active
ongoing ear pain,Ear Pain,ear_pain,hiligaynon,active
persistent ear pain,Ear Pain,ear_pain,hiligaynon,active
sakit dulunggan,Ear Pain,ear_pain,hiligaynon,active
masakit dulunggan,Ear Pain,ear_pain,hiligaynon,active
i have eye pain,Eye Pain,eye_pain,hiligaynon,active
experiencing eye pain,Eye Pain,eye_pain,hiligaynon,active
suffering from eye pain,Eye Pain,eye_pain,hiligaynon,active
eye pain symptom,Eye Pain,eye_pain,hiligaynon,active
feeling of eye pain,Eye Pain,eye_pain,hiligaynon,active
complains of eye pain,Eye Pain,eye_pain,hiligaynon,active
with eye pain,Eye Pain,eye_pain,hiligaynon,active
eye pain present,Eye Pain,eye_pain,hiligaynon,active
ongoing eye pain,Eye Pain,eye_pain,hiligaynon,active
persistent eye pain,Eye Pain,eye_pain,hiligaynon,active
sakit mata,Eye Pain,eye_pain,hiligaynon,active
masakit mata,Eye Pain,eye_pain,hiligaynon,active
i have rash,Rash,rash,hiligaynon,active
experiencing rash,Rash,rash,hiligaynon,active
suffering from rash,Rash,rash,hiligaynon,active
rash symptom,Rash,rash,hiligaynon,active
feeling of rash,Rash,rash,hiligaynon,active
complains of rash,Rash,rash,hiligaynon,active
with rash,Rash,rash,hiligaynon,active
rash present,Rash,rash,hiligaynon,active
ongoing rash,Rash,rash,hiligaynon,active
persistent rash,Rash,rash,hiligaynon,active
panganud,Rash,rash,hiligaynon,active
gahubag panit,Rash,rash,hiligaynon,active
kalapata,Rash,rash,hiligaynon,active
pantal,Rash,rash,hiligaynon,active
i have palpitations,Palpitations,palpitations,hiligaynon,active
experiencing palpitations,Palpitations,palpitations,hiligaynon,active
suffering from palpitations,Palpitations,palpitations,hiligaynon,active
palpitations symptom,Palpitations,palpitations,hiligaynon,active
feeling of palpitations,Palpitations,palpitations,hiligaynon,active
complains of palpitations,Palpitations,palpitations,hiligaynon,active
with palpitations,Palpitations,palpitations,hiligaynon,active
palpitations present,Palpitations,palpitations,hiligaynon,active
ongoing palpitations,Palpitations,palpitations,hiligaynon,active
persistent palpitations,Palpitations,palpitations,hiligaynon,active
naga pitik dughan,Palpitations,palpitations,hiligaynon,active
madasig pitik,Palpitations,palpitations,hiligaynon,active
i have confusion,Confusion,confusion,hiligaynon,active
experiencing confusion,Confusion,confusion,hiligaynon,active
suffering from confusion,Confusion,confusion,hiligaynon,active
confusion symptom,Confusion,confusion,hiligaynon,active
feeling of confusion,Confusion,confusion,hiligaynon,active
complains of confusion,Confusion,confusion,hiligaynon,active
with confusion,Confusion,confusion,hiligaynon,active
confusion present,Confusion,confusion,hiligaynon,active
ongoing confusion,Confusion,confusion,hiligaynon,active
persistent confusion,Confusion,confusion,hiligaynon,active
i have seizure,Seizure,seizure,hiligaynon,active
experiencing seizure,Seizure,seizure,hiligaynon,active
suffering from seizure,Seizure,seizure,hiligaynon,active
seizure symptom,Seizure,seizure,hiligaynon,active
feeling of seizure,Seizure,seizure,hiligaynon,active
complains of seizure,Seizure,seizure,hiligaynon,active
with seizure,Seizure,seizure,hiligaynon,active
seizure present,Seizure,seizure,hiligaynon,active
ongoing seizure,Seizure,seizure,hiligaynon,active
persistent seizure,Seizure,seizure,hiligaynon,active
naguyam,Seizure,seizure,hiligaynon,active
ginsuyam,Seizure,seizure,hiligaynon,active
nagauyam,Seizure,seizure,hiligaynon,active
i have bleeding,Bleeding,bleeding,hiligaynon,active
experiencing bleeding,Bleeding,bleeding,hiligaynon,active
suffering from bleeding,Bleeding,bleeding,hiligaynon,active
bleeding symptom,Bleeding,bleeding,hiligaynon,active
feeling of bleeding,Bleeding,bleeding,hiligaynon,active
complains of bleeding,Bleeding,bleeding,hiligaynon,active
with bleeding,Bleeding,bleeding,hiligaynon,active
bleeding present,Bleeding,bleeding,hiligaynon,active
ongoing bleeding,Bleeding,bleeding,hiligaynon,active
persistent bleeding,Bleeding,bleeding,hiligaynon,active
nagadugo,Bleeding,bleeding,hiligaynon,active
gadugo,Bleeding,bleeding,hiligaynon,active
grabe nagadugo,Bleeding,bleeding,hiligaynon,active
i have burn,Burn,burn,hiligaynon,active
experiencing burn,Burn,burn,hiligaynon,active
suffering from burn,Burn,burn,hiligaynon,active
burn symptom,Burn,burn,hiligaynon,active
feeling of burn,Burn,burn,hiligaynon,active
complains of burn,Burn,burn,hiligaynon,active
with burn,Burn,burn,hiligaynon,active
burn present,Burn,burn,hiligaynon,active
ongoing burn,Burn,burn,hiligaynon,active
persistent burn,Burn,burn,hiligaynon,active
i have weakness,Weakness,weakness,hiligaynon,active
experiencing weakness,Weakness,weakness,hiligaynon,active
suffering from weakness,Weakness,weakness,hiligaynon,active
weakness symptom,Weakness,weakness,hiligaynon,active
feeling of weakness,Weakness,weakness,hiligaynon,active
complains of weakness,Weakness,weakness,hiligaynon,active
with weakness,Weakness,weakness,hiligaynon,active
weakness present,Weakness,weakness,hiligaynon,active
ongoing weakness,Weakness,weakness,hiligaynon,active
persistent weakness,Weakness,weakness,hiligaynon,active
naluya,Weakness,weakness,hiligaynon,active
ginapangluya,Weakness,weakness,hiligaynon,active
luya,Weakness,weakness,hiligaynon,active
kapoy,Weakness,weakness,hiligaynon,active
kapoy gid,Weakness,weakness,hiligaynon,active
ginakapoy,Weakness,weakness,hiligaynon,active
i have swelling,Swelling,swelling,hiligaynon,active
experiencing swelling,Swelling,swelling,hiligaynon,active
suffering from swelling,Swelling,swelling,hiligaynon,active
swelling symptom,Swelling,swelling,hiligaynon,active
feeling of swelling,Swelling,swelling,hiligaynon,active
complains of swelling,Swelling,swelling,hiligaynon,active
with swelling,Swelling,swelling,hiligaynon,active
swelling present,Swelling,swelling,hiligaynon,active
ongoing swelling,Swelling,swelling,hiligaynon,active
persistent swelling,Swelling,swelling,hiligaynon,active
gahubag,Swelling,swelling,hiligaynon,active
hubag,Swelling,swelling,hiligaynon,active
ginahubag,Swelling,swelling,hiligaynon,active
nagahubag,Swelling,swelling,hiligaynon,active
i have itching,Itching,itching,hiligaynon,active
experiencing itching,Itching,itching,hiligaynon,active
suffering from itching,Itching,itching,hiligaynon,active
itching symptom,Itching,itching,hiligaynon,active
feeling of itching,Itching,itching,hiligaynon,active
complains of itching,Itching,itching,hiligaynon,active
with itching,Itching,itching,hiligaynon,active
itching present,Itching,itching,hiligaynon,active
ongoing itching,Itching,itching,hiligaynon,active
persistent itching,Itching,itching,hiligaynon,active
i have chills,Chills,chills,hiligaynon,active
experiencing chills,Chills,chills,hiligaynon,active
suffering from chills,Chills,chills,hiligaynon,active
chills symptom,Chills,chills,hiligaynon,active
feeling of chills,Chills,chills,hiligaynon,active
complains of chills,Chills,chills,hiligaynon,active
with chills,Chills,chills,hiligaynon,active
chills present,Chills,chills,hiligaynon,active
ongoing chills,Chills,chills,hiligaynon,active
persistent chills,Chills,chills,hiligaynon,active
ginakurog,Chills,chills,hiligaynon,active
nagakurog,Chills,chills,hiligaynon,active
kurog,Chills,chills,hiligaynon,active
ginakulba lawas,Chills,chills,hiligaynon,active
i have loss of appetite,Loss of Appetite,loss_of_appetite,hiligaynon,active
