rule_id,name,pattern_english,pattern_hiligaynon,classification,rationale,status
U0075,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0076,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0077,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0078,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0079,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0080,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0081,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0082,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0083,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0084,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0085,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0086,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0087,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0088,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0089,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0090,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0091,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0092,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0093,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0094,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0095,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0096,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0097,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0098,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0099,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0100,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0101,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0102,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0103,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0104,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0105,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0106,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0107,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0108,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0109,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0110,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0111,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0112,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0113,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0114,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0115,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0116,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0117,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0118,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0119,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0120,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0121,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0122,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0123,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0124,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0125,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0126,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0127,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0128,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0129,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0130,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0131,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0132,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0133,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0134,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0135,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0136,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0137,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0138,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0139,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0140,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0141,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0142,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0143,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0144,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0145,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0146,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0147,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0148,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0149,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0150,Moderate Abdominal Pain,moderate abdominal pain,,URGENT,Urgent evaluation for moderate abdominal pain,active
U0151,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0152,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0153,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0154,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0155,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0156,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0157,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0158,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0159,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0160,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0161,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0162,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0163,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0164,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0165,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0166,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0167,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0168,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0169,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0170,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0171,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0172,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0173,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0174,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0175,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0176,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0177,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0178,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0179,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0180,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0181,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0182,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0183,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0184,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0185,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0186,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0187,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0188,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0189,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0190,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0191,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0192,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0193,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0194,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0195,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0196,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0197,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0198,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0199,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0200,Asthma Flare,asthma flare,,URGENT,Urgent evaluation for asthma flare,active
U0201,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0202,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0203,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0204,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0205,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0206,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0207,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0208,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0209,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0210,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0211,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0212,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0213,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0214,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0215,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0216,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0217,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0218,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0219,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0220,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0221,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0222,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0223,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0224,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0225,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0226,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0227,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0228,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0229,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0230,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0231,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0232,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0233,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0234,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0235,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0236,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0237,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0238,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0239,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0240,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0241,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0242,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0243,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0244,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0245,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0246,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0247,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0248,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0249,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0250,High Blood,high blood,,URGENT,Urgent evaluation for high blood,active
U0251,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0252,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0253,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0254,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0255,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0256,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0257,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0258,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0259,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0260,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0261,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0262,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0263,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0264,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0265,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0266,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0267,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0268,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0269,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0270,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0271,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0272,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0273,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0274,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0275,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0276,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0277,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0278,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0279,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0280,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0281,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0282,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0283,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0284,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0285,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0286,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0287,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0288,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0289,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0290,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0291,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0292,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0293,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0294,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0295,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0296,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0297,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0298,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0299,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0300,Infected Wound,infected wound,,URGENT,Urgent evaluation for infected wound,active
U0301,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0302,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0303,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0304,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0305,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0306,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0307,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0308,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0309,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0310,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0311,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0312,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0313,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0314,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0315,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0316,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0317,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0318,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0319,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0320,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
U0321,Ear Pain With Fever,ear pain with fever,,URGENT,Urgent evaluation for ear pain with fever,active
