correct_term,misspelling,term_type,status
nagsuka,ngagsuka,algorithmic,active
naguyam,ngaguyam,algorithmic,active
nahihilo,ngahihilo,algorithmic,active
nahilo,ngahilo,algorithmic,active
nakuryente,ngakuryente,algorithmic,active
namaga,ngamaga,algorithmic,active
nana,ngana,algorithmic,active
nasumbag,ngasumbag,algorithmic,active
nasunog,ngasunog,algorithmic,active
naukas,ngaukas,algorithmic,active
nautod,ngautod,algorithmic,active
ginabaldom,ginahbaldom,algorithmic,active
ginadudul-om,ginahdudul-om,algorithmic,active
ginadudulom,ginahdudulom,algorithmic,active
ginahika,ginahhika,algorithmic,active
ginahilanat,ginahhilanat,algorithmic,active
ginakamang,ginahkamang,algorithmic,active
ginakapos,ginahkapos,algorithmic,active
ginapula,ginahpula,algorithmic,active
ginasuka,ginahsuka,algorithmic,active
ginasuka-uka,ginahsuka-uka,algorithmic,active
ginauubo,ginahuubo,algorithmic,active
hilanat,hilanaht,algorithmic,active
na-utod,nah-utod,algorithmic,active
naaksidente,nahaksidente,algorithmic,active
nabali,nahbali,algorithmic,active
nabun-og,nahbun-og,algorithmic,active
nabunggo,nahbunggo,algorithmic,active
nabunog,nahbunog,algorithmic,active
nag-uyam,nahg-uyam,algorithmic,active
nagadugo,nahgadugo,algorithmic,active
nagalagas,nahgalagas,algorithmic,active
nagdugo,nahgdugo,algorithmic,active
nagsuka,nahgsuka,algorithmic,active
naguyam,nahguyam,algorithmic,active
nahihilo,nahhihilo,algorithmic,active
nahilo,nahhilo,algorithmic,active
nakuryente,nahkuryente,algorithmic,active
namaga,nahmaga,algorithmic,active
nana,nahna,algorithmic,active
nasumbag,nahsumbag,algorithmic,active
nasunog,nahsunog,algorithmic,active
naukas,nahukas,algorithmic,active
nautod,nahutod,algorithmic,active
bukongbukong,bukungbukong,algorithmic,active
kuko,kuku,algorithmic,active
likod,likud,algorithmic,active
siko,siku,algorithmic,active
bukongbukong,bucohngbukong,algorithmic,active
kuko,kucoh,algorithmic,active
likod,licohd,algorithmic,active
siko,sicoh,algorithmic,active
bukongbukong,bukohngbukong,algorithmic,active
kuko,kukoh,algorithmic,active
likod,likohd,algorithmic,active
siko,sikoh,algorithmic,active
gakitol,gaketol,algorithmic,active
hita,heta,algorithmic,active
itlog,etlog,algorithmic,active
sakit,saket,algorithmic,active
singit,singet,algorithmic,active
titi,teti,algorithmic,active
gakitol,gakytol,algorithmic,active
gasakit,gasakyt,algorithmic,active
hita,hyta,algorithmic,active
itlog,ytlog,algorithmic,active
masakit,masakyt,algorithmic,active
sakit,sakyt,algorithmic,active
singit,singyt,algorithmic,active
titi,tyti,algorithmic,active
gakitol,gakittol,algorithmic,active
gasakit,gasakitt,algorithmic,active
hita,hitta,algorithmic,active
itlog,ittlog,algorithmic,active
masakit,masakitt,algorithmic,active
sakit,sakitt,algorithmic,active
singit,singitt,algorithmic,active
titi,titti,algorithmic,active
bilad,belad,algorithmic,active
bilat,belat,algorithmic,active
ngabil,ngabel,algorithmic,active
bilad,bulad,algorithmic,active
bilat,bulat,algorithmic,active
ngabil,ngabul,algorithmic,active
gakatol,gakadol,algorithmic,active
ginahilanat,ginahilanad,algorithmic,active
ginkagat,ginkagad,algorithmic,active
hilanat,hilanad,algorithmic,active
kakatol,kakadol,algorithmic,active
kilid mata,kilid mada,algorithmic,active
mata,mada,algorithmic,active
mataas,madaas,algorithmic,active
talukap mata,talukap mada,algorithmic,active
bilat,bilet,algorithmic,active
gakatol,gaketol,algorithmic,active
ginahilanat,ginahilanet,algorithmic,active
ginkagat,ginkaget,algorithmic,active
hilanat,hilanet,algorithmic,active
kakatol,kaketol,algorithmic,active
kilid mata,kilid meta,algorithmic,active
mata,meta,algorithmic,active
mataas,metaas,algorithmic,active
talukap mata,talukap meta,algorithmic,active
bilat,bilaad,algorithmic,active
gakatol,gakaadol,algorithmic,active
ginahilanat,ginahilanaad,algorithmic,active
ginkagat,ginkagaad,algorithmic,active
hilanat,hilanaad,algorithmic,active
kakatol,kakaadol,algorithmic,active
kilid mata,kilid maada,algorithmic,active
mata,maada,algorithmic,active
mataas,maadaas,algorithmic,active
talukap mata,talukap maada,algorithmic,active
hilanat,hilantan,symptom_root,active
hilanat,hilant,symptom_root,active
hilanat,hilantat,symptom_root,active
hilanat,ginahilant,symptom_root,active
ginatugnaw,ginatugnaww,symptom_root,active
ginatugnaw,ginatugaw,symptom_root,active
ginasip-on,ginasipon,symptom_root,active
ginasip-on,ginasipn,symptom_root,active
ginasip-on,sippon,symptom_root,active
ubo,uboo,symptom_root,active
ubo,uhbo,symptom_root,active
budlay ginhawa,budlay ginhawaa,symptom_phrase,active
budlay magginhawa,budlai magginhawa,symptom_phrase,active
ginasakit ulo,ginasakit ulo ko,symptom_phrase,active
ginasakit ulo,ginasakitulo,symptom_phrase,active
ginasakit tutunlan,ginasakit tutunlan ko,symptom_phrase,active
ginasakit tutunlan,ginasakit tutunaln,symptom_phrase,active
ginasakit dughan,ginasakit dugan,symptom_phrase,active
ginasakit tiyan,ginasakit tyan,symptom_phrase,active
ginakalipong,ginakalipng,symptom_root,active
ginakalipong,ginakalipon,symptom_root,active
ginasuka,ginasuka ko,symptom_phrase,active
ginapalanuka,ginapalanuka ko,symptom_phrase,active
ginapalanuka,ginapalanukaa,symptom_root,active
ginakalibanga,ginakalibanga ko,symptom_phrase,active
ginakalibanga,ginakalibnga,symptom_root,active
constipation,constipated,symptom_root,active
ginakapoy,ginakapoyy,symptom_root,active
ginapalanhubag,ginapalanhubg,symptom_root,active
ginakurog,ginakurogg,symptom_root,active
ginapanuhot,ginapanuot,symptom_root,active
ginahapdos,ginahapdos mata,symptom_phrase,active
ginakati,ginakati panit,symptom_phrase,active
ginadugo ilong,ginadugo ilng,symptom_phrase,active
trangkaso,trankaso,condition,active
trangkaso,trangkasu,condition,active
trangkaso,trangkazoo,condition,active
pneumonia,neumonia,condition,active
pneumonia,punemonia,condition,active
pneumonia,pnumonia,condition,active
tuberculosis,tubercolosis,condition,active
tuberculosis,tiberculosis,condition,active
leptospirosis,leptospirsis,condition,active
leptospirosis,leptospiroses,condition,active
diabetes,diebetes,condition,active
diabetes,diabetez,condition,active
hypertension,hight blood,condition,active
hypertension,hig blood,condition,active
measles,measeles,condition,active
mumps,mumpss,condition,active
chickenpox,chikenpox,condition,active
chickenpox,chickenpoxx,condition,active
fever,fevr,clinical,active
fever,feber,clinical,active
fever,feveer,clinical,active
fever,feaver,clinical,active
fever,fevor,clinical,active
lagnat,lagnaat,clinical,active
lagnat,lagant,clinical,active
lagnat,lagnatt,clinical,active
lagnat,lagnate,clinical,active
lagnat,laganat,clinical,active
ubo,uboo,clinical,active
ubo,uboh,clinical,active
ubo,ubbo,clinical,active
ubo,ubou,clinical,active
sip-on,siponn,clinical,active
sip-on,sipon,clinical,active
sip-on,sippon,clinical,active
sip-on,syp-on,clinical,active
headache,hedache,clinical,active
headache,headak,clinical,active
headache,headace,clinical,active
headache,hedachee,clinical,active
headache,headahe,clinical,active
difficulty breathing,hirap humingga,clinical,active
difficulty breathing,budlay ginhwa,clinical,active
difficulty breathing,budlay ginhawa,clinical,active
difficulty breathing,hirap huminga,clinical,active
chest pain,masakit dughanh,clinical,active
chest pain,masakit dughan,clinical,active
chest pain,chest pan,clinical,active
chest pain,chestpain,clinical,active
ginakalagnat,ginakalagnatt,clinical,active
ginakalagnat,ginakalagnat,clinical,active
ginakalagnat,ginakalnagat,clinical,active
cough,coug,clinical,active
cough,cogh,clinical,active
cough,couph,clinical,active
cough,coughh,clinical,active
vomiting,vomitting,clinical,active
vomiting,vomitin,clinical,active
diarrhea,diarrea,clinical,active
diarrhea,diarrhoea,clinical,active
diarrhea,dyarrea,clinical,active
diarrhea,diarhhea,clinical,active
abdomen,abdomin,clinical,active
abdomen,abdoman,clinical,active
abdomen,abdomenn,clinical,active
pregnant,pregnent,clinical,active
pregnant,pregyant,clinical,active
pregnant,pregnat,clinical,active
asthma,asma,clinical,active
asthma,asthma,clinical,active
asthma,asthmaa,clinical,active
diabetes,diabetis,clinical,active
diabetes,diabites,clinical,active
diabetes,diabeties,clinical,active
fever,feever,generated,active
fever,fver,generated,active
fever,feve,generated,active
fever,fiver,generated,active
fever,feverr,generated,active
fever,efver,generated,active
cough,cogh,generated,active
cough,kough,generated,active
cough,coughh,generated,active
cough,couhg,generated,active
cough,coough,generated,active
cough,couggh,generated,active
headache,headaache,generated,active
headache,ehadache,generated,active
headache,hadache,generated,active
headache,heeadache,generated,active
headache,headche,generated,active
headache,headcahe,generated,active
chest pain,cheest pain,generated,active
chest pain,chest paen,generated,active
chest pain,chest paiin,generated,active
chest pain,chset pain,generated,active
chest pain,chest painn,generated,active
chest pain,chets pain,generated,active
difficulty breathing,difficulty breatihng,generated,active
difficulty breathing,dfficulty breathing,generated,active
difficulty breathing,idfficulty breathing,generated,active
difficulty breathing,difficulty rbeathing,generated,active
difficulty breathing,difficult breathing,generated,active
difficulty breathing,difficutly breathing,generated,active
shortness of breath,shhortness of breath,generated,active
shortness of breath,shortness of breatth,generated,active
shortness of breath,sohrtness of breath,generated,active
shortness of breath,shortness of beath,generated,active
shortness of breath,shrotness of breath,generated,active
shortness of breath,shortness of breaath,generated,active
vomiting,vomitiing,generated,active
vomiting,omiting,generated,active
vomiting,vomtiing,generated,active
vomiting,vommiting,generated,active
vomiting,vomitng,generated,active
vomiting,vmiting,generated,active
diarrhea,ddiarrhea,generated,active
diarrhea,diaarrhea,generated,active
diarrhea,dearrhea,generated,active
diarrhea,diarreha,generated,active
diarrhea,diarrhe,generated,active
diarrhea,diarrhae,generated,active
abdominal pain,abdominal paain,generated,active
abdominal pain,abdominal pan,generated,active
abdominal pain,abdominal pian,generated,active
abdominal pain,abddominal pain,generated,active
abdominal pain,abdominal paiin,generated,active
abdominal pain,abdomnal pain,generated,active
nausea,neusea,generated,active
nausea,nausa,generated,active
nausea,nauesa,generated,active
nausea,nnausea,generated,active
nausea,nause,generated,active
nausea,nausae,generated,active
dizziness,dzziness,generated,active
dizziness,dizzienss,generated,active
dizziness,dizzness,generated,active
dizziness,dizizness,generated,active
dizziness,dizziniss,generated,active
dizziness,izziness,generated,active
fatigue,fatiguue,generated,active
fatigue,fatiigue,generated,active
fatigue,fatige,generated,active
fatigue,fatigui,generated,active
fatigue,phatigue,generated,active
fatigue,aftigue,generated,active
sore throat,sore thrroat,generated,active
sore throat,sre throat,generated,active
sore throat,soret hroat,generated,active
sore throat,sore throt,generated,active
sore throat,sor ethroat,generated,active
sore throat,sroe throat,generated,active
runny nose,runyn nose,generated,active
runny nose,runny nuse,generated,active
runny nose,rnuny nose,generated,active
runny nose,runny nos,generated,active
runny nose,runny nosi,generated,active
runny nose,runy nose,generated,active
body pain,body pian,generated,active
body pain,body paiin,generated,active
body pain,body ain,generated,active
body pain,ody pain,generated,active
body pain,boyd pain,generated,active
body pain,bodyp ain,generated,active
back pain,back pian,generated,active
back pain,beck pain,generated,active
back pain,backpain,generated,active
back pain,bck pain,generated,active
back pain,back pin,generated,active
back pain,back paain,generated,active
ear pain,era pain,generated,active
ear pain,earpain,generated,active
ear pain,ear paiin,generated,active
ear pain,aer pain,generated,active
ear pain,earr pain,generated,active
ear pain,ea rpain,generated,active
eye pain,eye paiin,generated,active
eye pain,eeye pain,generated,active
eye pain,ye pain,generated,active
eye pain,iye pain,generated,active
eye pain,eye ain,generated,active
eye pain,eye painn,generated,active
rash,rahs,generated,active
rash,raash,generated,active
rash,rsah,generated,active
rash,resh,generated,active
rash,rassh,generated,active
rash,rashh,generated,active
palpitations,palpitattions,generated,active
palpitations,palptiations,generated,active
palpitations,papitations,generated,active
palpitations,palitations,generated,active
palpitations,palpitatons,generated,active
palpitations,alpitations,generated,active
confusion,cnfusion,generated,active
confusion,confusiion,generated,active
confusion,conusion,generated,active
confusion,connfusion,generated,active
confusion,cofusion,generated,active
confusion,confussion,generated,active
seizure,seizuer,generated,active
seizure,seiure,generated,active
seizure,seizue,generated,active
seizure,sezure,generated,active
seizure,seeizure,generated,active
seizure,eizure,generated,active
bleeding,bleedinng,generated,active
bleeding,bleedig,generated,active
bleeding,lbeeding,generated,active
bleeding,blieding,generated,active
bleeding,bleedin,generated,active
bleeding,blleeding,generated,active
burn,brun,generated,active
burn,bun,generated,active
burn,buurn,generated,active
burn,ubrn,generated,active
burn,brn,generated,active
burn,bburn,generated,active
weakness,ewakness,generated,active
weakness,wakness,generated,active
weakness,weacness,generated,active
weakness,wweakness,generated,active
weakness,waekness,generated,active
weakness,weakkness,generated,active
swelling,swelliing,generated,active
swelling,swellingg,generated,active
swelling,swellign,generated,active
swelling,sweling,generated,active
swelling,swellig,generated,active
swelling,swwelling,generated,active
itching,tching,generated,active
itching,itcching,generated,active
itching,itcing,generated,active
itching,ithcing,generated,active
itching,ittching,generated,active
itching,itchin,generated,active
chills,chlils,generated,active
chills,cchills,generated,active
chills,chiills,generated,active
chills,chill,generated,active
chills,chils,generated,active
chills,chells,generated,active
loss of appetite,loss of appetitte,generated,active
loss of appetite,loss ofa ppetite,generated,active
loss of appetite,loss o appetite,generated,active
loss of appetite,loss of apetite,generated,active
loss of appetite,loss of appettite,generated,active
loss of appetite,loss of appetie,generated,active
urinary pain,urinary pian,generated,active
urinary pain,urianry pain,generated,active
urinary pain,urinry pain,generated,active
urinary pain,urinray pain,generated,active
urinary pain,urinery pain,generated,active
urinary pain,urinaary pain,generated,active
constipation,constipattion,generated,active
constipation,ocnstipation,generated,active
constipation,costipation,generated,active
constipation,cnostipation,generated,active
constipation,constiipation,generated,active
constipation,constepation,generated,active
insomnia,innsomnia,generated,active
insomnia,insmonia,generated,active
insomnia,iinsomnia,generated,active
insomnia,insomna,generated,active
insomnia,nisomnia,generated,active
insomnia,insomnnia,generated,active
wheezing,weezing,generated,active
wheezing,wheezng,generated,active
wheezing,whezeing,generated,active
wheezing,wheezin,generated,active
wheezing,wheeznig,generated,active
wheezing,wheezinng,generated,active
coughing blood,coguhing blood,generated,active
coughing blood,cougihng blood,generated,active
coughing blood,coughing bloodd,generated,active
coughing blood,coughng blood,generated,active
coughing blood,coughing blod,generated,active
coughing blood,coughing lbood,generated,active
vomiting blood,vomiting bloo,generated,active
vomiting blood,vomitingblood,generated,active
vomiting blood,vomiting bolod,generated,active
vomiting blood,vomitting blood,generated,active
vomiting blood,vomiting  blood,generated,active
vomiting blood,vomtiing blood,generated,active
fainting,faitning,generated,active
fainting,afinting,generated,active
fainting,faenting,generated,active
fainting,faintinng,generated,active
fainting,fainitng,generated,active
fainting,fainnting,generated,active
numbness,nubmness,generated,active
numbness,unmbness,generated,active
numbness,nummbness,generated,active
numbness,nubness,generated,active
numbness,numbnness,generated,active
numbness,nmubness,generated,active
paralysis,parralysis,generated,active
paralysis,paralysi,generated,active
paralysis,praalysis,generated,active
paralysis,pparalysis,generated,active
paralysis,paralysiis,generated,active
paralysis,paaralysis,generated,active
vision loss,viion loss,generated,active
vision loss,visoin loss,generated,active
vision loss,visionn loss,generated,active
vision loss,visino loss,generated,active
vision loss,vsiion loss,generated,active
vision loss,ision loss,generated,active
1-methylhistidinuria,1-methylhistidinuuria,generated,active
1-methylhistidinuria,1-methylhistidinuriia,generated,active
1-methylhistidinuria,1-methylhistidiunria,generated,active
1-methylhistidinuria,1-mehtylhistidinuria,generated,active
1-methylhistidinuria,1-methylhistdinuria,generated,active
1-methylhistidinuria,1-mithylhistidinuria,generated,active
1-minute apgar score of 0,1-minute agar score of 0,generated,active
1-minute apgar score of 0,1-minut apgar score of 0,generated,active
1-minute apgar score of 0,1-miinute apgar score of 0,generated,active
1-minute apgar score of 0,1-minute appgar score of 0,generated,active
1-minute apgar score of 0,1-minuet apgar score of 0,generated,active
1-minute apgar score of 0,1-minute  apgar score of 0,generated,active
1-minute apgar score of 1,1-minute apgar score of1,generated,active
1-minute apgar score of 1,1-minute apgaar score of 1,generated,active
1-minute apgar score of 1,1-minute epgar score of 1,generated,active
1-minute apgar score of 1,11-minute apgar score of 1,generated,active
1-minute apgar score of 1,1-minute apgar scre of 1,generated,active
1-minute apgar score of 1,1-inute apgar score of 1,generated,active
1-minute apgar score of 2,1m-inute apgar score of 2,generated,active
1-minute apgar score of 2,1-minutee apgar score of 2,generated,active
1-minute apgar score of 2,1-minuteapgar score of 2,generated,active
1-minute apgar score of 2,1-minute apgar scoreo f 2,generated,active
1-minute apgar score of 2,1-minute apgar score of2,generated,active
1-minute apgar score of 2,1-minte apgar score of 2,generated,active
1-minute apgar score of 3,1-minute apgar socre of 3,generated,active
1-minute apgar score of 3,1-minute apgar scorre of 3,generated,active
1-minute apgar score of 3,1-minute apgars core of 3,generated,active
1-minute apgar score of 3,1-minute agar score of 3,generated,active
1-minute apgar score of 3,1-minute apgarr score of 3,generated,active
1-minute apgar score of 3,1-minute apgar sore of 3,generated,active
1-minute apgar score of 4,1-minute apgar score of 44,generated,active
1-minute apgar score of 4,1-minute apgar csore of 4,generated,active
1-minute apgar score of 4,1-minutee apgar score of 4,generated,active
1-minute apgar score of 4,1-minute apgar scure of 4,generated,active
1-minute apgar score of 4,1-minut apgar score of 4,generated,active
1-minute apgar score of 4,1-minute apgar core of 4,generated,active
1-minute apgar score of 5,1-minute apgar score of 55,generated,active
1-minute apgar score of 5,1-minute apgra score of 5,generated,active
1-minute apgar score of 5,1-minutea pgar score of 5,generated,active
1-minute apgar score of 5,1-minute  apgar score of 5,generated,active
1-minute apgar score of 5,1-mminute apgar score of 5,generated,active
1-minute apgar score of 5,1-minute aapgar score of 5,generated,active
1-minute apgar score of 6,1-minute apgr score of 6,generated,active
1-minute apgar score of 6,1-minuti apgar score of 6,generated,active
1-minute apgar score of 6,1-minuteapgar score of 6,generated,active
1-minute apgar score of 6,1-minute apgar score  of 6,generated,active
1-minute apgar score of 6,1-minutee apgar score of 6,generated,active
1-minute apgar score of 6,1-minute apga rscore of 6,generated,active
10 pairs of ribs,10 pairs oph ribs,generated,active
10 pairs of ribs,10 pairs  of ribs,generated,active
10 pairs of ribs,10 paairs of ribs,generated,active
10 pairs of ribs,10 peirs of ribs,generated,active
10 pairs of ribs,10 piars of ribs,generated,active
10 pairs of ribs,10 pairs ofr ibs,generated,active
10-minute apgar score of 0,10-minute apgar scoore of 0,generated,active
10-minute apgar score of 0,10-minute apgar scroe of 0,generated,active
10-minute apgar score of 0,10-minut eapgar score of 0,generated,active
10-minute apgar score of 0,10-minute apgar scre of 0,generated,active
10-minute apgar score of 0,10-minute pagar score of 0,generated,active
10-minute apgar score of 0,10-minute apar score of 0,generated,active
10-minute apgar score of 1,10-minute apgar scre of 1,generated,active
10-minute apgar score of 1,10-minuti apgar score of 1,generated,active
10-minute apgar score of 1,01-minute apgar score of 1,generated,active
10-minute apgar score of 1,10-minute pagar score of 1,generated,active
10-minute apgar score of 1,10-minute apgarr score of 1,generated,active
10-minute apgar score of 1,10-minute apgar score f 1,generated,active
10-minute apgar score of 2,10-inute apgar score of 2,generated,active
