hiligaynon_term,english_term,synonym_group,status
ginahilanat gid,fever,fever,active
ginahilanat ko,fever,fever,active
alta presyon,hypertension,hypertension,active
alta presyon ko,hypertension,hypertension,active
mataas presyon,hypertension,hypertension,active
taas presyon,hypertension,hypertension,active
nabun-og ulo,head injury,head_injury,active
nabunog ulo,head injury,head_injury,active
nabun-og ulo ko,head injury,head_injury,active
nasumbag ulo ko,head injury,head_injury,active
masakit dughan,chest pain,chest_pain,active
sakit dughan,chest pain,chest_pain,active
gasakit dughan,chest pain,chest_pain,active
naguyam,seizure,seizure,active
nag-uyam,seizure,seizure,active
naguyam ko,seizure,seizure,active
nag convulsion,seizure,seizure,active
nasunog,burn,burn,active
nasunog ko,burn,burn,active
nasunog sang,burn,burn,active
ginadudul-om,diarrhea,diarrhea,active
ginadudulom,diarrhea,diarrhea,active
dul-om,diarrhea,diarrhea,active
dulom,diarrhea,diarrhea,active
sakit ulo,headache,headache,active
gasakit ulo,headache,headache,active
masakit ulo,headache,headache,active
sakit sa ulo,headache,headache,active
nahilo tiyan,nausea,nausea,active
ginasuka-uka,nausea,nausea,active
ginabaldom,nausea,nausea,active
gahabok,swelling,swelling,active
gahubag,swelling,swelling,active
hubag,swelling,swelling,active
habok,swelling,swelling,active
namaga,swelling,swelling,active
gahubag gid,swelling,swelling,active
may nana,infection,pus_infection,active
nana,infection,pus_infection,active
may nana sa,infection,pus_infection,active
ginasuka,vomiting,vomiting,active
ginasuka ko,vomiting,vomiting,active
nagsuka,vomiting,vomiting,active
gasakit,pain,pain,active
masakit,pain,pain,active
sakit,pain,pain,active
ginabaldom,pain,pain,active
gakatol,itching,itching,active
kakatol,itching,itching,active
ginakamang,itching,itching,active
nabali,fracture,fracture,active
naukas,fracture,fracture,active
nabali ko,fracture,fracture,active
nabali ang,fracture,fracture,active
galuya,weakness,weakness,active
maluya,weakness,weakness,active
kapoy gid,weakness,weakness,active
may pilas,wound,wound,active
pilas,wound,wound,active
pilas ko,wound,wound,active
nautod,amputation,amputation,active
na-utod,amputation,amputation,active
nautod ko,amputation,amputation,active
nahilo,dizziness,dizziness,active
nahilo ko,dizziness,dizziness,active
nahihilo,dizziness,dizziness,active
gapula,redness,redness,active
mapula,redness,redness,active
ginapula,redness,redness,active
gahika,cough,cough,active
ubo,cough,cough,active
ginauubo,cough,cough,active
ginahika,cough,cough,active
nabun-og,bruise,bruise,active
nabunog,bruise,bruise,active
may pasa,bruise,bruise,active
i have fever,Fever,fever,active
experiencing fever,Fever,fever,active
suffering from fever,Fever,fever,active
fever symptom,Fever,fever,active
feeling of fever,Fever,fever,active
complains of fever,Fever,fever,active
with fever,Fever,fever,active
fever present,Fever,fever,active
ongoing fever,Fever,fever,active
persistent fever,Fever,fever,active
lagnat,Fever,fever,active
hilanat,Fever,fever,active
ginakalagnat,Fever,fever,active
ginalagnat,Fever,fever,active
gahilanat,Fever,fever,active
ginahilanat,Fever,fever,active
may init lawas,Fever,fever,active
init lawas,Fever,fever,active
may lagnat,Fever,fever,active
ginainitan,Fever,fever,active
i have cough,Cough,cough,active
experiencing cough,Cough,cough,active
suffering from cough,Cough,cough,active
cough symptom,Cough,cough,active
feeling of cough,Cough,cough,active
complains of cough,Cough,cough,active
with cough,Cough,cough,active
cough present,Cough,cough,active
ongoing cough,Cough,cough,active
persistent cough,Cough,cough,active
ubo,Cough,cough,active
gaubo,Cough,cough,active
ginaubo,Cough,cough,active
nagauba,Cough,cough,active
ginauubo,Cough,cough,active
may ubo,Cough,cough,active
ubo-ubo,Cough,cough,active
i have headache,Headache,headache,active
experiencing headache,Headache,headache,active
suffering from headache,Headache,headache,active
headache symptom,Headache,headache,active
feeling of headache,Headache,headache,active
complains of headache,Headache,headache,active
with headache,Headache,headache,active
headache present,Headache,headache,active
ongoing headache,Headache,headache,active
persistent headache,Headache,headache,active
gasakit ulo,Headache,headache,active
gapalanakit ulo,Headache,headache,active
sakit ulo,Headache,headache,active
masakit ulo,Headache,headache,active
lipong ulo,Headache,headache,active
i have chest pain,Chest Pain,chest_pain,active
experiencing chest pain,Chest Pain,chest_pain,active
suffering from chest pain,Chest Pain,chest_pain,active
chest pain symptom,Chest Pain,chest_pain,active
feeling of chest pain,Chest Pain,chest_pain,active
complains of chest pain,Chest Pain,chest_pain,active
with chest pain,Chest Pain,chest_pain,active
chest pain present,Chest Pain,chest_pain,active
ongoing chest pain,Chest Pain,chest_pain,active
persistent chest pain,Chest Pain,chest_pain,active
masakit dughan,Chest Pain,chest_pain,active
gasakit dughan,Chest Pain,chest_pain,active
sakit dughan,Chest Pain,chest_pain,active
hapdi dughan,Chest Pain,chest_pain,active
masakit dibdib,Chest Pain,chest_pain,active
masakit akon dughan,Chest Pain,chest_pain,active
i have difficulty breathing,Difficulty Breathing,difficulty_breathing,active
experiencing difficulty breathing,Difficulty Breathing,difficulty_breathing,active
suffering from difficulty breathing,Difficulty Breathing,difficulty_breathing,active
difficulty breathing symptom,Difficulty Breathing,difficulty_breathing,active
feeling of difficulty breathing,Difficulty Breathing,difficulty_breathing,active
complains of difficulty breathing,Difficulty Breathing,difficulty_breathing,active
with difficulty breathing,Difficulty Breathing,difficulty_breathing,active
difficulty breathing present,Difficulty Breathing,difficulty_breathing,active
ongoing difficulty breathing,Difficulty Breathing,difficulty_breathing,active
persistent difficulty breathing,Difficulty Breathing,difficulty_breathing,active
budlay ginhawa,Difficulty Breathing,difficulty_breathing,active
budlay magginhawa,Difficulty Breathing,difficulty_breathing,active
budlay gid ginhawa,Difficulty Breathing,difficulty_breathing,active
budlay gid ang ginhawa,Difficulty Breathing,difficulty_breathing,active
indi ko kaginhawa,Difficulty Breathing,difficulty_breathing,active
indi makaginhawa,Difficulty Breathing,difficulty_breathing,active
dula ginhawa,Difficulty Breathing,difficulty_breathing,active
ginakapos ginhawa,Difficulty Breathing,difficulty_breathing,active
ginahapo,Difficulty Breathing,difficulty_breathing,active
hapo,Difficulty Breathing,difficulty_breathing,active
i have shortness of breath,Shortness of Breath,shortness_of_breath,active
experiencing shortness of breath,Shortness of Breath,shortness_of_breath,active
suffering from shortness of breath,Shortness of Breath,shortness_of_breath,active
shortness of breath symptom,Shortness of Breath,shortness_of_breath,active
feeling of shortness of breath,Shortness of Breath,shortness_of_breath,active
complains of shortness of breath,Shortness of Breath,shortness_of_breath,active
with shortness of breath,Shortness of Breath,shortness_of_breath,active
shortness of breath present,Shortness of Breath,shortness_of_breath,active
ongoing shortness of breath,Shortness of Breath,shortness_of_breath,active
persistent shortness of breath,Shortness of Breath,shortness_of_breath,active
i have vomiting,Vomiting,vomiting,active
experiencing vomiting,Vomiting,vomiting,active
suffering from vomiting,Vomiting,vomiting,active
vomiting symptom,Vomiting,vomiting,active
feeling of vomiting,Vomiting,vomiting,active
complains of vomiting,Vomiting,vomiting,active
with vomiting,Vomiting,vomiting,active
vomiting present,Vomiting,vomiting,active
ongoing vomiting,Vomiting,vomiting,active
persistent vomiting,Vomiting,vomiting,active
gasuka,Vomiting,vomiting,active
ginasuka,Vomiting,vomiting,active
nagasuka,Vomiting,vomiting,active
naga suka,Vomiting,vomiting,active
gapalanuka,Vomiting,vomiting,active
ginsuka,Vomiting,vomiting,active
suka,Vomiting,vomiting,active
i have diarrhea,Diarrhea,diarrhea,active
experiencing diarrhea,Diarrhea,diarrhea,active
suffering from diarrhea,Diarrhea,diarrhea,active
diarrhea symptom,Diarrhea,diarrhea,active
feeling of diarrhea,Diarrhea,diarrhea,active
complains of diarrhea,Diarrhea,diarrhea,active
with diarrhea,Diarrhea,diarrhea,active
diarrhea present,Diarrhea,diarrhea,active
ongoing diarrhea,Diarrhea,diarrhea,active
persistent diarrhea,Diarrhea,diarrhea,active
naga tae,Diarrhea,diarrhea,active
tae-tae,Diarrhea,diarrhea,active
malusaw tae,Diarrhea,diarrhea,active
nagakalibang,Diarrhea,diarrhea,active
i have abdominal pain,Abdominal Pain,abdominal_pain,active
experiencing abdominal pain,Abdominal Pain,abdominal_pain,active
suffering from abdominal pain,Abdominal Pain,abdominal_pain,active
abdominal pain symptom,Abdominal Pain,abdominal_pain,active
feeling of abdominal pain,Abdominal Pain,abdominal_pain,active
complains of abdominal pain,Abdominal Pain,abdominal_pain,active
with abdominal pain,Abdominal Pain,abdominal_pain,active
abdominal pain present,Abdominal Pain,abdominal_pain,active
ongoing abdominal pain,Abdominal Pain,abdominal_pain,active
persistent abdominal pain,Abdominal Pain,abdominal_pain,active
masakit tiyan,Abdominal Pain,abdominal_pain,active
gasakit tiyan,Abdominal Pain,abdominal_pain,active
sakit tiyan,Abdominal Pain,abdominal_pain,active
masakit akon tiyan,Abdominal Pain,abdominal_pain,active
gapalanakit tiyan,Abdominal Pain,abdominal_pain,active
i have nausea,Nausea,nausea,active
experiencing nausea,Nausea,nausea,active
suffering from nausea,Nausea,nausea,active
nausea symptom,Nausea,nausea,active
feeling of nausea,Nausea,nausea,active
complains of nausea,Nausea,nausea,active
with nausea,Nausea,nausea,active
nausea present,Nausea,nausea,active
ongoing nausea,Nausea,nausea,active
persistent nausea,Nausea,nausea,active
ginakulba,Nausea,nausea,active
kulba,Nausea,nausea,active
ginakulba ko,Nausea,nausea,active
daw magasuka,Nausea,nausea,active
i have dizziness,Dizziness,dizziness,active
experiencing dizziness,Dizziness,dizziness,active
suffering from dizziness,Dizziness,dizziness,active
dizziness symptom,Dizziness,dizziness,active
feeling of dizziness,Dizziness,dizziness,active
complains of dizziness,Dizziness,dizziness,active
with dizziness,Dizziness,dizziness,active
dizziness present,Dizziness,dizziness,active
ongoing dizziness,Dizziness,dizziness,active
persistent dizziness,Dizziness,dizziness,active
ginakalipong,Dizziness,dizziness,active
lipong,Dizziness,dizziness,active
nagakalipong,Dizziness,dizziness,active
kalipong,Dizziness,dizziness,active
i have fatigue,Fatigue,fatigue,active
experiencing fatigue,Fatigue,fatigue,active
suffering from fatigue,Fatigue,fatigue,active
fatigue symptom,Fatigue,fatigue,active
feeling of fatigue,Fatigue,fatigue,active
complains of fatigue,Fatigue,fatigue,active
with fatigue,Fatigue,fatigue,active
fatigue present,Fatigue,fatigue,active
ongoing fatigue,Fatigue,fatigue,active
persistent fatigue,Fatigue,fatigue,active
i have sore throat,Sore Throat,sore_throat,active
experiencing sore throat,Sore Throat,sore_throat,active
suffering from sore throat,Sore Throat,sore_throat,active
sore throat symptom,Sore Throat,sore_throat,active
feeling of sore throat,Sore Throat,sore_throat,active
complains of sore throat,Sore Throat,sore_throat,active
with sore throat,Sore Throat,sore_throat,active
sore throat present,Sore Throat,sore_throat,active
ongoing sore throat,Sore Throat,sore_throat,active
persistent sore throat,Sore Throat,sore_throat,active
sakit tutunlan,Sore Throat,sore_throat,active
hapdi tutunlan,Sore Throat,sore_throat,active
masakit tutunlan,Sore Throat,sore_throat,active
i have runny nose,Runny Nose,runny_nose,active
experiencing runny nose,Runny Nose,runny_nose,active
suffering from runny nose,Runny Nose,runny_nose,active
runny nose symptom,Runny Nose,runny_nose,active
feeling of runny nose,Runny Nose,runny_nose,active
complains of runny nose,Runny Nose,runny_nose,active
with runny nose,Runny Nose,runny_nose,active
runny nose present,Runny Nose,runny_nose,active
ongoing runny nose,Runny Nose,runny_nose,active
persistent runny nose,Runny Nose,runny_nose,active
sip-on,Runny Nose,runny_nose,active
sipon,Runny Nose,runny_nose,active
may sip-on,Runny Nose,runny_nose,active
ginapanuhot,Runny Nose,runny_nose,active
panuhot,Runny Nose,runny_nose,active
barado ilong,Runny Nose,runny_nose,active
i have body pain,Body Pain,body_pain,active
experiencing body pain,Body Pain,body_pain,active
suffering from body pain,Body Pain,body_pain,active
body pain symptom,Body Pain,body_pain,active
feeling of body pain,Body Pain,body_pain,active
complains of body pain,Body Pain,body_pain,active
with body pain,Body Pain,body_pain,active
body pain present,Body Pain,body_pain,active
ongoing body pain,Body Pain,body_pain,active
persistent body pain,Body Pain,body_pain,active
sakit lawas,Body Pain,body_pain,active
masakit lawas,Body Pain,body_pain,active
gapalanakit lawas,Body Pain,body_pain,active
paminsa,Body Pain,body_pain,active
i have back pain,Back Pain,back_pain,active
experiencing back pain,Back Pain,back_pain,active
suffering from back pain,Back Pain,back_pain,active
back pain symptom,Back Pain,back_pain,active
feeling of back pain,Back Pain,back_pain,active
complains of back pain,Back Pain,back_pain,active
with back pain,Back Pain,back_pain,active
back pain present,Back Pain,back_pain,active
ongoing back pain,Back Pain,back_pain,active
persistent back pain,Back Pain,back_pain,active
sakit likod,Back Pain,back_pain,active
masakit likod,Back Pain,back_pain,active
i have ear pain,Ear Pain,ear_pain,active
experiencing ear pain,Ear Pain,ear_pain,active
suffering from ear pain,Ear Pain,ear_pain,active
ear pain symptom,Ear Pain,ear_pain,active
feeling of ear pain,Ear Pain,ear_pain,active
complains of ear pain,Ear Pain,ear_pain,active
with ear pain,Ear Pain,ear_pain,active
ear pain present,Ear Pain,ear_pain,active
ongoing ear pain,Ear Pain,ear_pain,active
persistent ear pain,Ear Pain,ear_pain,active
sakit dulunggan,Ear Pain,ear_pain,active
masakit dulunggan,Ear Pain,ear_pain,active
i have eye pain,Eye Pain,eye_pain,active
experiencing eye pain,Eye Pain,eye_pain,active
suffering from eye pain,Eye Pain,eye_pain,active
eye pain symptom,Eye Pain,eye_pain,active
feeling of eye pain,Eye Pain,eye_pain,active
complains of eye pain,Eye Pain,eye_pain,active
with eye pain,Eye Pain,eye_pain,active
eye pain present,Eye Pain,eye_pain,active
ongoing eye pain,Eye Pain,eye_pain,active
persistent eye pain,Eye Pain,eye_pain,active
sakit mata,Eye Pain,eye_pain,active
masakit mata,Eye Pain,eye_pain,active
i have rash,Rash,rash,active
experiencing rash,Rash,rash,active
suffering from rash,Rash,rash,active
rash symptom,Rash,rash,active
feeling of rash,Rash,rash,active
complains of rash,Rash,rash,active
with rash,Rash,rash,active
rash present,Rash,rash,active
ongoing rash,Rash,rash,active
persistent rash,Rash,rash,active
panganud,Rash,rash,active
gahubag panit,Rash,rash,active
kalapata,Rash,rash,active
pantal,Rash,rash,active
i have palpitations,Palpitations,palpitations,active
experiencing palpitations,Palpitations,palpitations,active
suffering from palpitations,Palpitations,palpitations,active
palpitations symptom,Palpitations,palpitations,active
feeling of palpitations,Palpitations,palpitations,active
complains of palpitations,Palpitations,palpitations,active
with palpitations,Palpitations,palpitations,active
palpitations present,Palpitations,palpitations,active
ongoing palpitations,Palpitations,palpitations,active
persistent palpitations,Palpitations,palpitations,active
naga pitik dughan,Palpitations,palpitations,active
madasig pitik,Palpitations,palpitations,active
i have confusion,Confusion,confusion,active
experiencing confusion,Confusion,confusion,active
suffering from confusion,Confusion,confusion,active
confusion symptom,Confusion,confusion,active
feeling of confusion,Confusion,confusion,active
complains of confusion,Confusion,confusion,active
with confusion,Confusion,confusion,active
confusion present,Confusion,confusion,active
ongoing confusion,Confusion,confusion,active
persistent confusion,Confusion,confusion,active
i have seizure,Seizure,seizure,active
experiencing seizure,Seizure,seizure,active
suffering from seizure,Seizure,seizure,active
seizure symptom,Seizure,seizure,active
feeling of seizure,Seizure,seizure,active
complains of seizure,Seizure,seizure,active
with seizure,Seizure,seizure,active
seizure present,Seizure,seizure,active
ongoing seizure,Seizure,seizure,active
persistent seizure,Seizure,seizure,active
naguyam,Seizure,seizure,active
ginsuyam,Seizure,seizure,active
nagauyam,Seizure,seizure,active
i have bleeding,Bleeding,bleeding,active
experiencing bleeding,Bleeding,bleeding,active
suffering from bleeding,Bleeding,bleeding,active
bleeding symptom,Bleeding,bleeding,active
feeling of bleeding,Bleeding,bleeding,active
complains of bleeding,Bleeding,bleeding,active
with bleeding,Bleeding,bleeding,active
bleeding present,Bleeding,bleeding,active
ongoing bleeding,Bleeding,bleeding,active
persistent bleeding,Bleeding,bleeding,active
nagadugo,Bleeding,bleeding,active
gadugo,Bleeding,bleeding,active
grabe nagadugo,Bleeding,bleeding,active
i have burn,Burn,burn,active
experiencing burn,Burn,burn,active
suffering from burn,Burn,burn,active
burn symptom,Burn,burn,active
feeling of burn,Burn,burn,active
complains of burn,Burn,burn,active
with burn,Burn,burn,active
burn present,Burn,burn,active
ongoing burn,Burn,burn,active
persistent burn,Burn,burn,active
i have weakness,Weakness,weakness,active
experiencing weakness,Weakness,weakness,active
suffering from weakness,Weakness,weakness,active
weakness symptom,Weakness,weakness,active
feeling of weakness,Weakness,weakness,active
complains of weakness,Weakness,weakness,active
with weakness,Weakness,weakness,active
weakness present,Weakness,weakness,active
ongoing weakness,Weakness,weakness,active
persistent weakness,Weakness,weakness,active
naluya,Weakness,weakness,active
ginapangluya,Weakness,weakness,active
luya,Weakness,weakness,active
kapoy,Weakness,weakness,active
kapoy gid,Weakness,weakness,active
ginakapoy,Weakness,weakness,active
i have swelling,Swelling,swelling,active
experiencing swelling,Swelling,swelling,active
suffering from swelling,Swelling,swelling,active
swelling symptom,Swelling,swelling,active
feeling of swelling,Swelling,swelling,active
complains of swelling,Swelling,swelling,active
with swelling,Swelling,swelling,active
swelling present,Swelling,swelling,active
ongoing swelling,Swelling,swelling,active
persistent swelling,Swelling,swelling,active
gahubag,Swelling,swelling,active
hubag,Swelling,swelling,active
ginahubag,Swelling,swelling,active
nagahubag,Swelling,swelling,active
i have itching,Itching,itching,active
experiencing itching,Itching,itching,active
suffering from itching,Itching,itching,active
itching symptom,Itching,itching,active
feeling of itching,Itching,itching,active
complains of itching,Itching,itching,active
with itching,Itching,itching,active
itching present,Itching,itching,active
ongoing itching,Itching,itching,active
persistent itching,Itching,itching,active
i have chills,Chills,chills,active
experiencing chills,Chills,chills,active
suffering from chills,Chills,chills,active
chills symptom,Chills,chills,active
feeling of chills,Chills,chills,active
complains of chills,Chills,chills,active
with chills,Chills,chills,active
chills present,Chills,chills,active
ongoing chills,Chills,chills,active
persistent chills,Chills,chills,active
ginakurog,Chills,chills,active
nagakurog,Chills,chills,active
kurog,Chills,chills,active
ginakulba lawas,Chills,chills,active
i have loss of appetite,Loss of Appetite,loss_of_appetite,active
experiencing loss of appetite,Loss of Appetite,loss_of_appetite,active
suffering from loss of appetite,Loss of Appetite,loss_of_appetite,active
loss of appetite symptom,Loss of Appetite,loss_of_appetite,active
feeling of loss of appetite,Loss of Appetite,loss_of_appetite,active
complains of loss of appetite,Loss of Appetite,loss_of_appetite,active
with loss of appetite,Loss of Appetite,loss_of_appetite,active
loss of appetite present,Loss of Appetite,loss_of_appetite,active
ongoing loss of appetite,Loss of Appetite,loss_of_appetite,active
persistent loss of appetite,Loss of Appetite,loss_of_appetite,active
i have urinary pain,Urinary Pain,urinary_pain,active
experiencing urinary pain,Urinary Pain,urinary_pain,active
suffering from urinary pain,Urinary Pain,urinary_pain,active
urinary pain symptom,Urinary Pain,urinary_pain,active
feeling of urinary pain,Urinary Pain,urinary_pain,active
complains of urinary pain,Urinary Pain,urinary_pain,active
with urinary pain,Urinary Pain,urinary_pain,active
urinary pain present,Urinary Pain,urinary_pain,active
ongoing urinary pain,Urinary Pain,urinary_pain,active
persistent urinary pain,Urinary Pain,urinary_pain,active
i have constipation,Constipation,constipation,active
experiencing constipation,Constipation,constipation,active
suffering from constipation,Constipation,constipation,active
constipation symptom,Constipation,constipation,active
feeling of constipation,Constipation,constipation,active
complains of constipation,Constipation,constipation,active
with constipation,Constipation,constipation,active
constipation present,Constipation,constipation,active
ongoing constipation,Constipation,constipation,active
persistent constipation,Constipation,constipation,active
i have insomnia,Insomnia,insomnia,active
experiencing insomnia,Insomnia,insomnia,active
suffering from insomnia,Insomnia,insomnia,active
insomnia symptom,Insomnia,insomnia,active
feeling of insomnia,Insomnia,insomnia,active
complains of insomnia,Insomnia,insomnia,active
with insomnia,Insomnia,insomnia,active
insomnia present,Insomnia,insomnia,active
ongoing insomnia,Insomnia,insomnia,active
persistent insomnia,Insomnia,insomnia,active
budlay tulog,Insomnia,insomnia,active
indi makatulog,Insomnia,insomnia,active
wala tulog,Insomnia,insomnia,active
i have wheezing,Wheezing,wheezing,active
experiencing wheezing,Wheezing,wheezing,active
suffering from wheezing,Wheezing,wheezing,active
wheezing symptom,Wheezing,wheezing,active
feeling of wheezing,Wheezing,wheezing,active
complains of wheezing,Wheezing,wheezing,active
with wheezing,Wheezing,wheezing,active
wheezing present,Wheezing,wheezing,active
ongoing wheezing,Wheezing,wheezing,active
persistent wheezing,Wheezing,wheezing,active
i have coughing blood,Coughing Blood,coughing_blood,active
experiencing coughing blood,Coughing Blood,coughing_blood,active
suffering from coughing blood,Coughing Blood,coughing_blood,active
coughing blood symptom,Coughing Blood,coughing_blood,active
feeling of coughing blood,Coughing Blood,coughing_blood,active
complains of coughing blood,Coughing Blood,coughing_blood,active
with coughing blood,Coughing Blood,coughing_blood,active
coughing blood present,Coughing Blood,coughing_blood,active
ongoing coughing blood,Coughing Blood,coughing_blood,active
persistent coughing blood,Coughing Blood,coughing_blood,active
i have vomiting blood,Vomiting Blood,vomiting_blood,active
experiencing vomiting blood,Vomiting Blood,vomiting_blood,active
suffering from vomiting blood,Vomiting Blood,vomiting_blood,active
vomiting blood symptom,Vomiting Blood,vomiting_blood,active
feeling of vomiting blood,Vomiting Blood,vomiting_blood,active
complains of vomiting blood,Vomiting Blood,vomiting_blood,active
with vomiting blood,Vomiting Blood,vomiting_blood,active
vomiting blood present,Vomiting Blood,vomiting_blood,active
ongoing vomiting blood,Vomiting Blood,vomiting_blood,active
persistent vomiting blood,Vomiting Blood,vomiting_blood,active
may dugo sa suka,Vomiting Blood,vomiting_blood,active
nagsuka dugo,Vomiting Blood,vomiting_blood,active
dugo sa suka,Vomiting Blood,vomiting_blood,active
i have fainting,Fainting,fainting,active
experiencing fainting,Fainting,fainting,active
suffering from fainting,Fainting,fainting,active
fainting symptom,Fainting,fainting,active
feeling of fainting,Fainting,fainting,active
complains of fainting,Fainting,fainting,active
with fainting,Fainting,fainting,active
fainting present,Fainting,fainting,active
ongoing fainting,Fainting,fainting,active
persistent fainting,Fainting,fainting,active
i have numbness,Numbness,numbness,active
experiencing numbness,Numbness,numbness,active
suffering from numbness,Numbness,numbness,active
numbness symptom,Numbness,numbness,active
feeling of numbness,Numbness,numbness,active
complains of numbness,Numbness,numbness,active
with numbness,Numbness,numbness,active
numbness present,Numbness,numbness,active
ongoing numbness,Numbness,numbness,active
persistent numbness,Numbness,numbness,active
i have paralysis,Paralysis,paralysis,active
experiencing paralysis,Paralysis,paralysis,active
suffering from paralysis,Paralysis,paralysis,active
paralysis symptom,Paralysis,paralysis,active
feeling of paralysis,Paralysis,paralysis,active
complains of paralysis,Paralysis,paralysis,active
with paralysis,Paralysis,paralysis,active
paralysis present,Paralysis,paralysis,active
ongoing paralysis,Paralysis,paralysis,active
persistent paralysis,Paralysis,paralysis,active
i have vision loss,Vision Loss,vision_loss,active
experiencing vision loss,Vision Loss,vision_loss,active
suffering from vision loss,Vision Loss,vision_loss,active
vision loss symptom,Vision Loss,vision_loss,active
feeling of vision loss,Vision Loss,vision_loss,active
complains of vision loss,Vision Loss,vision_loss,active
with vision loss,Vision Loss,vision_loss,active
vision loss present,Vision Loss,vision_loss,active
ongoing vision loss,Vision Loss,vision_loss,active
persistent vision loss,Vision Loss,vision_loss,active
i have 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
experiencing 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
suffering from 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
1-methylhistidinuria symptom,1-Methylhistidinuria,1_methylhistidinuria,active
feeling of 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
complains of 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
with 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
1-methylhistidinuria present,1-Methylhistidinuria,1_methylhistidinuria,active
ongoing 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
persistent 1-methylhistidinuria,1-Methylhistidinuria,1_methylhistidinuria,active
i have 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
experiencing 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
suffering from 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
1-minute apgar score of 0 symptom,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
feeling of 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
complains of 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
with 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
1-minute apgar score of 0 present,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
ongoing 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
persistent 1-minute apgar score of 0,1-minute APGAR Score of 0,1_minute_apgar_score_of_0,active
i have 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,active
experiencing 1-minute apgar score of 1,1-minute APGAR Score of 1,1_minute_apgar_score_of_1,active
