hiligaynon_term,english_term,medical_category,severity,triage_level,status
bag-o lang may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nagdugo man,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ku sa kamot kag nagdugo gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ku sa kamot kag nagdugo gid ko,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ku sa kamot kag nagdugo ko gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ku sa kamot kag nagdugo man,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ku sa kamot kag nagdugo na gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang nabali kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ku sang natumba gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ku sang natumba gid ko,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ku sang natumba ko gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ku sang natumba man,hand fracture,Fracture,High,emergency,active
bag-o lang nabali kamot ku sang natumba na gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali na kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali na kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
bag-o lang nabali na kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabali na kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
bag-o lang nabali na kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
bag-o lang nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ku pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ku pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ku pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ku pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nagdugo ulo ku pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
bag-o lang nakuryente ko sang kuryente gid,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ko sang kuryente gid ko,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ko sang kuryente ko gid,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ko sang kuryente man,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ko sang kuryente na gid,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ku sang kuryente gid,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ku sang kuryente gid ko,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ku sang kuryente ko gid,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ku sang kuryente man,electrical injury,Trauma,Critical,emergency,active
bag-o lang nakuryente ku sang kuryente na gid,electrical injury,Trauma,Critical,emergency,active
bag-o lang nautod na tudlo ko sang makina gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod na tudlo ko sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod na tudlo ko sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod na tudlo ko sang makina man,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod na tudlo ko sang makina na gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ko sang makina gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ko sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ko sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ko sang makina man,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ko sang makina na gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ku sang makina gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ku sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ku sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ku sang makina man,amputated finger,Trauma,Critical,emergency,active
bag-o lang nautod tudlo ku sang makina na gid,amputated finger,Trauma,Critical,emergency,active
basin budlay magginhawa ko,difficulty breathing,Respiratory,Critical,emergency,active
basin gadugo bilat ko,vaginal bleeding,gynecologic_symptom,High,urgent,active
basin gasakit dughan ko,chest pain,Cardiovascular,High,emergency,active
basin gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
basin gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
basin gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
basin gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
basin gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko,dog bite,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ku kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ku kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ku kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ku kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
basin ginkagat sang ido ku kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
basin ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ku kag nabun-og ulo gid,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ku kag nabun-og ulo gid ko,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ku kag nabun-og ulo ko gid,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ku kag nabun-og ulo man,physical assault with head bruise,Trauma,High,emergency,active
basin ginsumbag ku kag nabun-og ulo na gid,physical assault with head bruise,Trauma,High,emergency,active
basin may nana akon mata,eye infection,Infection,High,urgent,active
basin may nana akon mata subong gid,eye infection,Infection,High,urgent,active
basin may nana akon mata subong gid ko,eye infection,Infection,High,urgent,active
basin may nana akon mata subong ko gid,eye infection,Infection,High,urgent,active
basin may nana akon mata subong man,eye infection,Infection,High,urgent,active
basin may nana akon mata subong na gid,eye infection,Infection,High,urgent,active
basin may nana sa bilat ko,vaginal infection,infection,High,urgent,active
basin may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nag dugo man,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nagdugo man,bleeding hand wound,Wound,High,emergency,active
basin may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ku sa kamot kag nagdugo gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ku sa kamot kag nagdugo gid ko,bleeding hand wound,Wound,High,emergency,active
basin may pilas ku sa kamot kag nagdugo ko gid,bleeding hand wound,Wound,High,emergency,active
basin may pilas ku sa kamot kag nagdugo man,bleeding hand wound,Wound,High,emergency,active
basin may pilas ku sa kamot kag nagdugo na gid,bleeding hand wound,Wound,High,emergency,active
basin nabali kamot ko,hand fracture,Fracture,High,emergency,active
basin nabali kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
basin nabali kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
basin nabali kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
basin nabali kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
basin nabali kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
basin nabali kamot ku sang natumba gid,hand fracture,Fracture,High,emergency,active
basin nabali kamot ku sang natumba gid ko,hand fracture,Fracture,High,emergency,active
basin nabali kamot ku sang natumba ko gid,hand fracture,Fracture,High,emergency,active
basin nabali kamot ku sang natumba man,hand fracture,Fracture,High,emergency,active
basin nabali kamot ku sang natumba na gid,hand fracture,Fracture,High,emergency,active
basin nabali na kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
basin nabali na kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
basin nabali na kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
basin nabali na kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
basin nabali na kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
basin nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ku sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ku sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ku sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ku sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nabunggo ku sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
basin nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
basin nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
basin nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ko,head bleeding,Bleeding,Critical,emergency,active
basin nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ku pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ku pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ku pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ku pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
basin nagdugo ulo ku pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
basin nakuryente ko sang kuryente gid,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ko sang kuryente gid ko,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ko sang kuryente ko gid,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ko sang kuryente man,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ko sang kuryente na gid,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ku sang kuryente gid,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ku sang kuryente gid ko,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ku sang kuryente ko gid,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ku sang kuryente man,electrical injury,Trauma,Critical,emergency,active
basin nakuryente ku sang kuryente na gid,electrical injury,Trauma,Critical,emergency,active
basin nautod na tudlo ko sang makina gid,amputated finger,Trauma,Critical,emergency,active
basin nautod na tudlo ko sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
basin nautod na tudlo ko sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
basin nautod na tudlo ko sang makina man,amputated finger,Trauma,Critical,emergency,active
basin nautod na tudlo ko sang makina na gid,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ko sang makina gid,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ko sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ko sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ko sang makina man,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ko sang makina na gid,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ku sang makina gid,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ku sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ku sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ku sang makina man,amputated finger,Trauma,Critical,emergency,active
basin nautod tudlo ku sang makina na gid,amputated finger,Trauma,Critical,emergency,active
basin nga budlay magginhawa ko,difficulty breathing,Respiratory,Critical,emergency,active
basin nga gasakit dughan ko,chest pain,Cardiovascular,High,emergency,active
basin nga ginkagat sang ido ko,dog bite,Bite,Critical,emergency,active
basin nga may nana akon mata,eye infection,Infection,High,urgent,active
basin nga nabali kamot ko,hand fracture,Fracture,High,emergency,active
basin nga nagdugo ulo ko,head bleeding,Bleeding,Critical,emergency,active
beke,mumps,Infectious,Medium,urgent,active
bulutong tubig,chickenpox,Infectious,Medium,urgent,active
cardiac disease,heart disease,Cardiovascular,High,urgent,active
chicken pox,chickenpox,Infectious,Medium,urgent,active
chickenpox,chickenpox,Infectious,Medium,urgent,active
ckd,chronic kidney disease,Urinary,High,urgent,active
colds,common cold,Respiratory,Mild,non_urgent,active
common cold,common cold,Respiratory,Mild,non_urgent,active
corona,COVID-19,Infectious,High,urgent,active
coronavirus,COVID-19,Infectious,High,urgent,active
covid,COVID-19,Infectious,High,urgent,active
covid 19,COVID-19,Infectious,High,urgent,active
covid-19,COVID-19,Infectious,High,urgent,active
cva,stroke,Neurological,Critical,emergency,active
daw budlay magginhawa ko,difficulty breathing,Respiratory,Critical,emergency,active
daw gadugo bilat ko,vaginal bleeding,gynecologic_symptom,High,urgent,active
daw gasakit dughan ko,chest pain,Cardiovascular,High,emergency,active
daw gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
daw gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
daw gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
daw gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
daw gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
daw ginkagat sang ido ko,dog bite,Bite,Critical,emergency,active
daw ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,Bite,Critical,emergency,active
daw ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
