id,hiligaynon_complaint,normalized_symptom,english_translation,medical_term,body_part,pain_category,severity_level,alternative_spellings
18,daw hapdi tyan ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
19,daw may ara ko sakit sikmura sige na gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
20,daw may ara ko sakit tyan halin sang aga gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
21,daw sakit tian ko sige na gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
22,daw sakit tiyan ko sige na gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
23,daw sakit tyan ko sige na gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
24,feel ko nga abdominal pain gid ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
25,feel ko nga feel ko nga ga sakit tian ko gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
26,feel ko nga feel ko nga ga sakit tiyan ko gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
27,feel ko nga feel ko nga ga sakit tyan ko gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
28,feel ko nga may abdominal pain ko na gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
29,feel ko nga sakit tian ko sige gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
30,feel ko nga sakit tiyan ko sige gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
31,feel ko nga sakit tyan ko sige gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
32,ga saket tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
33,ga sakit tian,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
34,ga sakit tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
35,ga sakit tiyan bah,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
36,ga sakit tiyan gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
37,ga sakit tiyan gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
38,ga sakit tiyan ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
39,ga sakit tiyan man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
40,ga sakit tiyan no,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
41,ga sakit tyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
42,ga skit tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
43,ginasaket tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
44,ginasakit tian,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
45,ginasakit tian ko subong,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
46,ginasakit tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
47,ginasakit tiyan bah,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
48,ginasakit tiyan gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
49,ginasakit tiyan gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
50,ginasakit tiyan ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
51,ginasakit tiyan ko subong,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
52,ginasakit tiyan man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
53,ginasakit tiyan no,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
54,ginasakit tyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
55,ginasakit tyan ko subong,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
56,ginaskit tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
57,hapde tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
58,hapdi tian,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
59,hapdi tian gid ko subong ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
60,hapdi tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
61,hapdi tiyan bah,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
62,hapdi tiyan gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
63,hapdi tiyan gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
64,hapdi tiyan gid ko subong ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
65,hapdi tiyan ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
66,hapdi tiyan man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
67,hapdi tiyan no,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
68,hapdi tiyan skit,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
69,hapdi tyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
70,hapdi tyan gid ko subong ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
71,kirot tian,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
72,kirot tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
73,kirot tiyan bah,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
74,kirot tiyan gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
75,kirot tiyan gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
76,kirot tiyan ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
77,kirot tiyan man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
78,kirot tiyan no,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
79,kirot tiyan skit,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
80,kirot tyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
81,kirt tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
82,Masaket akon tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
83,masaket tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
84,Masakit akon tian,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
85,Masakit akon tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
86,Masakit akon tyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
87,masakit sobra akon tian gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
88,masakit sobra akon tiyan gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
89,masakit sobra akon tyan gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
90,masakit tian,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
91,masakit tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
92,masakit tiyan bah,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
93,masakit tiyan gid,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
94,masakit tiyan gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
95,masakit tiyan ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
96,masakit tiyan man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
97,masakit tiyan no,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
98,masakit tyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
99,masakti tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
100,maskit tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
101,may ara ko nga ginasakit tian ko man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
102,may ara ko nga ginasakit tiyan ko man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
103,may ara ko nga ginasakit tyan ko man,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
104,may ara ko nga may ara ko masakit tian karon ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
105,may ara ko nga may ara ko masakit tiyan karon ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
106,may ara ko nga may ara ko masakit tyan karon ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
107,may ara ko nga sakit tyan gid ko subong gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
108,nagasakit tian ko gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
109,nagasakit tiyan ko gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
