symptom_key,local_term,english_term,source
anxiety,ginakabalaka ako,anxiety,expand_hiligaynon_nlp_coverage
anxiety,wala ako kahilwayan,anxiety,expand_hiligaynon_nlp_coverage
back_pain,sakit sang likod,back pain,expand_hiligaynon_nlp_coverage
back_pain,ginasakit ang likod,back pain,expand_hiligaynon_nlp_coverage
back_pain,masakit ang likod ko,back pain,expand_hiligaynon_nlp_coverage
back_pain,sakit likod gid,back pain,expand_hiligaynon_nlp_coverage
back_pain,ginasakit ang baywang,back pain,expand_hiligaynon_nlp_coverage
back_pain,may sakit sa likod,back pain,expand_hiligaynon_nlp_coverage
belly_pain,sakit sa tiyan,belly pain,expand_hiligaynon_nlp_coverage
belly_pain,ginasakit ang busong,belly pain,expand_hiligaynon_nlp_coverage
belly_pain,sakit ang busong ko,belly pain,expand_hiligaynon_nlp_coverage
belly_pain,may sakit sa tiyan,belly pain,expand_hiligaynon_nlp_coverage
blackheads,itom nga tuldok sa guya,blackheads,expand_hiligaynon_nlp_coverage
blackheads,may itom nga tuldok sa panit,blackheads,expand_hiligaynon_nlp_coverage
blackheads,may blackheads sa guya,blackheads,expand_hiligaynon_nlp_coverage
blackheads,itom nga tuldok sa nawong,blackheads,expand_hiligaynon_nlp_coverage
blackheads,may itom nga heads sa panit,blackheads,expand_hiligaynon_nlp_coverage
bladder_discomfort,indi komportable ang pantog,bladder discomfort,expand_hiligaynon_nlp_coverage
bladder_discomfort,may kabudlayan sa pantog,bladder discomfort,expand_hiligaynon_nlp_coverage
bladder_discomfort,sakit ang pantog,bladder discomfort,expand_hiligaynon_nlp_coverage
bladder_discomfort,indi komportable kon mag-ihi,bladder discomfort,expand_hiligaynon_nlp_coverage
bladder_discomfort,may discomfort sa pantog,bladder discomfort,expand_hiligaynon_nlp_coverage
blister,may paltos sa panit,blister,expand_hiligaynon_nlp_coverage
blister,nagapaltos ang panit,blister,expand_hiligaynon_nlp_coverage
blister,may lintog sa panit,blister,expand_hiligaynon_nlp_coverage
blister,may paltos ako,blister,expand_hiligaynon_nlp_coverage
blister,nagapaltos,blister,expand_hiligaynon_nlp_coverage
blister,may lintog,blister,expand_hiligaynon_nlp_coverage
blister,may blister sa panit,blister,expand_hiligaynon_nlp_coverage
blood_in_sputum,may dugo ang plema,blood in sputum,expand_hiligaynon_nlp_coverage
blood_in_sputum,nagadugo ang akon plema,blood in sputum,expand_hiligaynon_nlp_coverage
blood_in_sputum,may dugo sa plema,blood in sputum,expand_hiligaynon_nlp_coverage
blood_in_sputum,nagadugo kon magubo,blood in sputum,expand_hiligaynon_nlp_coverage
blood_in_sputum,pula ang plema,blood in sputum,expand_hiligaynon_nlp_coverage
bloody_stool,may dugo ang tai,bloody stool,expand_hiligaynon_nlp_coverage
bloody_stool,nagadugo kon magalibang,bloody stool,expand_hiligaynon_nlp_coverage
bloody_stool,may dugo sa tai,bloody stool,expand_hiligaynon_nlp_coverage
bloody_stool,nagadugo ang tai,bloody stool,expand_hiligaynon_nlp_coverage
bloody_stool,pula ang tai,bloody stool,expand_hiligaynon_nlp_coverage
blurred_and_distorted_vision,malubog ang panulok,blurred and distorted vision,expand_hiligaynon_nlp_coverage
blurred_and_distorted_vision,indi maathag ang pagtan-aw,blurred and distorted vision,expand_hiligaynon_nlp_coverage
blurred_and_distorted_vision,malubog ang mata,blurred and distorted vision,expand_hiligaynon_nlp_coverage
blurred_and_distorted_vision,indi maathag magtan-aw,blurred and distorted vision,expand_hiligaynon_nlp_coverage
blurred_and_distorted_vision,daw double vision,blurred and distorted vision,expand_hiligaynon_nlp_coverage
blurred_and_distorted_vision,blurred ang panulok,blurred and distorted vision,expand_hiligaynon_nlp_coverage
breathlessness,budlay maginhawa,breathlessness,expand_hiligaynon_nlp_coverage
breathlessness,ginabudlayan ako maginhawa,breathlessness,expand_hiligaynon_nlp_coverage
breathlessness,kapos ang ginhawa,breathlessness,expand_hiligaynon_nlp_coverage
breathlessness,kapos ginhawa,breathlessness,expand_hiligaynon_nlp_coverage
breathlessness,budlay ginhawa,breathlessness,expand_hiligaynon_nlp_coverage
breathlessness,ginahapo ako,breathlessness,expand_hiligaynon_nlp_coverage
breathlessness,short of breath,breathlessness,expand_hiligaynon_nlp_coverage
breathlessness,indi makaginhawa maayo,breathlessness,expand_hiligaynon_nlp_coverage
brittle_nails,mahapos mabali ang kuko,brittle nails,expand_hiligaynon_nlp_coverage
brittle_nails,manipis kag mabali ang kuko,brittle nails,expand_hiligaynon_nlp_coverage
brittle_nails,madali mabali ang kuko,brittle nails,expand_hiligaynon_nlp_coverage
brittle_nails,mahuyang ang kuko,brittle nails,expand_hiligaynon_nlp_coverage
brittle_nails,naga-break ang kuko,brittle nails,expand_hiligaynon_nlp_coverage
bruising,may pasa sa lawas,bruising,expand_hiligaynon_nlp_coverage
bruising,madali magpasa ang panit,bruising,expand_hiligaynon_nlp_coverage
bruising,madali magpasa,bruising,expand_hiligaynon_nlp_coverage
bruising,may pasa,bruising,expand_hiligaynon_nlp_coverage
bruising,naga-bruise ang panit,bruising,expand_hiligaynon_nlp_coverage
bruising,asul ang panit,bruising,expand_hiligaynon_nlp_coverage
burning_micturition,hapdi kon mag-ihi,burning micturition,expand_hiligaynon_nlp_coverage
burning_micturition,nagahapdi kon mag-ihi,burning micturition,expand_hiligaynon_nlp_coverage
burning_micturition,hapdi mag-ihi,burning micturition,expand_hiligaynon_nlp_coverage
burning_micturition,nagahapdi ang ihi,burning micturition,expand_hiligaynon_nlp_coverage
burning_micturition,sakit kon mag-ihi,burning micturition,expand_hiligaynon_nlp_coverage
burning_micturition,burning urination,burning micturition,expand_hiligaynon_nlp_coverage
chest_pain,sakit sang dughan,chest pain,expand_hiligaynon_nlp_coverage
chest_pain,hapdi ang dughan,chest pain,expand_hiligaynon_nlp_coverage
chest_pain,ginasakit ang dughan,chest pain,expand_hiligaynon_nlp_coverage
chest_pain,ginasakit ang dughan ko,chest pain,expand_hiligaynon_nlp_coverage
chest_pain,may sakit sa dughan,chest pain,expand_hiligaynon_nlp_coverage
chills,ginapanas-an ako,chills,expand_hiligaynon_nlp_coverage
chills,nagapalamig ang lawas,chills,expand_hiligaynon_nlp_coverage
chills,ginapanas-an,chills,expand_hiligaynon_nlp_coverage
chills,nagapalamig,chills,expand_hiligaynon_nlp_coverage
chills,may chills,chills,expand_hiligaynon_nlp_coverage
cold_hands_and_feets,malamig ang kamot kag tiil,cold hands and feets,expand_hiligaynon_nlp_coverage
cold_hands_and_feets,ginalamigan ang kamot kag tiil,cold hands and feets,expand_hiligaynon_nlp_coverage
cold_hands_and_feets,malamig kamot kag tiil,cold hands and feets,expand_hiligaynon_nlp_coverage
cold_hands_and_feets,ginalamigan ang kamot,cold hands and feets,expand_hiligaynon_nlp_coverage
cold_hands_and_feets,malamig ang tiil,cold hands and feets,expand_hiligaynon_nlp_coverage
cold_hands_and_feets,cold hands and feet,cold hands and feets,expand_hiligaynon_nlp_coverage
coma,wala na sang kalibutan,coma,expand_hiligaynon_nlp_coverage
coma,nadulaan sang kalibutan,coma,expand_hiligaynon_nlp_coverage
coma,wala sang kalibutan,coma,expand_hiligaynon_nlp_coverage
coma,indi magmata,coma,expand_hiligaynon_nlp_coverage
coma,nadulaan kalibutan,coma,expand_hiligaynon_nlp_coverage
coma,unconscious,coma,expand_hiligaynon_nlp_coverage
congestion,barado ang ilong,congestion,expand_hiligaynon_nlp_coverage
congestion,napun-an ang ilong,congestion,expand_hiligaynon_nlp_coverage
congestion,barado ilong,congestion,expand_hiligaynon_nlp_coverage
congestion,napun-an ilong,congestion,expand_hiligaynon_nlp_coverage
congestion,barado ang ilong ko,congestion,expand_hiligaynon_nlp_coverage
congestion,nasal congestion,congestion,expand_hiligaynon_nlp_coverage
congestion,indi makaginhawa sa ilong,congestion,expand_hiligaynon_nlp_coverage
constipation,indi makalibang,constipation,expand_hiligaynon_nlp_coverage
constipation,matig-a ang tai,constipation,expand_hiligaynon_nlp_coverage
constipation,matig-a tai,constipation,expand_hiligaynon_nlp_coverage
constipation,budlay maglibang,constipation,expand_hiligaynon_nlp_coverage
continuous_feel_of_urine,daw permi gusto mag-ihi,continuous feel of urine,expand_hiligaynon_nlp_coverage
continuous_feel_of_urine,wala untat ang gana mag-ihi,continuous feel of urine,expand_hiligaynon_nlp_coverage
continuous_feel_of_urine,permi gusto mag-ihi,continuous feel of urine,expand_hiligaynon_nlp_coverage
continuous_feel_of_urine,daw may ihi permi,continuous feel of urine,expand_hiligaynon_nlp_coverage
continuous_feel_of_urine,frequent urge to urinate,continuous feel of urine,expand_hiligaynon_nlp_coverage
continuous_sneezing,permi nagabahin,continuous sneezing,expand_hiligaynon_nlp_coverage
continuous_sneezing,wala untat nga pagbahin,continuous sneezing,expand_hiligaynon_nlp_coverage
continuous_sneezing,wala untat bahin,continuous sneezing,expand_hiligaynon_nlp_coverage
continuous_sneezing,madamo nga bahin,continuous sneezing,expand_hiligaynon_nlp_coverage
cough,nagaubo ako,cough,expand_hiligaynon_nlp_coverage
cough,permi nagaubo,cough,expand_hiligaynon_nlp_coverage
cough,ubo ako,cough,expand_hiligaynon_nlp_coverage
cramps,ginapulikat ako,cramps,expand_hiligaynon_nlp_coverage
cramps,may pulikat sa lawas,cramps,expand_hiligaynon_nlp_coverage
cramps,ginapulikat,cramps,expand_hiligaynon_nlp_coverage
cramps,may pulikat,cramps,expand_hiligaynon_nlp_coverage
cramps,naga-cramp,cramps,expand_hiligaynon_nlp_coverage
cramps,pulikat sa tiyan,cramps,expand_hiligaynon_nlp_coverage
dark_urine,madulom ang ihi,dark urine,expand_hiligaynon_nlp_coverage
dark_urine,dulom ihi,dark urine,expand_hiligaynon_nlp_coverage
dehydration,kulang sa tubig ang lawas,dehydration,expand_hiligaynon_nlp_coverage
dehydration,permi ginauhaw,dehydration,expand_hiligaynon_nlp_coverage
dehydration,kulang tubig,dehydration,expand_hiligaynon_nlp_coverage
dehydration,dehydrated,dehydration,expand_hiligaynon_nlp_coverage
dehydration,uga ang baba,dehydration,expand_hiligaynon_nlp_coverage
depression,permi ginakasubo,depression,expand_hiligaynon_nlp_coverage
depression,wala na gana sa kabuhi,depression,expand_hiligaynon_nlp_coverage
depression,permi masubo,depression,expand_hiligaynon_nlp_coverage
depression,wala gana sa kabuhi,depression,expand_hiligaynon_nlp_coverage
depression,depressed,depression,expand_hiligaynon_nlp_coverage
depression,ginakasubo,depression,expand_hiligaynon_nlp_coverage
diarrhoea,nagakalibanga ako,diarrhoea,expand_hiligaynon_nlp_coverage
diarrhoea,permi nagalibang nga malapsi,diarrhoea,expand_hiligaynon_nlp_coverage
diarrhoea,nagakalibanga,diarrhoea,expand_hiligaynon_nlp_coverage
diarrhoea,kalibanga,diarrhoea,expand_hiligaynon_nlp_coverage
diarrhoea,malapsi ang tai,diarrhoea,expand_hiligaynon_nlp_coverage
diarrhoea,diarrhea,diarrhoea,expand_hiligaynon_nlp_coverage
diarrhoea,permi nagalibang,diarrhoea,expand_hiligaynon_nlp_coverage
dischromic_patches,may lain nga kolor sa panit,dischromic patches,expand_hiligaynon_nlp_coverage
dischromic_patches,may tapal nga nagbag-o ang kolor,dischromic patches,expand_hiligaynon_nlp_coverage
dischromic_patches,may tapal sa panit,dischromic patches,expand_hiligaynon_nlp_coverage
dischromic_patches,nagbag-o ang kolor sang panit,dischromic patches,expand_hiligaynon_nlp_coverage
dischromic_patches,may puti ukon itom nga tapal,dischromic patches,expand_hiligaynon_nlp_coverage
distention_of_abdomen,nagabusdik ang tiyan,distention of abdomen,expand_hiligaynon_nlp_coverage
distention_of_abdomen,nagdako ang tiyan,distention of abdomen,expand_hiligaynon_nlp_coverage
distention_of_abdomen,nagabusdik tiyan,distention of abdomen,expand_hiligaynon_nlp_coverage
distention_of_abdomen,nagdako tiyan,distention of abdomen,expand_hiligaynon_nlp_coverage
distention_of_abdomen,busdik ang tiyan,distention of abdomen,expand_hiligaynon_nlp_coverage
distention_of_abdomen,bloated belly,distention of abdomen,expand_hiligaynon_nlp_coverage
dizziness,nagalipong ako,dizziness,expand_hiligaynon_nlp_coverage
dizziness,ginalipong ang ulo,dizziness,expand_hiligaynon_nlp_coverage
dizziness,ginalipong,dizziness,expand_hiligaynon_nlp_coverage
dizziness,lipong ulo,dizziness,expand_hiligaynon_nlp_coverage
dizziness,daw magkalipong,dizziness,expand_hiligaynon_nlp_coverage
drying_and_tingling_lips,nagamala kag nagatingling ang bibig,drying and tingling lips,expand_hiligaynon_nlp_coverage
drying_and_tingling_lips,mala kag tingling ang bibig,drying and tingling lips,expand_hiligaynon_nlp_coverage
drying_and_tingling_lips,mala ang bibig,drying and tingling lips,expand_hiligaynon_nlp_coverage
drying_and_tingling_lips,nagamala ang ngabil,drying and tingling lips,expand_hiligaynon_nlp_coverage
drying_and_tingling_lips,tingling ang bibig,drying and tingling lips,expand_hiligaynon_nlp_coverage
drying_and_tingling_lips,uga kag tingling ang lips,drying and tingling lips,expand_hiligaynon_nlp_coverage
enlarged_thyroid,nagdako ang bosyo,enlarged thyroid,expand_hiligaynon_nlp_coverage
enlarged_thyroid,may bosyo sa liog,enlarged thyroid,expand_hiligaynon_nlp_coverage
enlarged_thyroid,may bosyo,enlarged thyroid,expand_hiligaynon_nlp_coverage
enlarged_thyroid,hubag ang thyroid,enlarged thyroid,expand_hiligaynon_nlp_coverage
enlarged_thyroid,goiter,enlarged thyroid,expand_hiligaynon_nlp_coverage
excessive_hunger,permi ginagutom,excessive hunger,expand_hiligaynon_nlp_coverage
excessive_hunger,sobra ang gutom bisan bag-o lang magkaon,excessive hunger,expand_hiligaynon_nlp_coverage
excessive_hunger,sobra gutom,excessive hunger,expand_hiligaynon_nlp_coverage
excessive_hunger,wala kabusog,excessive hunger,expand_hiligaynon_nlp_coverage
extra_marital_contacts,may relasyon sa iban nga tawo,extra marital contacts,expand_hiligaynon_nlp_coverage
extra_marital_contacts,indi lang isa ang kapareha,extra marital contacts,expand_hiligaynon_nlp_coverage
extra_marital_contacts,may iban nga kapareha,extra marital contacts,expand_hiligaynon_nlp_coverage
extra_marital_contacts,may relasyon sa gwa,extra marital contacts,expand_hiligaynon_nlp_coverage
extra_marital_contacts,extra marital,extra marital contacts,expand_hiligaynon_nlp_coverage
family_history,may kaso sa pamilya,family history,expand_hiligaynon_nlp_coverage
family_history,namana sa pamilya,family history,expand_hiligaynon_nlp_coverage
family_history,may ara sa parentes,family history,expand_hiligaynon_nlp_coverage
fast_heart_rate,kusog ang pitik sang tagipusuon,fast heart rate,expand_hiligaynon_nlp_coverage
fast_heart_rate,madasig ang pitik sang tagipusuon,fast heart rate,expand_hiligaynon_nlp_coverage
fast_heart_rate,kusog pitik sang tagipusuon,fast heart rate,expand_hiligaynon_nlp_coverage
fast_heart_rate,madasig ang heart beat,fast heart rate,expand_hiligaynon_nlp_coverage
fast_heart_rate,nagakubakuba ang puso,fast heart rate,expand_hiligaynon_nlp_coverage
fast_heart_rate,tachycardia,fast heart rate,expand_hiligaynon_nlp_coverage
fatigue,kapoy gid ang lawas,fatigue,expand_hiligaynon_nlp_coverage
fatigue,ginakapoy ako,fatigue,expand_hiligaynon_nlp_coverage
fatigue,kapoy lawas,fatigue,expand_hiligaynon_nlp_coverage
fatigue,pagod,fatigue,expand_hiligaynon_nlp_coverage
fluid_overload,sobra ang tubig sa lawas,fluid overload,expand_hiligaynon_nlp_coverage
fluid_overload,nagahubag tungod sa sobra nga tubig,fluid overload,expand_hiligaynon_nlp_coverage
fluid_overload,sobra tubig sa lawas,fluid overload,expand_hiligaynon_nlp_coverage
fluid_overload,nagahubag tungod tubig,fluid overload,expand_hiligaynon_nlp_coverage
foul_smell_of_urine,mabaho ang ihi,foul smell of urine,expand_hiligaynon_nlp_coverage
foul_smell_of_urine,may mabaho nga ihi,foul smell of urine,expand_hiligaynon_nlp_coverage
foul_smell_of_urine,mabaho ihi,foul smell of urine,expand_hiligaynon_nlp_coverage
foul_smell_of_urine,may baho ang ihi,foul smell of urine,expand_hiligaynon_nlp_coverage
foul_smell_of_urine,foul smelling urine,foul smell of urine,expand_hiligaynon_nlp_coverage
headache,ginasakit ang ulo,headache,expand_hiligaynon_nlp_coverage
headache,may sakit ulo,headache,expand_hiligaynon_nlp_coverage
high_fever,grabe nga hilanat,high fever,expand_hiligaynon_nlp_coverage
high_fever,mataas hilanat,high fever,expand_hiligaynon_nlp_coverage
high_fever,grabe hilanat,high fever,expand_hiligaynon_nlp_coverage
high_fever,taas nga hilanat,high fever,expand_hiligaynon_nlp_coverage
high_fever,mainit gid ang lawas,high fever,expand_hiligaynon_nlp_coverage
hip_joint_pain,sakit sa lutahan sang balikawang,hip joint pain,expand_hiligaynon_nlp_coverage
hip_joint_pain,ginasakit ang balikawang,hip joint pain,expand_hiligaynon_nlp_coverage
hip_joint_pain,sakit balikawang,hip joint pain,expand_hiligaynon_nlp_coverage
hip_joint_pain,sakit sa hip,hip joint pain,expand_hiligaynon_nlp_coverage
hip_joint_pain,ginasakit ang hip joint,hip joint pain,expand_hiligaynon_nlp_coverage
history_of_alcohol_consumption,nagainom sang alak,history of alcohol consumption,expand_hiligaynon_nlp_coverage
history_of_alcohol_consumption,hilig mag-inom sang alak,history of alcohol consumption,expand_hiligaynon_nlp_coverage
history_of_alcohol_consumption,nagainom alak,history of alcohol consumption,expand_hiligaynon_nlp_coverage
history_of_alcohol_consumption,hilig mag-inom,history of alcohol consumption,expand_hiligaynon_nlp_coverage
history_of_alcohol_consumption,drinker,history of alcohol consumption,expand_hiligaynon_nlp_coverage
history_of_alcohol_consumption,may history sa inom,history of alcohol consumption,expand_hiligaynon_nlp_coverage
increased_appetite,nagdugang ang gana magkaon,increased appetite,expand_hiligaynon_nlp_coverage
increased_appetite,mas madamo na ang ginakaon,increased appetite,expand_hiligaynon_nlp_coverage
increased_appetite,nagdugang gana magkaon,increased appetite,expand_hiligaynon_nlp_coverage
increased_appetite,mas gutom kaysa sang una,increased appetite,expand_hiligaynon_nlp_coverage
indigestion,indi matunaw ang ginkaon,indigestion,expand_hiligaynon_nlp_coverage
indigestion,nagabalda ang tiyan pagkatapos magkaon,indigestion,expand_hiligaynon_nlp_coverage
indigestion,indi matunaw,indigestion,expand_hiligaynon_nlp_coverage
indigestion,nagabalda tiyan,indigestion,expand_hiligaynon_nlp_coverage
indigestion,mabug-at ang tiyan,indigestion,expand_hiligaynon_nlp_coverage
inflammatory_nails,nagahubag ang palibot sang kuko,inflammatory nails,expand_hiligaynon_nlp_coverage
inflammatory_nails,hubag kag pula ang kuko,inflammatory nails,expand_hiligaynon_nlp_coverage
inflammatory_nails,hubag ang kuko,inflammatory nails,expand_hiligaynon_nlp_coverage
inflammatory_nails,pula ang palibot sang kuko,inflammatory nails,expand_hiligaynon_nlp_coverage
inflammatory_nails,infected nails,inflammatory nails,expand_hiligaynon_nlp_coverage
internal_itching,ginakatol sa sulod,internal itching,expand_hiligaynon_nlp_coverage
internal_itching,katol sa sulod sang tiyan,internal itching,expand_hiligaynon_nlp_coverage
internal_itching,katol sa sulod,internal itching,expand_hiligaynon_nlp_coverage
irregular_sugar_level,indi stable ang asukar sa dugo,irregular sugar level,expand_hiligaynon_nlp_coverage
irregular_sugar_level,nagataas kag naganaba ang asukar,irregular sugar level,expand_hiligaynon_nlp_coverage
irregular_sugar_level,indi stable ang asukar,irregular sugar level,expand_hiligaynon_nlp_coverage
irregular_sugar_level,nagataas ang blood sugar,irregular sugar level,expand_hiligaynon_nlp_coverage
irregular_sugar_level,irregular sugar,irregular sugar level,expand_hiligaynon_nlp_coverage
irregular_sugar_level,high sugar,irregular sugar level,expand_hiligaynon_nlp_coverage
irritability,madali ako maakig,irritability,expand_hiligaynon_nlp_coverage
irritability,mainiton ang ulo,irritability,expand_hiligaynon_nlp_coverage
irritability,madali maakig,irritability,expand_hiligaynon_nlp_coverage
irritability,mainiton ulo,irritability,expand_hiligaynon_nlp_coverage
irritability,irritable,irritability,expand_hiligaynon_nlp_coverage
irritability,permi naakig,irritability,expand_hiligaynon_nlp_coverage
irritation_in_anus,ginakatol ang lubot,irritation in anus,expand_hiligaynon_nlp_coverage
irritation_in_anus,may irritation sa lubot,irritation in anus,expand_hiligaynon_nlp_coverage
irritation_in_anus,katol sa lubot,irritation in anus,expand_hiligaynon_nlp_coverage
irritation_in_anus,may irritation sa anus,irritation in anus,expand_hiligaynon_nlp_coverage
itching,ginakatol ang panit,itching,expand_hiligaynon_nlp_coverage
itching,makatol ang panit,itching,expand_hiligaynon_nlp_coverage
itching,makatol,itching,expand_hiligaynon_nlp_coverage
itching,katol panit,itching,expand_hiligaynon_nlp_coverage
itching,permi ginakatol,itching,expand_hiligaynon_nlp_coverage
joint_pain,sakit sa lutahan,joint pain,expand_hiligaynon_nlp_coverage
joint_pain,ginasakit ang lutahan,joint pain,expand_hiligaynon_nlp_coverage
joint_pain,sakit lutahan,joint pain,expand_hiligaynon_nlp_coverage
joint_pain,sakit sa joints,joint pain,expand_hiligaynon_nlp_coverage
knee_pain,sakit sang tuhod,knee pain,expand_hiligaynon_nlp_coverage
knee_pain,ginasakit ang tuhod,knee pain,expand_hiligaynon_nlp_coverage
knee_pain,sakit tuhod,knee pain,expand_hiligaynon_nlp_coverage
lack_of_concentration,indi makapokus ang huna-huna,lack of concentration,expand_hiligaynon_nlp_coverage
lack_of_concentration,wala ako konsentrasyon,lack of concentration,expand_hiligaynon_nlp_coverage
lack_of_concentration,indi makapokus,lack of concentration,expand_hiligaynon_nlp_coverage
lack_of_concentration,wala konsentrasyon,lack of concentration,expand_hiligaynon_nlp_coverage
lack_of_concentration,cannot concentrate,lack of concentration,expand_hiligaynon_nlp_coverage
lack_of_concentration,daw nagalayag ang huna-huna,lack of concentration,expand_hiligaynon_nlp_coverage
lethargy,luya gid ang lawas,lethargy,expand_hiligaynon_nlp_coverage
lethargy,wala gana maghulag,lethargy,expand_hiligaynon_nlp_coverage
lethargy,luya lawas,lethargy,expand_hiligaynon_nlp_coverage
lethargy,mahuya maglihok,lethargy,expand_hiligaynon_nlp_coverage
loss_of_appetite,nadula ang gana magkaon,loss of appetite,expand_hiligaynon_nlp_coverage
loss_of_appetite,indi gusto magkaon,loss of appetite,expand_hiligaynon_nlp_coverage
loss_of_balance,indi makabalanse,loss of balance,expand_hiligaynon_nlp_coverage
loss_of_balance,wala balanse ang lawas,loss of balance,expand_hiligaynon_nlp_coverage
loss_of_balance,wala balanse,loss of balance,expand_hiligaynon_nlp_coverage
loss_of_balance,daw matumba,loss of balance,expand_hiligaynon_nlp_coverage
loss_of_smell,indi makapanimaho,loss of smell,expand_hiligaynon_nlp_coverage
loss_of_smell,wala na ako makapanimaho,loss of smell,expand_hiligaynon_nlp_coverage
loss_of_smell,indi makasimhot,loss of smell,expand_hiligaynon_nlp_coverage
malaise,indi maayo ang pamatyagan,malaise,expand_hiligaynon_nlp_coverage
malaise,daw masakiton ang lawas,malaise,expand_hiligaynon_nlp_coverage
malaise,indi maayo lawas,malaise,expand_hiligaynon_nlp_coverage
malaise,hindi maayo lawas,malaise,expand_hiligaynon_nlp_coverage
malaise,daw masakiton,malaise,expand_hiligaynon_nlp_coverage
malaise,indi maayo pamatyagan,malaise,expand_hiligaynon_nlp_coverage
mild_fever,gamay nga hilanat,mild fever,expand_hiligaynon_nlp_coverage
mild_fever,diutay nga hilanat,mild fever,expand_hiligaynon_nlp_coverage
mild_fever,gamay hilanat,mild fever,expand_hiligaynon_nlp_coverage
mild_fever,diutay hilanat,mild fever,expand_hiligaynon_nlp_coverage
mild_fever,may gamay nga init,mild fever,expand_hiligaynon_nlp_coverage
mood_swings,nagabag-o ang buot,mood swings,expand_hiligaynon_nlp_coverage
mood_swings,kis-a malipayon kis-a masubo,mood swings,expand_hiligaynon_nlp_coverage
mood_swings,kis-a malipay kis-a masubo,mood swings,expand_hiligaynon_nlp_coverage
movement_stiffness,matig-a ang paghulag,movement stiffness,expand_hiligaynon_nlp_coverage
movement_stiffness,budlay maghulag ang lawas,movement stiffness,expand_hiligaynon_nlp_coverage
movement_stiffness,matig-a maghulag,movement stiffness,expand_hiligaynon_nlp_coverage
movement_stiffness,stiff movements,movement stiffness,expand_hiligaynon_nlp_coverage
movement_stiffness,budlay maglihok,movement stiffness,expand_hiligaynon_nlp_coverage
