hiligaynon_term,alternative_spellings,english_translation,medical_term,category,severity_level,confidence_keywords
alta presyon,mataas nga presyon;altapresyon;high blood;hypertension;alta-presyon,hypertension,hypertension,Cardiovascular,Medium,blood pressure;hypertension
altapresyon,mataas nga presyon;alta presyon;high blood;hypertension,hypertension,hypertension,Cardiovascular,Medium,blood pressure;hypertension
high blood,mataas nga presyon;altapresyon;alta presyon;hypertension;high-blood,hypertension,hypertension,Cardiovascular,Medium,blood pressure;hypertension
hypertension,mataas nga presyon;altapresyon;alta presyon;high blood,hypertension,hypertension,Cardiovascular,Medium,blood pressure;hypertension
mataas nga presyon,altapresyon;alta presyon;high blood;hypertension;mataas-nga-presyon;may mataas nga presyon;ginmataas nga presyon;nagmataas nga presyon,hypertension,hypertension,Cardiovascular,Medium,blood pressure;hypertension
ginakusog tibok,naga palpitations;palpitations;kusog tibok sang tagipusuon;kusog tibok;mabilis tibok;ginakusog-tibok,palpitations,palpitations,Cardiovascular,Medium,heart;palpitation;arrhythmia
kusog tibok,naga palpitations;palpitations;kusog tibok sang tagipusuon;ginakusog tibok;mabilis tibok;kusog-tibok,palpitations,palpitations,Cardiovascular,Medium,heart;palpitation;arrhythmia
kusog tibok sang tagipusuon,naga palpitations;palpitations;kusog tibok;ginakusog tibok;mabilis tibok;kusog-tibok-sang-tagipusuon,palpitations,palpitations,Cardiovascular,Medium,heart;palpitation;arrhythmia
mabilis tibok,naga palpitations;palpitations;kusog tibok sang tagipusuon;kusog tibok;ginakusog tibok;mabilis-tibok,palpitations,palpitations,Cardiovascular,Medium,heart;palpitation;arrhythmia
naga palpitations,palpitations;kusog tibok sang tagipusuon;kusog tibok;ginakusog tibok;mabilis tibok;naga-palpitations,palpitations,palpitations,Cardiovascular,Medium,heart;palpitation;arrhythmia
palpitations,naga palpitations;kusog tibok sang tagipusuon;kusog tibok;ginakusog tibok;mabilis tibok,palpitations,palpitations,Cardiovascular,Medium,heart;palpitation;arrhythmia
breathless sleeping,ginadula ginhawa pagtulog;breathless-sleeping,paroxysmal nocturnal dyspnea,paroxysmal nocturnal dyspnea,Cardiovascular,High,breath;heart;night
ginadula ginhawa pagtulog,breathless sleeping;ginadula-ginhawa-pagtulog,paroxysmal nocturnal dyspnea,paroxysmal nocturnal dyspnea,Cardiovascular,High,breath;heart;night
back rash,nagapula sa likod;back-rash,back rash,rash,Dermatology,Low,rash;back;skin
nagapula sa likod,back rash;nagapula-sa-likod,back rash,rash,Dermatology,Low,rash;back;skin
ginatulo sing dugo kag panit,ginatulo-sing-dugo-kag-panit,bleeding skin,skin hemorrhage,Dermatology,Medium,blood;skin;wound
ga katol lawas,kakatol lawas;kumakati lawas;katol sa lawas;kakatol sa bilog lawas;nagga katol lawas;gina katol lawas;ga-katol-lawas;may ga katol lawas;naga katol lawas;ginga katol lawas,body itchiness,pruritus,Dermatology,Low,itch;body;skin
kakatol lawas,kumakati lawas;ga katol lawas;katol sa lawas;kakatol sa bilog lawas;may kakatol lawas;kakatol-lawas;ginkakatol lawas;nagkakatol lawas,body itchiness,pruritus,Dermatology,Low,itch;body;skin
kakatol sa bilog lawas,kakatol lawas;kumakati lawas;ga katol lawas;katol sa lawas;kakatol-sa-bilog-lawas;may kakatol sa bilog lawas;nagkakatol sa bilog lawas;ginkakatol sa bilog lawas,body itchiness,pruritus,Dermatology,Low,itch;body;skin
katol sa lawas,kakatol lawas;kumakati lawas;ga katol lawas;kakatol sa bilog lawas;may katol sa lawas;ginkatol sa lawas;katol-sa-lawas;nagkatol sa lawas,body itchiness,pruritus,Dermatology,Low,itch;body;skin
kumakati lawas,kakatol lawas;ga katol lawas;katol sa lawas;kakatol sa bilog lawas;kumakati-lawas;nagkumakati lawas;ginkumakati lawas;may kumakati lawas,body itchiness,pruritus,Dermatology,Low,itch;body;skin
ga katol akon lawas,kumakati gid lawas;ga-katol-akon-lawas;gina katol akon lawas;ginga katol akon lawas;naga katol akon lawas;nagga katol akon lawas;may ga katol akon lawas,body itching phrase,pruritus,Dermatology,Low,itch;body;phrase
kumakati gid lawas,ga katol akon lawas;ginkumakati gid lawas;kumakati-gid-lawas;nagkumakati gid lawas;may kumakati gid lawas,body itching phrase,pruritus,Dermatology,Low,itch;body;phrase
barado pores,nagabara pores;blackheads;barado-pores,clogged pores,comedones,Dermatology,Low,acne;skin;pores
blackheads,nagabara pores;barado pores,clogged pores,comedones,Dermatology,Low,acne;skin;pores
nagabara pores,barado pores;blackheads;nagabara-pores,clogged pores,comedones,Dermatology,Low,acne;skin;pores
dry skin,nagadula timbas;weight loss skin;dry-skin,dry skin,xerosis,Dermatology,Low,dry;skin;dehydration
nagadula timbas,weight loss skin;dry skin;nagadula-timbas,dry skin,xerosis,Dermatology,Low,dry;skin;dehydration
weight loss skin,nagadula timbas;dry skin;weight-loss-skin,dry skin,xerosis,Dermatology,Low,dry;skin;dehydration
eczema area,nagakati tuhod;nagakati siko;eczema-area,eczema,eczema,Dermatology,Medium,itch;dry;skin;atopic
nagakati siko,nagakati tuhod;eczema area;nagakati-siko,eczema,eczema,Dermatology,Medium,itch;dry;skin;atopic
nagakati tuhod,nagakati siko;eczema area;nagakati-tuhod,eczema,eczema,Dermatology,Medium,itch;dry;skin;atopic
bald spot,nagadula buhok;hair loss;bald-spot,hair loss,alopecia,Dermatology,Low,hair;balding;alopecia
hair loss,nagadula buhok;bald spot;hair-loss,hair loss,alopecia,Dermatology,Low,hair;balding;alopecia
nagadula buhok,hair loss;bald spot;nagadula-buhok,hair loss,alopecia,Dermatology,Low,hair;balding;alopecia
falling hair,nagalagas buhok;falling-hair,hair shedding,telogen effluvium,Dermatology,Low,hair;loss;stress
nagalagas buhok,falling hair;nagalagas-buhok,hair shedding,telogen effluvium,Dermatology,Low,hair;loss;stress
alipunga,hubag;hubag-hubag;kalisngaw;nagahubag;ginahubag,hives,urticaria,Dermatology,Medium,swelling;allergy;skin;wheals
ginahubag,hubag;hubag-hubag;kalisngaw;alipunga;nagahubag,hives,urticaria,Dermatology,Medium,swelling;allergy;skin;wheals
hubag,hubag-hubag;kalisngaw;alipunga;nagahubag;ginahubag;naghubag;may hubag;ginhubag,hives,urticaria,Dermatology,Medium,swelling;allergy;skin;wheals
hubag-hubag,hubag;kalisngaw;alipunga;nagahubag;ginahubag;may hubag-hubag;ginhubag-hubag;naghubag-hubag;hubaghubag;hubag hubag,hives,urticaria,Dermatology,Medium,swelling;allergy;skin;wheals
kalisngaw,hubag;hubag-hubag;alipunga;nagahubag;ginahubag;may kalisngaw;nagkalisngaw;ginkalisngaw,hives,urticaria,Dermatology,Medium,swelling;allergy;skin;wheals
nagahubag,hubag;hubag-hubag;kalisngaw;alipunga;ginahubag,hives,urticaria,Dermatology,Medium,swelling;allergy;skin;wheals
ga katol,kakatol;kakatul;katol;makatol;gina katol;nagakakatol;kumakati;kinatol;kinatulan;ga-katol;naga katol;may ga katol;nagga katol;ginga katol,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
gina katol,kakatol;kakatul;katol;makatol;ga katol;nagakakatol;kumakati;kinatol;kinatulan;gina-katol,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
kakatol,kakatul;katol;makatol;ga katol;gina katol;nagakakatol;kumakati;kinatol;kinatulan;nagkakatol;may kakatol;ginkakatol,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
kakatul,kakatol;katol;makatol;ga katol;gina katol;nagakakatol;kumakati;kinatol;kinatulan,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
katol,kakatol;kakatul;makatol;ga katol;gina katol;nagakakatol;kumakati;kinatol;kinatulan;nagkatol;may katol;ginkatol,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
kinatol,kakatol;kakatul;katol;makatol;ga katol;gina katol;nagakakatol;kumakati;kinatulan,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
kinatulan,kakatol;kakatul;katol;makatol;ga katol;gina katol;nagakakatol;kumakati;kinatol,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
kumakati,kakatol;kakatul;katol;makatol;ga katol;gina katol;nagakakatol;kinatol;kinatulan,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
makatol,kakatol;kakatul;katol;ga katol;gina katol;nagakakatol;kumakati;kinatol;kinatulan;may makatol;ginmakatol;nagmakatol,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
nagakakatol,kakatol;kakatul;katol;makatol;ga katol;gina katol;kumakati;kinatol;kinatulan,itchiness,pruritus,Dermatology,Low,itch;skin;allergy;rash;scratch
bugas,butlig;galis;pamula;pantal;pantal-pantal;rashes;nagapamula;naga pula panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
butlig,bugas;galis;pamula;pantal;pantal-pantal;rashes;nagapamula;naga pula panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
galis,bugas;butlig;pamula;pantal;pantal-pantal;rashes;nagapamula;naga pula panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
naga pula panit,bugas;butlig;galis;pamula;pantal;pantal-pantal;rashes;nagapamula;naga-pula-panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
nagapamula,bugas;butlig;galis;pamula;pantal;pantal-pantal;rashes;naga pula panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
pamula,bugas;butlig;galis;pantal;pantal-pantal;rashes;nagapamula;naga pula panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
pantal,bugas;butlig;galis;pamula;pantal-pantal;rashes;nagapamula;naga pula panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
pantal-pantal,bugas;butlig;galis;pamula;pantal;rashes;nagapamula;naga pula panit;pantal pantal;pantalpantal,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
rashes,bugas;butlig;galis;pamula;pantal;pantal-pantal;nagapamula;naga pula panit,rash,rash,Dermatology,Low,skin;spots;allergy;eruption
boil,nagatubok;ginatubok;tubok,skin boil,furuncle,Dermatology,Medium,abscess;infection;boil
ginatubok,nagatubok;tubok;boil,skin boil,furuncle,Dermatology,Medium,abscess;infection;boil
nagatubok,ginatubok;tubok;boil,skin boil,furuncle,Dermatology,Medium,abscess;infection;boil
tubok,nagatubok;ginatubok;boil;gintubok;may tubok;nagtubok,skin boil,furuncle,Dermatology,Medium,abscess;infection;boil
nagadula panit,nagakalas panit;skin peeling;nagadula-panit,skin peeling,desquamation,Dermatology,Low,peeling;skin;dermatitis
nagakalas panit,nagadula panit;skin peeling;nagakalas-panit,skin peeling,desquamation,Dermatology,Low,peeling;skin;dermatitis
skin peeling,nagadula panit;nagakalas panit;skin-peeling,skin peeling,desquamation,Dermatology,Low,peeling;skin;dermatitis
ginapula panit,nagapula panit;mapula ang panit;pamula sa panit;ginapula-panit,skin redness,erythema,Dermatology,Low,red;inflammation;skin
mapula ang panit,nagapula panit;ginapula panit;pamula sa panit;mapula-ang-panit,skin redness,erythema,Dermatology,Low,red;inflammation;skin
nagapula panit,ginapula panit;mapula ang panit;pamula sa panit;nagapula-panit,skin redness,erythema,Dermatology,Low,red;inflammation;skin
pamula sa panit,nagapula panit;ginapula panit;mapula ang panit;pamula-sa-panit,skin redness,erythema,Dermatology,Low,red;inflammation;skin
buka sa panit,nagabuka panit;ginabuka panit;open wound;buka-sa-panit,skin wound,skin lesion,Dermatology,Medium,wound;cut;abrasion
ginabuka panit,nagabuka panit;buka sa panit;open wound;ginabuka-panit,skin wound,skin lesion,Dermatology,Medium,wound;cut;abrasion
nagabuka panit,ginabuka panit;buka sa panit;open wound;nagabuka-panit,skin wound,skin lesion,Dermatology,Medium,wound;cut;abrasion
open wound,nagabuka panit;ginabuka panit;buka sa panit;open-wound,skin wound,skin lesion,Dermatology,Medium,wound;cut;abrasion
mapula sa init,nagatina;sunburn;mapula-sa-init,sunburn,sunburn,Dermatology,Low,sun;burn;red;skin
nagatina,sunburn;mapula sa init,sunburn,sunburn,Dermatology,Low,sun;burn;red;skin
sunburn,nagatina;mapula sa init,sunburn,sunburn,Dermatology,Low,sun;burn;red;skin
ginatulo sing dugo kag accident,ginatulo-sing-dugo-kag-accident,accident bleeding,traumatic hemorrhage,Emergency,Critical,blood;accident;trauma
allergy breathless,nagadula ginhawa allergy;allergy-breathless,allergic dyspnea,anaphylaxis,Emergency,Critical,allergy;breath;emergency
nagadula ginhawa allergy,allergy breathless;nagadula-ginhawa-allergy,allergic dyspnea,anaphylaxis,Emergency,Critical,allergy;breath;emergency
alergy,allergy;ginallergy;allergic reaction,allergic reaction,allergic reaction,Emergency,High,allergy;rash;breathing;swelling
allergic reaction,allergy;alergy;ginallergy;allergic-reaction,allergic reaction,allergic reaction,Emergency,High,allergy;rash;breathing;swelling
allergy,alergy;ginallergy;allergic reaction,allergic reaction,allergic reaction,Emergency,High,allergy;rash;breathing;swelling
ginallergy,allergy;alergy;allergic reaction,allergic reaction,allergic reaction,Emergency,High,allergy;rash;breathing;swelling
allergy hives,nagahubag lawas allergy;allergy-hives,allergic urticaria,urticaria,Emergency,High,allergy;hives;skin
nagahubag lawas allergy,allergy hives;nagahubag-lawas-allergy,allergic urticaria,urticaria,Emergency,High,allergy;hives;skin
anaphylaxis signs,nagadula ginhawa kag hubag liog;anaphylaxis-signs,anaphylaxis,anaphylaxis,Emergency,Critical,allergy;breathing;swelling;emergency
nagadula ginhawa kag hubag liog,anaphylaxis signs;nagadula-ginhawa-kag-hubag-liog,anaphylaxis,anaphylaxis,Emergency,Critical,allergy;breathing;swelling;emergency
ginatulo sing dugo kag aneurysm,ginatulo-sing-dugo-kag-aneurysm,aneurysm bleeding,aneurysm rupture,Emergency,Critical,blood;aneurysm;emergency
ginatulo sing dugo kag anticoagulant,ginatulo-sing-dugo-kag-anticoagulant,anticoagulant bleeding,anticoagulant complication,Emergency,Critical,blood;anticoagulant;bleeding
ginatulo sing dugo kag aortic,ginatulo-sing-dugo-kag-aortic,aortic bleeding,aortic rupture,Emergency,Critical,blood;aorta;emergency
appendix pain,ginasakit tuod;sakit tuod;appendix-pain,appendicitis pain,appendicitis,Emergency,Critical,appendix;pain;abdomen
ginasakit tuod,appendix pain;sakit tuod;ginasakit-tuod,appendicitis pain,appendicitis,Emergency,Critical,appendix;pain;abdomen
sakit tuod,ginasakit tuod;appendix pain;nagsakit tuod;sakit-tuod;may sakit tuod;ginsakit tuod,appendicitis pain,appendicitis,Emergency,Critical,appendix;pain;abdomen
ginatulo sing dugo kag appendix,ginatulo-sing-dugo-kag-appendix,appendix bleeding,appendicitis complication,Emergency,Critical,blood;appendix
ginatulo sing dugo kag aspirin,ginatulo-sing-dugo-kag-aspirin,aspirin bleeding,aspirin complication,Emergency,High,blood;aspirin;bleeding
ginatulo sing itom,ginatulo-sing-itom,black stool,melena,Emergency,Critical,blood;stool;gi
ginatulo sing dugo kag bladder injury,ginatulo-sing-dugo-kag-bladder-injury,bladder injury bleeding,bladder trauma,Emergency,Critical,blood;bladder;trauma
dugo sa sugat,nagatulo dugo sa sugat;nagabulos dugo;nagdugo sa sugat;may dugo sa sugat;gindugo sa sugat;dugo-sa-sugat,bleeding wound,hemorrhage,Emergency,Critical,bleeding;wound;trauma
nagabulos dugo,nagatulo dugo sa sugat;dugo sa sugat;nagabulos-dugo,bleeding wound,hemorrhage,Emergency,Critical,bleeding;wound;trauma
nagatulo dugo sa sugat,dugo sa sugat;nagabulos dugo;nagatulo-dugo-sa-sugat,bleeding wound,hemorrhage,Emergency,Critical,bleeding;wound;trauma
ginatulo sing dugo kag tiyan,ginatulo sing dugo kag tyan;ginatulo-sing-dugo-kag-tiyan,bloody abdominal,gastrointestinal bleeding,Emergency,Critical,blood;abdomen;gi
ginatulo sing dugo kag lawas,ginatulo-sing-dugo-kag-lawas,bloody body weak,hemorrhagic fever,Emergency,Critical,blood;fever;weak
ginatulo sing dugo kag dughan,ginatulo-sing-dugo-kag-dughan,bloody chest,hemothorax,Emergency,Critical,blood;chest;trauma
ginatulo sing dugo kag ulo,ginatulo-sing-dugo-kag-ulo,bloody headache,subarachnoid hemorrhage,Emergency,Critical,blood;head;emergency
ginatulo sing dugo kag ihi,ginatulo-sing-dugo-kag-ihi,bloody urine stool,systemic bleeding,Emergency,Critical,blood;urine;stool
ginatulo sing dugo kag suka,ginatulo-sing-dugo-kag-suka,bloody vomit stool,gastrointestinal bleeding,Emergency,Critical,blood;vomit;stool
ginatulo sing dugo kag brain injury,ginatulo-sing-dugo-kag-brain-injury,brain injury bleeding,intracranial hemorrhage,Emergency,Critical,blood;brain;trauma
ginatulo sing dugo kag cancer,ginatulo-sing-dugo-kag-cancer,cancer bleeding,malignancy bleeding,Emergency,Critical,cancer;blood;bleeding
ginatulo sing dugo kag chemotherapy,ginatulo-sing-dugo-kag-chemotherapy,chemotherapy bleeding,chemotherapy complication,Emergency,Critical,blood;chemotherapy;cancer
collapse unconscious,nagahulog wala malay;collapse-unconscious,collapse unconscious,syncope,Emergency,Critical,unconscious;collapse;emergency
nagahulog wala malay,collapse unconscious;nagahulog-wala-malay,collapse unconscious,syncope,Emergency,Critical,unconscious;collapse;emergency
ginatulo sing dugo kag dengue,ginatulo-sing-dugo-kag-dengue,dengue bleeding,dengue hemorrhagic fever,Emergency,Critical,dengue;blood;fever
dengue bleeding,dugo dengue;dengue-bleeding,dengue hemorrhagic fever,dengue hemorrhagic fever,Emergency,Critical,dengue;bleeding;emergency
dugo dengue,dengue bleeding;nagdugo dengue;may dugo dengue;dugo-dengue;gindugo dengue,dengue hemorrhagic fever,dengue hemorrhagic fever,Emergency,Critical,dengue;bleeding;emergency
indi maathag maghambal,nagadula speech;slurred speech;indi-maathag-maghambal,dysarthria,dysarthria,Emergency,Critical,speech;stroke;slurred
nagadula speech,slurred speech;indi maathag maghambal;nagadula-speech,dysarthria,dysarthria,Emergency,Critical,speech;stroke;slurred
slurred speech,nagadula speech;indi maathag maghambal;slurred-speech,dysarthria,dysarthria,Emergency,Critical,speech;stroke;slurred
ginatulo sing dugo kag geriatric injury,ginatulo-sing-dugo-kag-geriatric-injury,elderly injury bleeding,geriatric trauma,Emergency,Critical,blood;elderly;trauma
ginatulo sing dugo kag boerhaave,ginatulo-sing-dugo-kag-boerhaave,esophageal rupture,boerhaave syndrome,Emergency,Critical,blood;esophagus;rupture
chest pain exertion,ginahapdi dughan mag hilod;chest-pain-exertion,exertional chest pain,angina pectoris,Emergency,Critical,chest;heart;exertion
ginahapdi dughan mag hilod,chest pain exertion;ginahapdi-dughan-mag-hilod,exertional chest pain,angina pectoris,Emergency,Critical,chest;heart;exertion
fainting breath,nagapunaw;ginapunaw;fainting-breath,fainting,syncope,Emergency,Critical,unconscious;faint;collapse
ginapunaw,nagapunaw;fainting breath,fainting,syncope,Emergency,Critical,unconscious;faint;collapse
nagapunaw,fainting breath;ginapunaw,fainting,syncope,Emergency,Critical,unconscious;faint;collapse
ginatulo sing dugo kag fall,ginatulo-sing-dugo-kag-fall,fall bleeding,fall trauma,Emergency,High,blood;fall;trauma
ginatulo sing dugo kag femur fracture,ginatulo-sing-dugo-kag-femur-fracture,femur fracture bleeding,femur fracture,Emergency,Critical,blood;fracture;trauma
fracture,nagabali;nabali,fracture,fracture,Emergency,Critical,fracture;bone;trauma
nabali,nagabali;fracture,fracture,fracture,Emergency,Critical,fracture;bone;trauma
nagabali,fracture;nabali,fracture,fracture,Emergency,Critical,fracture;bone;trauma
ginatulo sing dugo kag gunshot,ginatulo-sing-dugo-kag-gunshot,gunshot bleeding,gunshot wound,Emergency,Critical,blood;gunshot;trauma
ginatulo sing dugo kag head injury,ginatulo-sing-dugo-kag-head-injury,head injury bleeding,head trauma,Emergency,Critical,blood;head;trauma
atake puso,atake sa puso;heart attack;heartattack;atake-puso,heart attack,myocardial infarction,Emergency,Critical,heart;attack;chest;emergency
atake sa puso,atake puso;heart attack;heartattack;atake-sa-puso,heart attack,myocardial infarction,Emergency,Critical,heart;attack;chest;emergency
heart attack,atake sa puso;atake puso;heartattack;heart-attack,heart attack,myocardial infarction,Emergency,Critical,heart;attack;chest;emergency
heartattack,atake sa puso;atake puso;heart attack,heart attack,myocardial infarction,Emergency,Critical,heart;attack;chest;emergency
bloody cough,dugo sa ubo;nagauubo sing dugo;bloody-cough,hemoptysis,hemoptysis,Emergency,Critical,blood;cough;lung;emergency
dugo sa ubo,nagauubo sing dugo;bloody cough;may dugo sa ubo;dugo-sa-ubo;gindugo sa ubo;nagdugo sa ubo,hemoptysis,hemoptysis,Emergency,Critical,blood;cough;lung;emergency
nagauubo sing dugo,dugo sa ubo;bloody cough;nagauubo-sing-dugo,hemoptysis,hemoptysis,Emergency,Critical,blood;cough;lung;emergency
high blood sugar,hyperglycemia;mataas asukal;high-blood-sugar,hyperglycemia,hyperglycemia,Emergency,High,diabetes;sugar;high;emergency
hyperglycemia,mataas asukal;high blood sugar,hyperglycemia,hyperglycemia,Emergency,High,diabetes;sugar;high;emergency
mataas asukal,hyperglycemia;high blood sugar;ginmataas asukal;mataas-asukal;nagmataas asukal;may mataas asukal,hyperglycemia,hyperglycemia,Emergency,High,diabetes;sugar;high;emergency
altapresyon sing grabe,severe hypertension;altapresyon-sing-grabe,hypertensive emergency,hypertensive emergency,Emergency,Critical,blood pressure;emergency;stroke
severe hypertension,altapresyon sing grabe;severe-hypertension,hypertensive emergency,hypertensive emergency,Emergency,Critical,blood pressure;emergency;stroke
hypoglycemia,mababang asukal;low blood sugar,hypoglycemia,hypoglycemia,Emergency,Critical,diabetes;sugar;low;emergency
low blood sugar,hypoglycemia;mababang asukal;low-blood-sugar,hypoglycemia,hypoglycemia,Emergency,Critical,diabetes;sugar;low;emergency
mababang asukal,hypoglycemia;low blood sugar;may mababang asukal;nagmababang asukal;ginmababang asukal;mababang-asukal,hypoglycemia,hypoglycemia,Emergency,Critical,diabetes;sugar;low;emergency
ginatulo sing dugo kag intraop,ginatulo-sing-dugo-kag-intraop,intraop bleeding,intraoperative hemorrhage,Emergency,Critical,blood;intraoperative
ginatulo sing dugo kag kidney injury,ginatulo-sing-dugo-kag-kidney-injury,kidney injury bleeding,renal trauma,Emergency,Critical,blood;kidney;trauma
ginatulo sing dugo kag liver injury,ginatulo-sing-dugo-kag-liver-injury,liver injury bleeding,hepatic trauma,Emergency,Critical,blood;liver;trauma
ginadula malay,loss consciousness;wala malay;unconscious;ginadula-malay,loss of consciousness,loss of consciousness,Emergency,Critical,unconscious;emergency;collapse
loss consciousness,ginadula malay;wala malay;unconscious;loss-consciousness,loss of consciousness,loss of consciousness,Emergency,Critical,unconscious;emergency;collapse
unconscious,ginadula malay;loss consciousness;wala malay,loss of consciousness,loss of consciousness,Emergency,Critical,unconscious;emergency;collapse
wala malay,ginadula malay;loss consciousness;unconscious;wala-malay,loss of consciousness,loss of consciousness,Emergency,Critical,unconscious;emergency;collapse
ginatulo sing dugo kag lung injury,ginatulo-sing-dugo-kag-lung-injury,lung injury bleeding,pulmonary hemorrhage,Emergency,Critical,blood;lung;trauma
ginatulo sing dugo kag mallory weiss,ginatulo-sing-dugo-kag-mallory-weiss,mallory weiss tear,mallory-weiss syndrome,Emergency,Critical,blood;vomit;gi
black stool,itom nga dumi;tae itom;black-stool,melena,melena,Emergency,Critical,blood;stool;gi;ulcer
itom nga dumi,black stool;tae itom;itom-nga-dumi,melena,melena,Emergency,Critical,blood;stool;gi;ulcer
tae itom,itom nga dumi;black stool;tae-itom,melena,melena,Emergency,Critical,blood;stool;gi;ulcer
monocular vision loss,nagadula panulok isa ka mata;monocular-vision-loss,monocular vision loss,monocular vision loss,Emergency,Critical,eye;vision;emergency
nagadula panulok isa ka mata,monocular vision loss;nagadula-panulok-isa-ka-mata,monocular vision loss,monocular vision loss,Emergency,Critical,eye;vision;emergency
ginatulo sing dugo kag ilong,ginatulo-sing-dugo-kag-ilong,nosebleed severe,epistaxis,Emergency,High,blood;nose;bleeding
dili makagalaw,nagaparalisa;paralysis;indi makahilod;dili-makagalaw,paralysis,paralysis,Emergency,Critical,paralysis;stroke;weakness
indi makahilod,nagaparalisa;paralysis;dili makagalaw;indi-makahilod,paralysis,paralysis,Emergency,Critical,paralysis;stroke;weakness
