hiligaynon_term,english_term,medical_category,severity,triage_level,status,body_part,symptom
grabe hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid ko bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid akon bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid ko akon bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid akon ko bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid grabe gid bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid sa bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid sa bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid sa bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid sa bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
may hilanat gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
bukongbukong ko hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
bukongbukong akon hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
bukongbukong ko akon hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
bukongbukong akon ko hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
ko bukongbukong hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
akon bukongbukong hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
ko akon bukongbukong hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
akon ko bukongbukong hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid ko bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid akon bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid ko akon bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid gid akon ko bukongbukong,ankle high fever,general,Moderate,urgent,active,ankle,high fever
gid hilanat gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe hilanat gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe gid hilanat gid bukongbukong ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
gid hilanat gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe hilanat gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe gid hilanat gid bukongbukong akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
gid hilanat gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe hilanat gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe gid hilanat gid bukongbukong ko akon,ankle high fever,general,Moderate,urgent,active,ankle,high fever
gid hilanat gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe hilanat gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
grabe gid hilanat gid bukongbukong akon ko,ankle high fever,general,Moderate,urgent,active,ankle,high fever
bukongbukong hilanat gid,ankle high fever,general,Moderate,urgent,active,ankle,high fever
hilanat gid kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid ko kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid akon kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid ko akon kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid akon ko kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
kilid mata ko hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
kilid mata akon hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
kilid mata ko akon hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
kilid mata akon ko hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
ko kilid mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
akon kilid mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
ko akon kilid mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
akon ko kilid mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid ko kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid akon kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid ko akon kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid akon ko kilid mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe hilanat gid kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid kilid mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe hilanat gid kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid kilid mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe hilanat gid kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid kilid mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe hilanat gid kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
grabe gid hilanat gid kilid mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
kilid mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid ko dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid akon dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid ko akon dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid akon ko dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe gid dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe gid dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe gid dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe gid dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid grabe gid dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid sa dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid sa dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid sa dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid sa dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
may hilanat gid dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
dalunggan ko hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
dalunggan akon hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
dalunggan ko akon hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
dalunggan akon ko hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
ko dalunggan hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
akon dalunggan hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
ko akon dalunggan hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
akon ko dalunggan hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid ko dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid akon dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid ko akon dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid gid akon ko dalunggan,ear high fever,general,Moderate,urgent,active,ear,high fever
gid hilanat gid dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe hilanat gid dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe gid hilanat gid dalunggan ko,ear high fever,general,Moderate,urgent,active,ear,high fever
gid hilanat gid dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe hilanat gid dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe gid hilanat gid dalunggan akon,ear high fever,general,Moderate,urgent,active,ear,high fever
gid hilanat gid dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe hilanat gid dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe gid hilanat gid dalunggan ko akon,ear high fever,general,Moderate,urgent,active,ear,high fever
gid hilanat gid dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe hilanat gid dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
grabe gid hilanat gid dalunggan akon ko,ear high fever,general,Moderate,urgent,active,ear,high fever
dalunggan hilanat gid,ear high fever,general,Moderate,urgent,active,ear,high fever
hilanat gid ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid ngabil akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid ngabil ko akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid ngabil akon ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid ko ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid akon ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid ko akon ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid akon ko ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe gid ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid ngabil akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe ngabil akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe gid ngabil akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid ngabil ko akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe ngabil ko akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe gid ngabil ko akon,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid ngabil akon ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe ngabil akon ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe gid ngabil akon ko,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid grabe gid ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid sa ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid sa ngabil akon,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid sa ngabil ko akon,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid sa ngabil akon ko,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid ngabil akon,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid ngabil ko akon,lip high fever,general,Moderate,urgent,active,lip,high fever
may hilanat gid ngabil akon ko,lip high fever,general,Moderate,urgent,active,lip,high fever
ngabil ko hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
ngabil akon hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
ngabil ko akon hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
ngabil akon ko hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
ko ngabil hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
akon ngabil hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
ko akon ngabil hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
akon ko ngabil hilanat gid,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid ko ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid akon ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid ko akon ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
hilanat gid gid akon ko ngabil,lip high fever,general,Moderate,urgent,active,lip,high fever
gid hilanat gid ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
grabe hilanat gid ngabil ko,lip high fever,general,Moderate,urgent,active,lip,high fever
