text,english_meaning,body_location_en,body_location_hiligaynon,symptom_en,symptom_hiligaynon
akon tuo nga gulpi nga ulo sakit,my right sudden head pain,head,ulo,pain,sakit
gasakit ang akon tuo nga gulpi nga ulo,my right sudden head pain,head,ulo,pain,sakit
may sakit ako sa tuo nga gulpi nga ulo,my right sudden head pain,head,ulo,pain,sakit
ang akon tuo nga gulpi nga ulo may sakit,my right sudden head pain,head,ulo,pain,sakit
akon tuo nga padayon nga ulo sakit,my right persistent head pain,head,ulo,pain,sakit
gasakit ang akon tuo nga padayon nga ulo,my right persistent head pain,head,ulo,pain,sakit
may sakit ako sa tuo nga padayon nga ulo,my right persistent head pain,head,ulo,pain,sakit
ang akon tuo nga padayon nga ulo may sakit,my right persistent head pain,head,ulo,pain,sakit
akon tuo nga pabalik-balik nga ulo sakit,my right intermittent head pain,head,ulo,pain,sakit
gasakit ang akon tuo nga pabalik-balik nga ulo,my right intermittent head pain,head,ulo,pain,sakit
may sakit ako sa tuo nga pabalik-balik nga ulo,my right intermittent head pain,head,ulo,pain,sakit
ang akon tuo nga pabalik-balik nga ulo may sakit,my right intermittent head pain,head,ulo,pain,sakit
akon wala nga ulo sakit,my left head pain,head,ulo,pain,sakit
gasakit ang akon wala nga ulo,my left head pain,head,ulo,pain,sakit
may sakit ako sa wala nga ulo,my left head pain,head,ulo,pain,sakit
ang akon wala nga ulo may sakit,my left head pain,head,ulo,pain,sakit
akon wala nga gamay nga ulo sakit,my left mild head pain,head,ulo,pain,sakit
gasakit ang akon wala nga gamay nga ulo,my left mild head pain,head,ulo,pain,sakit
may sakit ako sa wala nga gamay nga ulo,my left mild head pain,head,ulo,pain,sakit
ang akon wala nga gamay nga ulo may sakit,my left mild head pain,head,ulo,pain,sakit
akon wala nga grabe nga ulo sakit,my left severe head pain,head,ulo,pain,sakit
gasakit ang akon wala nga grabe nga ulo,my left severe head pain,head,ulo,pain,sakit
may sakit ako sa wala nga grabe nga ulo,my left severe head pain,head,ulo,pain,sakit
ang akon wala nga grabe nga ulo may sakit,my left severe head pain,head,ulo,pain,sakit
akon wala nga gulpi nga ulo sakit,my left sudden head pain,head,ulo,pain,sakit
gasakit ang akon wala nga gulpi nga ulo,my left sudden head pain,head,ulo,pain,sakit
may sakit ako sa wala nga gulpi nga ulo,my left sudden head pain,head,ulo,pain,sakit
ang akon wala nga gulpi nga ulo may sakit,my left sudden head pain,head,ulo,pain,sakit
akon wala nga padayon nga ulo sakit,my left persistent head pain,head,ulo,pain,sakit
gasakit ang akon wala nga padayon nga ulo,my left persistent head pain,head,ulo,pain,sakit
may sakit ako sa wala nga padayon nga ulo,my left persistent head pain,head,ulo,pain,sakit
ang akon wala nga padayon nga ulo may sakit,my left persistent head pain,head,ulo,pain,sakit
akon wala nga pabalik-balik nga ulo sakit,my left intermittent head pain,head,ulo,pain,sakit
gasakit ang akon wala nga pabalik-balik nga ulo,my left intermittent head pain,head,ulo,pain,sakit
may sakit ako sa wala nga pabalik-balik nga ulo,my left intermittent head pain,head,ulo,pain,sakit
ang akon wala nga pabalik-balik nga ulo may sakit,my left intermittent head pain,head,ulo,pain,sakit
akon pareho nga ulo sakit,my both head pain,head,ulo,pain,sakit
gasakit ang akon pareho nga ulo,my both head pain,head,ulo,pain,sakit
may sakit ako sa pareho nga ulo,my both head pain,head,ulo,pain,sakit
ang akon pareho nga ulo may sakit,my both head pain,head,ulo,pain,sakit
akon pareho nga gamay nga ulo sakit,my both mild head pain,head,ulo,pain,sakit
gasakit ang akon pareho nga gamay nga ulo,my both mild head pain,head,ulo,pain,sakit
may sakit ako sa pareho nga gamay nga ulo,my both mild head pain,head,ulo,pain,sakit
ang akon pareho nga gamay nga ulo may sakit,my both mild head pain,head,ulo,pain,sakit
akon pareho nga grabe nga ulo sakit,my both severe head pain,head,ulo,pain,sakit
gasakit ang akon pareho nga grabe nga ulo,my both severe head pain,head,ulo,pain,sakit
may sakit ako sa pareho nga grabe nga ulo,my both severe head pain,head,ulo,pain,sakit
ang akon pareho nga grabe nga ulo may sakit,my both severe head pain,head,ulo,pain,sakit
akon pareho nga gulpi nga ulo sakit,my both sudden head pain,head,ulo,pain,sakit
gasakit ang akon pareho nga gulpi nga ulo,my both sudden head pain,head,ulo,pain,sakit
may sakit ako sa pareho nga gulpi nga ulo,my both sudden head pain,head,ulo,pain,sakit
ang akon pareho nga gulpi nga ulo may sakit,my both sudden head pain,head,ulo,pain,sakit
akon pareho nga padayon nga ulo sakit,my both persistent head pain,head,ulo,pain,sakit
gasakit ang akon pareho nga padayon nga ulo,my both persistent head pain,head,ulo,pain,sakit
may sakit ako sa pareho nga padayon nga ulo,my both persistent head pain,head,ulo,pain,sakit
ang akon pareho nga padayon nga ulo may sakit,my both persistent head pain,head,ulo,pain,sakit
akon pareho nga pabalik-balik nga ulo sakit,my both intermittent head pain,head,ulo,pain,sakit
gasakit ang akon pareho nga pabalik-balik nga ulo,my both intermittent head pain,head,ulo,pain,sakit
may sakit ako sa pareho nga pabalik-balik nga ulo,my both intermittent head pain,head,ulo,pain,sakit
ang akon pareho nga pabalik-balik nga ulo may sakit,my both intermittent head pain,head,ulo,pain,sakit
imo ulo sakit,your head pain,head,ulo,pain,sakit
gasakit ang imo ulo,your head pain,head,ulo,pain,sakit
ang imo ulo may sakit,your head pain,head,ulo,pain,sakit
imo ulo may sakit,your head pain,head,ulo,pain,sakit
ginasakit ang imo ulo,your head pain,head,ulo,pain,sakit
nagahubag ang imo ulo,your head pain,head,ulo,pain,sakit
nagatol ang imo ulo,your head pain,head,ulo,pain,sakit
imo gamay nga ulo sakit,your mild head pain,head,ulo,pain,sakit
gasakit ang imo gamay nga ulo,your mild head pain,head,ulo,pain,sakit
ang imo gamay nga ulo may sakit,your mild head pain,head,ulo,pain,sakit
imo grabe nga ulo sakit,your severe head pain,head,ulo,pain,sakit
gasakit ang imo grabe nga ulo,your severe head pain,head,ulo,pain,sakit
ang imo grabe nga ulo may sakit,your severe head pain,head,ulo,pain,sakit
imo gulpi nga ulo sakit,your sudden head pain,head,ulo,pain,sakit
gasakit ang imo gulpi nga ulo,your sudden head pain,head,ulo,pain,sakit
ang imo gulpi nga ulo may sakit,your sudden head pain,head,ulo,pain,sakit
imo padayon nga ulo sakit,your persistent head pain,head,ulo,pain,sakit
gasakit ang imo padayon nga ulo,your persistent head pain,head,ulo,pain,sakit
ang imo padayon nga ulo may sakit,your persistent head pain,head,ulo,pain,sakit
imo pabalik-balik nga ulo sakit,your intermittent head pain,head,ulo,pain,sakit
gasakit ang imo pabalik-balik nga ulo,your intermittent head pain,head,ulo,pain,sakit
ang imo pabalik-balik nga ulo may sakit,your intermittent head pain,head,ulo,pain,sakit
imo tuo nga ulo sakit,your right head pain,head,ulo,pain,sakit
gasakit ang imo tuo nga ulo,your right head pain,head,ulo,pain,sakit
ang imo tuo nga ulo may sakit,your right head pain,head,ulo,pain,sakit
imo tuo nga gamay nga ulo sakit,your right mild head pain,head,ulo,pain,sakit
gasakit ang imo tuo nga gamay nga ulo,your right mild head pain,head,ulo,pain,sakit
ang imo tuo nga gamay nga ulo may sakit,your right mild head pain,head,ulo,pain,sakit
imo tuo nga grabe nga ulo sakit,your right severe head pain,head,ulo,pain,sakit
gasakit ang imo tuo nga grabe nga ulo,your right severe head pain,head,ulo,pain,sakit
ang imo tuo nga grabe nga ulo may sakit,your right severe head pain,head,ulo,pain,sakit
imo tuo nga gulpi nga ulo sakit,your right sudden head pain,head,ulo,pain,sakit
gasakit ang imo tuo nga gulpi nga ulo,your right sudden head pain,head,ulo,pain,sakit
ang imo tuo nga gulpi nga ulo may sakit,your right sudden head pain,head,ulo,pain,sakit
imo tuo nga padayon nga ulo sakit,your right persistent head pain,head,ulo,pain,sakit
gasakit ang imo tuo nga padayon nga ulo,your right persistent head pain,head,ulo,pain,sakit
ang imo tuo nga padayon nga ulo may sakit,your right persistent head pain,head,ulo,pain,sakit
imo tuo nga pabalik-balik nga ulo sakit,your right intermittent head pain,head,ulo,pain,sakit
gasakit ang imo tuo nga pabalik-balik nga ulo,your right intermittent head pain,head,ulo,pain,sakit
ang imo tuo nga pabalik-balik nga ulo may sakit,your right intermittent head pain,head,ulo,pain,sakit
imo wala nga ulo sakit,your left head pain,head,ulo,pain,sakit
gasakit ang imo wala nga ulo,your left head pain,head,ulo,pain,sakit
ang imo wala nga ulo may sakit,your left head pain,head,ulo,pain,sakit
imo wala nga gamay nga ulo sakit,your left mild head pain,head,ulo,pain,sakit
gasakit ang imo wala nga gamay nga ulo,your left mild head pain,head,ulo,pain,sakit
ang imo wala nga gamay nga ulo may sakit,your left mild head pain,head,ulo,pain,sakit
imo wala nga grabe nga ulo sakit,your left severe head pain,head,ulo,pain,sakit
gasakit ang imo wala nga grabe nga ulo,your left severe head pain,head,ulo,pain,sakit
ang imo wala nga grabe nga ulo may sakit,your left severe head pain,head,ulo,pain,sakit
imo wala nga gulpi nga ulo sakit,your left sudden head pain,head,ulo,pain,sakit
gasakit ang imo wala nga gulpi nga ulo,your left sudden head pain,head,ulo,pain,sakit
ang imo wala nga gulpi nga ulo may sakit,your left sudden head pain,head,ulo,pain,sakit
imo wala nga padayon nga ulo sakit,your left persistent head pain,head,ulo,pain,sakit
gasakit ang imo wala nga padayon nga ulo,your left persistent head pain,head,ulo,pain,sakit
ang imo wala nga padayon nga ulo may sakit,your left persistent head pain,head,ulo,pain,sakit
imo wala nga pabalik-balik nga ulo sakit,your left intermittent head pain,head,ulo,pain,sakit
gasakit ang imo wala nga pabalik-balik nga ulo,your left intermittent head pain,head,ulo,pain,sakit
ang imo wala nga pabalik-balik nga ulo may sakit,your left intermittent head pain,head,ulo,pain,sakit
imo pareho nga ulo sakit,your both head pain,head,ulo,pain,sakit
gasakit ang imo pareho nga ulo,your both head pain,head,ulo,pain,sakit
ang imo pareho nga ulo may sakit,your both head pain,head,ulo,pain,sakit
imo pareho nga gamay nga ulo sakit,your both mild head pain,head,ulo,pain,sakit
gasakit ang imo pareho nga gamay nga ulo,your both mild head pain,head,ulo,pain,sakit
ang imo pareho nga gamay nga ulo may sakit,your both mild head pain,head,ulo,pain,sakit
imo pareho nga grabe nga ulo sakit,your both severe head pain,head,ulo,pain,sakit
gasakit ang imo pareho nga grabe nga ulo,your both severe head pain,head,ulo,pain,sakit
ang imo pareho nga grabe nga ulo may sakit,your both severe head pain,head,ulo,pain,sakit
imo pareho nga gulpi nga ulo sakit,your both sudden head pain,head,ulo,pain,sakit
gasakit ang imo pareho nga gulpi nga ulo,your both sudden head pain,head,ulo,pain,sakit
ang imo pareho nga gulpi nga ulo may sakit,your both sudden head pain,head,ulo,pain,sakit
imo pareho nga padayon nga ulo sakit,your both persistent head pain,head,ulo,pain,sakit
gasakit ang imo pareho nga padayon nga ulo,your both persistent head pain,head,ulo,pain,sakit
ang imo pareho nga padayon nga ulo may sakit,your both persistent head pain,head,ulo,pain,sakit
imo pareho nga pabalik-balik nga ulo sakit,your both intermittent head pain,head,ulo,pain,sakit
gasakit ang imo pareho nga pabalik-balik nga ulo,your both intermittent head pain,head,ulo,pain,sakit
ang imo pareho nga pabalik-balik nga ulo may sakit,your both intermittent head pain,head,ulo,pain,sakit
iya ulo sakit,his/her head pain,head,ulo,pain,sakit
gasakit ang iya ulo,his/her head pain,head,ulo,pain,sakit
ang iya ulo may sakit,his/her head pain,head,ulo,pain,sakit
iya ulo may sakit,his/her head pain,head,ulo,pain,sakit
ginasakit ang iya ulo,his/her head pain,head,ulo,pain,sakit
nagahubag ang iya ulo,his/her head pain,head,ulo,pain,sakit
nagatol ang iya ulo,his/her head pain,head,ulo,pain,sakit
iya gamay nga ulo sakit,his/her mild head pain,head,ulo,pain,sakit
gasakit ang iya gamay nga ulo,his/her mild head pain,head,ulo,pain,sakit
ang iya gamay nga ulo may sakit,his/her mild head pain,head,ulo,pain,sakit
iya grabe nga ulo sakit,his/her severe head pain,head,ulo,pain,sakit
gasakit ang iya grabe nga ulo,his/her severe head pain,head,ulo,pain,sakit
ang iya grabe nga ulo may sakit,his/her severe head pain,head,ulo,pain,sakit
iya gulpi nga ulo sakit,his/her sudden head pain,head,ulo,pain,sakit
gasakit ang iya gulpi nga ulo,his/her sudden head pain,head,ulo,pain,sakit
ang iya gulpi nga ulo may sakit,his/her sudden head pain,head,ulo,pain,sakit
iya padayon nga ulo sakit,his/her persistent head pain,head,ulo,pain,sakit
gasakit ang iya padayon nga ulo,his/her persistent head pain,head,ulo,pain,sakit
ang iya padayon nga ulo may sakit,his/her persistent head pain,head,ulo,pain,sakit
iya pabalik-balik nga ulo sakit,his/her intermittent head pain,head,ulo,pain,sakit
gasakit ang iya pabalik-balik nga ulo,his/her intermittent head pain,head,ulo,pain,sakit
ang iya pabalik-balik nga ulo may sakit,his/her intermittent head pain,head,ulo,pain,sakit
iya tuo nga ulo sakit,his/her right head pain,head,ulo,pain,sakit
gasakit ang iya tuo nga ulo,his/her right head pain,head,ulo,pain,sakit
ang iya tuo nga ulo may sakit,his/her right head pain,head,ulo,pain,sakit
iya tuo nga gamay nga ulo sakit,his/her right mild head pain,head,ulo,pain,sakit
gasakit ang iya tuo nga gamay nga ulo,his/her right mild head pain,head,ulo,pain,sakit
ang iya tuo nga gamay nga ulo may sakit,his/her right mild head pain,head,ulo,pain,sakit
iya tuo nga grabe nga ulo sakit,his/her right severe head pain,head,ulo,pain,sakit
gasakit ang iya tuo nga grabe nga ulo,his/her right severe head pain,head,ulo,pain,sakit
ang iya tuo nga grabe nga ulo may sakit,his/her right severe head pain,head,ulo,pain,sakit
iya tuo nga gulpi nga ulo sakit,his/her right sudden head pain,head,ulo,pain,sakit
gasakit ang iya tuo nga gulpi nga ulo,his/her right sudden head pain,head,ulo,pain,sakit
ang iya tuo nga gulpi nga ulo may sakit,his/her right sudden head pain,head,ulo,pain,sakit
iya tuo nga padayon nga ulo sakit,his/her right persistent head pain,head,ulo,pain,sakit
gasakit ang iya tuo nga padayon nga ulo,his/her right persistent head pain,head,ulo,pain,sakit
ang iya tuo nga padayon nga ulo may sakit,his/her right persistent head pain,head,ulo,pain,sakit
iya tuo nga pabalik-balik nga ulo sakit,his/her right intermittent head pain,head,ulo,pain,sakit
gasakit ang iya tuo nga pabalik-balik nga ulo,his/her right intermittent head pain,head,ulo,pain,sakit
ang iya tuo nga pabalik-balik nga ulo may sakit,his/her right intermittent head pain,head,ulo,pain,sakit
iya wala nga ulo sakit,his/her left head pain,head,ulo,pain,sakit
gasakit ang iya wala nga ulo,his/her left head pain,head,ulo,pain,sakit
ang iya wala nga ulo may sakit,his/her left head pain,head,ulo,pain,sakit
iya wala nga gamay nga ulo sakit,his/her left mild head pain,head,ulo,pain,sakit
gasakit ang iya wala nga gamay nga ulo,his/her left mild head pain,head,ulo,pain,sakit
ang iya wala nga gamay nga ulo may sakit,his/her left mild head pain,head,ulo,pain,sakit
iya wala nga grabe nga ulo sakit,his/her left severe head pain,head,ulo,pain,sakit
gasakit ang iya wala nga grabe nga ulo,his/her left severe head pain,head,ulo,pain,sakit
ang iya wala nga grabe nga ulo may sakit,his/her left severe head pain,head,ulo,pain,sakit
iya wala nga gulpi nga ulo sakit,his/her left sudden head pain,head,ulo,pain,sakit
gasakit ang iya wala nga gulpi nga ulo,his/her left sudden head pain,head,ulo,pain,sakit
ang iya wala nga gulpi nga ulo may sakit,his/her left sudden head pain,head,ulo,pain,sakit
iya wala nga padayon nga ulo sakit,his/her left persistent head pain,head,ulo,pain,sakit
gasakit ang iya wala nga padayon nga ulo,his/her left persistent head pain,head,ulo,pain,sakit
ang iya wala nga padayon nga ulo may sakit,his/her left persistent head pain,head,ulo,pain,sakit
iya wala nga pabalik-balik nga ulo sakit,his/her left intermittent head pain,head,ulo,pain,sakit
gasakit ang iya wala nga pabalik-balik nga ulo,his/her left intermittent head pain,head,ulo,pain,sakit
ang iya wala nga pabalik-balik nga ulo may sakit,his/her left intermittent head pain,head,ulo,pain,sakit
iya pareho nga ulo sakit,his/her both head pain,head,ulo,pain,sakit
gasakit ang iya pareho nga ulo,his/her both head pain,head,ulo,pain,sakit
ang iya pareho nga ulo may sakit,his/her both head pain,head,ulo,pain,sakit
iya pareho nga gamay nga ulo sakit,his/her both mild head pain,head,ulo,pain,sakit
gasakit ang iya pareho nga gamay nga ulo,his/her both mild head pain,head,ulo,pain,sakit
ang iya pareho nga gamay nga ulo may sakit,his/her both mild head pain,head,ulo,pain,sakit
iya pareho nga grabe nga ulo sakit,his/her both severe head pain,head,ulo,pain,sakit
gasakit ang iya pareho nga grabe nga ulo,his/her both severe head pain,head,ulo,pain,sakit
ang iya pareho nga grabe nga ulo may sakit,his/her both severe head pain,head,ulo,pain,sakit
iya pareho nga gulpi nga ulo sakit,his/her both sudden head pain,head,ulo,pain,sakit
gasakit ang iya pareho nga gulpi nga ulo,his/her both sudden head pain,head,ulo,pain,sakit
ang iya pareho nga gulpi nga ulo may sakit,his/her both sudden head pain,head,ulo,pain,sakit
iya pareho nga padayon nga ulo sakit,his/her both persistent head pain,head,ulo,pain,sakit
gasakit ang iya pareho nga padayon nga ulo,his/her both persistent head pain,head,ulo,pain,sakit
ang iya pareho nga padayon nga ulo may sakit,his/her both persistent head pain,head,ulo,pain,sakit
iya pareho nga pabalik-balik nga ulo sakit,his/her both intermittent head pain,head,ulo,pain,sakit
gasakit ang iya pareho nga pabalik-balik nga ulo,his/her both intermittent head pain,head,ulo,pain,sakit
ang iya pareho nga pabalik-balik nga ulo may sakit,his/her both intermittent head pain,head,ulo,pain,sakit
akon ulo kasakit,my head aching,head,ulo,aching,kasakit
may kasakit ako sa ulo,my head aching,head,ulo,aching,kasakit
ang akon ulo may kasakit,my head aching,head,ulo,aching,kasakit
akon ulo may kasakit,my head aching,head,ulo,aching,kasakit
akon gamay nga ulo kasakit,my mild head aching,head,ulo,aching,kasakit
may kasakit ako sa gamay nga ulo,my mild head aching,head,ulo,aching,kasakit
ang akon gamay nga ulo may kasakit,my mild head aching,head,ulo,aching,kasakit
akon grabe nga ulo kasakit,my severe head aching,head,ulo,aching,kasakit
may kasakit ako sa grabe nga ulo,my severe head aching,head,ulo,aching,kasakit
ang akon grabe nga ulo may kasakit,my severe head aching,head,ulo,aching,kasakit
akon gulpi nga ulo kasakit,my sudden head aching,head,ulo,aching,kasakit
may kasakit ako sa gulpi nga ulo,my sudden head aching,head,ulo,aching,kasakit
ang akon gulpi nga ulo may kasakit,my sudden head aching,head,ulo,aching,kasakit
akon padayon nga ulo kasakit,my persistent head aching,head,ulo,aching,kasakit
may kasakit ako sa padayon nga ulo,my persistent head aching,head,ulo,aching,kasakit
ang akon padayon nga ulo may kasakit,my persistent head aching,head,ulo,aching,kasakit
akon pabalik-balik nga ulo kasakit,my intermittent head aching,head,ulo,aching,kasakit
may kasakit ako sa pabalik-balik nga ulo,my intermittent head aching,head,ulo,aching,kasakit
ang akon pabalik-balik nga ulo may kasakit,my intermittent head aching,head,ulo,aching,kasakit
akon tuo nga ulo kasakit,my right head aching,head,ulo,aching,kasakit
may kasakit ako sa tuo nga ulo,my right head aching,head,ulo,aching,kasakit
ang akon tuo nga ulo may kasakit,my right head aching,head,ulo,aching,kasakit
akon tuo nga gamay nga ulo kasakit,my right mild head aching,head,ulo,aching,kasakit
may kasakit ako sa tuo nga gamay nga ulo,my right mild head aching,head,ulo,aching,kasakit
ang akon tuo nga gamay nga ulo may kasakit,my right mild head aching,head,ulo,aching,kasakit
akon tuo nga grabe nga ulo kasakit,my right severe head aching,head,ulo,aching,kasakit
may kasakit ako sa tuo nga grabe nga ulo,my right severe head aching,head,ulo,aching,kasakit
ang akon tuo nga grabe nga ulo may kasakit,my right severe head aching,head,ulo,aching,kasakit
akon tuo nga gulpi nga ulo kasakit,my right sudden head aching,head,ulo,aching,kasakit
may kasakit ako sa tuo nga gulpi nga ulo,my right sudden head aching,head,ulo,aching,kasakit
ang akon tuo nga gulpi nga ulo may kasakit,my right sudden head aching,head,ulo,aching,kasakit
akon tuo nga padayon nga ulo kasakit,my right persistent head aching,head,ulo,aching,kasakit
may kasakit ako sa tuo nga padayon nga ulo,my right persistent head aching,head,ulo,aching,kasakit
ang akon tuo nga padayon nga ulo may kasakit,my right persistent head aching,head,ulo,aching,kasakit
akon tuo nga pabalik-balik nga ulo kasakit,my right intermittent head aching,head,ulo,aching,kasakit
may kasakit ako sa tuo nga pabalik-balik nga ulo,my right intermittent head aching,head,ulo,aching,kasakit
ang akon tuo nga pabalik-balik nga ulo may kasakit,my right intermittent head aching,head,ulo,aching,kasakit
akon wala nga ulo kasakit,my left head aching,head,ulo,aching,kasakit
may kasakit ako sa wala nga ulo,my left head aching,head,ulo,aching,kasakit
ang akon wala nga ulo may kasakit,my left head aching,head,ulo,aching,kasakit
akon wala nga gamay nga ulo kasakit,my left mild head aching,head,ulo,aching,kasakit
may kasakit ako sa wala nga gamay nga ulo,my left mild head aching,head,ulo,aching,kasakit
ang akon wala nga gamay nga ulo may kasakit,my left mild head aching,head,ulo,aching,kasakit
akon wala nga grabe nga ulo kasakit,my left severe head aching,head,ulo,aching,kasakit
may kasakit ako sa wala nga grabe nga ulo,my left severe head aching,head,ulo,aching,kasakit
ang akon wala nga grabe nga ulo may kasakit,my left severe head aching,head,ulo,aching,kasakit
akon wala nga gulpi nga ulo kasakit,my left sudden head aching,head,ulo,aching,kasakit
may kasakit ako sa wala nga gulpi nga ulo,my left sudden head aching,head,ulo,aching,kasakit
ang akon wala nga gulpi nga ulo may kasakit,my left sudden head aching,head,ulo,aching,kasakit
akon wala nga padayon nga ulo kasakit,my left persistent head aching,head,ulo,aching,kasakit
may kasakit ako sa wala nga padayon nga ulo,my left persistent head aching,head,ulo,aching,kasakit
ang akon wala nga padayon nga ulo may kasakit,my left persistent head aching,head,ulo,aching,kasakit
akon wala nga pabalik-balik nga ulo kasakit,my left intermittent head aching,head,ulo,aching,kasakit
may kasakit ako sa wala nga pabalik-balik nga ulo,my left intermittent head aching,head,ulo,aching,kasakit
ang akon wala nga pabalik-balik nga ulo may kasakit,my left intermittent head aching,head,ulo,aching,kasakit
akon pareho nga ulo kasakit,my both head aching,head,ulo,aching,kasakit
may kasakit ako sa pareho nga ulo,my both head aching,head,ulo,aching,kasakit
ang akon pareho nga ulo may kasakit,my both head aching,head,ulo,aching,kasakit
akon pareho nga gamay nga ulo kasakit,my both mild head aching,head,ulo,aching,kasakit
may kasakit ako sa pareho nga gamay nga ulo,my both mild head aching,head,ulo,aching,kasakit
ang akon pareho nga gamay nga ulo may kasakit,my both mild head aching,head,ulo,aching,kasakit
akon pareho nga grabe nga ulo kasakit,my both severe head aching,head,ulo,aching,kasakit
may kasakit ako sa pareho nga grabe nga ulo,my both severe head aching,head,ulo,aching,kasakit
ang akon pareho nga grabe nga ulo may kasakit,my both severe head aching,head,ulo,aching,kasakit
akon pareho nga gulpi nga ulo kasakit,my both sudden head aching,head,ulo,aching,kasakit
may kasakit ako sa pareho nga gulpi nga ulo,my both sudden head aching,head,ulo,aching,kasakit
ang akon pareho nga gulpi nga ulo may kasakit,my both sudden head aching,head,ulo,aching,kasakit
akon pareho nga padayon nga ulo kasakit,my both persistent head aching,head,ulo,aching,kasakit
may kasakit ako sa pareho nga padayon nga ulo,my both persistent head aching,head,ulo,aching,kasakit
ang akon pareho nga padayon nga ulo may kasakit,my both persistent head aching,head,ulo,aching,kasakit
akon pareho nga pabalik-balik nga ulo kasakit,my both intermittent head aching,head,ulo,aching,kasakit
may kasakit ako sa pareho nga pabalik-balik nga ulo,my both intermittent head aching,head,ulo,aching,kasakit
ang akon pareho nga pabalik-balik nga ulo may kasakit,my both intermittent head aching,head,ulo,aching,kasakit
imo ulo kasakit,your head aching,head,ulo,aching,kasakit
ang imo ulo may kasakit,your head aching,head,ulo,aching,kasakit
imo ulo may kasakit,your head aching,head,ulo,aching,kasakit
imo gamay nga ulo kasakit,your mild head aching,head,ulo,aching,kasakit
ang imo gamay nga ulo may kasakit,your mild head aching,head,ulo,aching,kasakit
imo grabe nga ulo kasakit,your severe head aching,head,ulo,aching,kasakit
ang imo grabe nga ulo may kasakit,your severe head aching,head,ulo,aching,kasakit
imo gulpi nga ulo kasakit,your sudden head aching,head,ulo,aching,kasakit
ang imo gulpi nga ulo may kasakit,your sudden head aching,head,ulo,aching,kasakit
imo padayon nga ulo kasakit,your persistent head aching,head,ulo,aching,kasakit
ang imo padayon nga ulo may kasakit,your persistent head aching,head,ulo,aching,kasakit
imo pabalik-balik nga ulo kasakit,your intermittent head aching,head,ulo,aching,kasakit
ang imo pabalik-balik nga ulo may kasakit,your intermittent head aching,head,ulo,aching,kasakit
imo tuo nga ulo kasakit,your right head aching,head,ulo,aching,kasakit
