rule_id,complaint_context,clinical_sign,red_flag,clinical_pattern,triage_level,priority,source,source_reference
IITT-R012,pregnancy,Pregnant with severe headache or visual changes,1,"\b(buntis|pregnant).{0,40}\b((severe|grabe)\s+(headache|sakit\s+ulo)|visual\s+change|double\s+vision|nawala\s+panulok|malabo\s+(ang\s+)?paningin)\b",EMERGENCY,120,WHO IITT,WHO IITT Age ≥12 — RED Pregnant with: Severe headache; Visual changes
IITT-R013,chest,Chest pain with respiratory distress,1,"\b(dughan|dibdib|chest).{0,60}\b(budlay|ginhawa|breath|dyspnea|hirap\s+huminga|cannot\s+breathe|makahinga|makaginhawa)\b|\b(budlay|ginhawa|breath|dyspnea|hirap.{0,16}huminga).{0,60}\b(dughan|dibdib|chest)\b",EMERGENCY,35,WHO IITT,WHO IITT Age ≥12 — RED Airway/Breathing respiratory distress combined with chest symptoms; Basic Emergency Care early recognition
IITT-R014,neuro,Meningism cluster (any two of AMS/stiff neck/fever/headache),1,COMBO2:\b(confused|confusion|altered\s+mental|agitated|restless|malayo\s+huna-huna|hindi\s+klaro|nalilito)\b;;\b(stiff\s+neck|neck\s+stiff|matigas\s+(ang\s+)?liog|liog\s+nga\s+tig-a|naninigas\s+(ang\s+)?leeg)\b;;\b(fever|lagnat|hilanat|hypothermia|nilalagnat|lgnt|hlnt)\b;;\b(headache|sakit\s+ulo|masakit\s+ulo|kasakit\s+ulo|gasakit\s+ulo|sakit\s+ng\s+ulo|sumasakit\s+(ang\s+)?ulo|headech|msk\s+ulo|saket\s+olo)\b,EMERGENCY,55,WHO IITT,WHO IITT Age ≥12 — RED Disability: Any two of Altered mental status; Stiff neck; Hypothermia or fever; Headache
IITT-Y001,any,Severe pain without red criteria,0,"\b(severe\s+(\w+\s+){0,2}(pain|sakit)|grabe(\s+gid)?\s+(\w+\s+){0,2}(pain|sakit|kasakit|gasakit)|pain\s+(is\s+)?(unbearable|worst)|(?<![\d])(8|9|10)\s*/\s*10|sobrang\s+sakit|unbearable\s+pain)\b",URGENT,200,WHO IITT,WHO IITT Age ≥12 — YELLOW Disability: Severe pain (no red criteria)
IITT-Y002,respiratory,Wheezing without red criteria,0,"\b(wheez(e|ing)|nagahubak|hubak|humihuni\s+(ang\s+)?dibdib)\b",URGENT,210,WHO IITT,WHO IITT Age ≥12 — YELLOW Airway & Breathing: Wheezing (no red criteria)
IITT-Y003,respiratory,Swelling/mass of mouth throat or neck,0,"\b((swollen|swelling|hubag|habok|namamaga).{0,20}(tongue|throat|neck|dila|tutunlan|liog|ngabil|lips?|leeg)|(tongue|throat|neck|dila|tutunlan|leeg)\s+(swelling|hubag|namamaga))\b",URGENT,220,WHO IITT,WHO IITT Age ≥12 — YELLOW Airway & Breathing: Any swelling/mass of mouth throat or neck
IITT-Y004,gi,Vomits everything or ongoing diarrhoea,0,"\b(vomits?\s+everything|ongoing\s+diarrho?ea|persistent\s+vomiting|pagsuka\s+gid\s+permi|permi\s+nagasuka|ongoing\s+diarrhea|wala\s+untat\s+(nga\s+)?(suka|libang)|nagsusuka\s+(ako\s+)?(lagi|lahat)|sumuka\s+(ng\s+)?lahat|suka\s+lahat)\b",URGENT,230,WHO IITT,WHO IITT Age ≥12 — YELLOW Circulation: Vomits everything or ongoing diarrhoea
IITT-Y005,gi,Unable to feed or drink,0,"\b(unable\s+to\s+(feed|drink|eat)|indi\s+(ako\s+|ko\s+)?(makakaon|makainom)|cannot\s+(eat|drink)|wala\s+kaon|hindi\s+(ako\s+|ko\s+)?(makakain|makainom)|di\s+(ako\s+)?makakain|di\s+(ako\s+)?makainom)\b",URGENT,240,WHO IITT,WHO IITT Age ≥12 — YELLOW Circulation: Unable to feed or drink
IITT-Y006,bleeding,Ongoing bleeding without red heavy-bleed criteria,0,"\b(ongoing\s+bleeding|still\s+bleeding|nagapadayon\s+(ang\s+)?(pag)?dugo|continues\s+to\s+bleed|tuloy\s+(pa\s+)?(ang\s+)?dugo|dumudugo\s+pa)\b",URGENT,250,WHO IITT,WHO IITT Age ≥12 — YELLOW Circulation: Ongoing bleeding (no red criteria)
IITT-Y007,neuro,Recent fainting,0,"\b(recent\s+faint(ing)?|fainted|nagpunaw|nalipong\s+kag\s+natumba|syncope|nahimatay|nahimatayan|nawalan\s+ng\s+malay)\b",URGENT,260,WHO IITT,WHO IITT Age ≥12 — YELLOW Circulation: Recent fainting
IITT-Y008,neuro,Altered mental status or agitation without red criteria,0,"\b(altered\s+mental|confused|confusion|agitat(ed|ion)|restless|malayo\s+huna-huna|indi\s+klaro\s+huna-huna|nalilito|hindi\s+maganda\s+(ang\s+)?ulo)\b",URGENT,270,WHO IITT,WHO IITT Age ≥12 — YELLOW Disability: Altered mental status or agitation (no red criteria)
IITT-Y009,neuro,Acute focal neurologic complaint,0,"\b(one[- ]sided\s+weakness|focal\s+neurolog|slurred\s+speech|indi\s+makahambal|indi\s+makabaton\s+sang\s+(kamot|tiil)|arm\s+weakness|facial\s+droop|nanlalata.{0,40}(kaliwa|kanan|left|right)|(?:weakness|kaluya|galuya|nangaluya).{0,40}(kaliwa|kanan|left|right|kamot|tiil|arm|leg)|hindi\s+makapagsalita|slurred|pamamanhid\s+(sa\s+)?(kaliwa|kanan))\b",URGENT,280,WHO IITT,WHO IITT Age ≥12 — YELLOW Disability: Acute focal neurologic complaint
IITT-Y010,eye,Acute visual disturbance,0,"\b(acute\s+visual|sudden\s+vision|vision\s+loss|double\s+vision|nawala\s+panulok|malabo\s+gid\s+panulok|biglang\s+malabo\s+(ang\s+)?paningin|nawala\s+(ang\s+)?paningin)\b",URGENT,290,WHO IITT,WHO IITT Age ≥12 — YELLOW Disability: Acute visual disturbance
IITT-Y011,skin,New rash worsening over hours or peeling,0,"\b((rash|pangkag|pantal).{0,30}(worsen|spreading|peeling|hours)|peeling\s+skin|nagalapta\s+(ang\s+)?(rash|pantal)|kumakalat\s+(ang\s+)?(pantal|rash))\b",URGENT,300,WHO IITT,WHO IITT Age ≥12 — YELLOW Other: New rash worsening over hours or peeling (no red criteria)
IITT-Y012,trauma,Open fracture or acute limb deformity,0,"\b(open\s+fracture|bone\s+(coming|sticking)\s+out|visible\s+(acute\s+)?limb\s+deformity|nabali\s+tul-an|deformed\s+(arm|leg|limb)|bukas\s+(na\s+)?bali|lumalabas\s+(ang\s+)?buto)\b",URGENT,310,WHO IITT,WHO IITT Age ≥12 — YELLOW Other: Visible acute limb deformity; Open fracture
IITT-Y013,urinary,Unable to pass urine,0,"\b(unable\s+to\s+(pass\s+)?urine|cannot\s+urinate|wala\s+(ko\s+)?maka-?ihi|urinary\s+retention|hindi\s+(ako\s+)?makaihi|di\s+makaihi)\b",URGENT,320,WHO IITT,WHO IITT Age ≥12 — YELLOW Other: Unable to pass urine
IITT-Y014,exposure,Time-sensitive prophylaxis exposure,0,"\b(animal\s+bite|dog\s+bite|needlestick|rabies|ginsugata\s+sang\s+(ido|iro)|na\s*kagat|nakagat\s+(ako\s+)?ng\s+(aso|iro|ido))\b",URGENT,330,WHO IITT,WHO IITT Age ≥12 — YELLOW Other: Exposure requiring time-sensitive prophylaxis (eg. animal bite needlestick)
IITT-Y015,chest,Isolated chest pain requiring prompt assessment,0,"\b(chest\s+pain|sakit\s+(sa\s+)?(dughan|dibdib)|masakit\s+(ang\s+)?(dughan|dibdib)|hapdi\s+dughan|sumasakit\s+(ang\s+)?dibdib|msk\s+dughan|msk\s+dibdib)\b",URGENT,340,WHO IITT,WHO IITT — patients with clinical concern need up-triage or immediate review; chest pain warrants prompt facility assessment when red criteria absent (https://www.who.int/tools/triage)
IITT-R015,circulation,Cold extremities or weak fast pulse (reported),1,"\b(cold\s+(hands|feet|extremit)|malamig\s+(ang\s+)?(kamot|tiil|kamay|paa)|weak\s+(and\s+)?(fast|rapid)\s+pulse|mabilis\s+(kag\s+)?mahina\s+(ang\s+)?pulse|mahina\s+(ang\s+)?pulse)\b",EMERGENCY,45,WHO IITT,WHO IITT Age ≥12 — RED Circulation: Weak/fast pulse; Cold extremities*
IITT-Y016,trauma,Burns without red criteria,0,"\b(burn|burns|nasunog|paso|quemadura|napaso|nasunugan)\b",URGENT,315,WHO IITT,WHO IITT Age ≥12 — YELLOW Other: Trauma / burns (no red criteria)
IITT-Y017,trauma,Trauma injury without red criteria,0,"\b(nasaksak|nabun-og|napilasan|open\s+wound|nabali\s+(ang\s+)?(tul-an|bukog)|sprain|naligli|gunshot|stab\s+wound|nasugatan|nabuno)\b",URGENT,316,WHO IITT,WHO IITT Age ≥12 — YELLOW Other: Trauma (no red criteria)
IITT-Y018,gi,Ongoing diarrhoea Tagalog/Hiligaynon,0,"\b(nagtatae|nagdudumi|permi\s+(nga\s+)?libang|ongoing\s+diarrhea|diarrho?ea\s+permi|paulit-ulit\s+(na\s+)?(nagtatae|dumudumi))\b",URGENT,231,WHO IITT,WHO IITT Age ≥12 — YELLOW Circulation: Vomits everything or ongoing diarrhoea
