phrase,english,concept,language,status
gasuka,Vomiting,vomiting,hiligaynon,active
ginasuka,Vomiting,vomiting,hiligaynon,active
nagasuka,Vomiting,vomiting,hiligaynon,active
naga suka,Vomiting,vomiting,hiligaynon,active
gapalanuka,Vomiting,vomiting,hiligaynon,active
ginsuka,Vomiting,vomiting,hiligaynon,active
suka,Vomiting,vomiting,hiligaynon,active
ginakulba,Nausea,nausea,hiligaynon,active
kulba,Nausea,nausea,hiligaynon,active
ginakulba ko,Nausea,nausea,hiligaynon,active
daw magasuka,Nausea,nausea,hiligaynon,active
ginakalipong,Dizziness,dizziness,hiligaynon,active
lipong,Dizziness,dizziness,hiligaynon,active
nagakalipong,Dizziness,dizziness,hiligaynon,active
kalipong,Dizziness,dizziness,hiligaynon,active
naluya,Weakness,weakness,hiligaynon,active
ginapangluya,Weakness,weakness,hiligaynon,active
luya,Weakness,weakness,hiligaynon,active
kapoy,Weakness,weakness,hiligaynon,active
kapoy gid,Weakness,weakness,hiligaynon,active
ginakapoy,Weakness,weakness,hiligaynon,active
gahubag,Swelling,swelling,hiligaynon,active
hubag,Swelling,swelling,hiligaynon,active
ginahubag,Swelling,swelling,hiligaynon,active
nagahubag,Swelling,swelling,hiligaynon,active
ginakurog,Chills,chills,hiligaynon,active
nagakurog,Chills,chills,hiligaynon,active
kurog,Chills,chills,hiligaynon,active
ginakulba lawas,Chills,chills,hiligaynon,active
may dugo sa suka,Vomiting Blood,vomiting_blood,hiligaynon,active
nagsuka dugo,Vomiting Blood,vomiting_blood,hiligaynon,active
dugo sa suka,Vomiting Blood,vomiting_blood,hiligaynon,active
may dugo sa ihi,Blood in Urine,blood_in_urine,hiligaynon,active
dugo sa ihi,Blood in Urine,blood_in_urine,hiligaynon,active
pula ihi,Blood in Urine,blood_in_urine,hiligaynon,active
may dugo sa dumi,Blood in Stool,blood_in_stool,hiligaynon,active
dugo sa tae,Blood in Stool,blood_in_stool,hiligaynon,active
dugo sa dumi,Blood in Stool,blood_in_stool,hiligaynon,active
budlay tulog,Insomnia,insomnia,hiligaynon,active
indi makatulog,Insomnia,insomnia,hiligaynon,active
wala tulog,Insomnia,insomnia,hiligaynon,active
nagabudlay lakat,Difficulty Walking,difficulty_walking,hiligaynon,active
budlay maglakat,Difficulty Walking,difficulty_walking,hiligaynon,active
indi makalakat,Difficulty Walking,difficulty_walking,hiligaynon,active
naga tae,Diarrhea,diarrhea,hiligaynon,active
tae-tae,Diarrhea,diarrhea,hiligaynon,active
malusaw tae,Diarrhea,diarrhea,hiligaynon,active
nagakalibang,Diarrhea,diarrhea,hiligaynon,active
sakit tutunlan,Sore Throat,sore_throat,hiligaynon,active
hapdi tutunlan,Sore Throat,sore_throat,hiligaynon,active
masakit tutunlan,Sore Throat,sore_throat,hiligaynon,active
sakit lawas,Body Pain,body_pain,hiligaynon,active
masakit lawas,Body Pain,body_pain,hiligaynon,active
gapalanakit lawas,Body Pain,body_pain,hiligaynon,active
paminsa,Body Pain,body_pain,hiligaynon,active
panganud,Rash,rash,hiligaynon,active
gahubag panit,Rash,rash,hiligaynon,active
kalapata,Rash,rash,hiligaynon,active
pantal,Rash,rash,hiligaynon,active
sakit dulunggan,Ear Pain,ear_pain,hiligaynon,active
masakit dulunggan,Ear Pain,ear_pain,hiligaynon,active
sakit mata,Eye Pain,eye_pain,hiligaynon,active
masakit mata,Eye Pain,eye_pain,hiligaynon,active
sakit likod,Back Pain,back_pain,hiligaynon,active
masakit likod,Back Pain,back_pain,hiligaynon,active
hapdi mag-ihi,Painful Urination,dysuria,hiligaynon,active
sakit mag-ihi,Painful Urination,dysuria,hiligaynon,active
masakit ihi,Painful Urination,dysuria,hiligaynon,active
naga pitik dughan,Palpitations,palpitations,hiligaynon,active
madasig pitik,Palpitations,palpitations,hiligaynon,active
naguyam,Seizure,seizure,hiligaynon,active
ginsuyam,Seizure,seizure,hiligaynon,active
nagauyam,Seizure,seizure,hiligaynon,active
nadulaan malay,Loss of Consciousness,loss_of_consciousness,hiligaynon,active
nagpunaw,Loss of Consciousness,loss_of_consciousness,hiligaynon,active
wala malay,Loss of Consciousness,loss_of_consciousness,hiligaynon,active
nagadugo,Bleeding,bleeding,hiligaynon,active
gadugo,Bleeding,bleeding,hiligaynon,active
grabe nagadugo,Bleeding,bleeding,hiligaynon,active
lagnat,Fever,fever,filipino,active
may lagnat,Fever,fever,filipino,active
nilalagnat,Fever,fever,filipino,active
mataas ang lagnat,Fever,fever,filipino,active
mainit ang katawan,Fever,fever,filipino,active
ubo,Cough,cough,filipino,active
may ubo,Cough,cough,filipino,active
inuubo,Cough,cough,filipino,active
umiubo,Cough,cough,filipino,active
sipon,Runny Nose,runny_nose,filipino,active
may sipon,Runny Nose,runny_nose,filipino,active
baradong ilong,Runny Nose,runny_nose,filipino,active
hirap huminga,Difficulty Breathing,difficulty_breathing,filipino,active
nahihirapang huminga,Difficulty Breathing,difficulty_breathing,filipino,active
kapos ang paghinga,Difficulty Breathing,difficulty_breathing,filipino,active
hindi makahinga,Difficulty Breathing,difficulty_breathing,filipino,active
sakit sa dibdib,Chest Pain,chest_pain,filipino,active
masakit ang dibdib,Chest Pain,chest_pain,filipino,active
pananakit ng dibdib,Chest Pain,chest_pain,filipino,active
sakit ng tiyan,Abdominal Pain,abdominal_pain,filipino,active
masakit ang tiyan,Abdominal Pain,abdominal_pain,filipino,active
sakit sa tiyan,Abdominal Pain,abdominal_pain,filipino,active
sakit ng ulo,Headache,headache,filipino,active
masakit ang ulo,Headache,headache,filipino,active
sumasakit ang ulo,Headache,headache,filipino,active
nagsusuka,Vomiting,vomiting,filipino,active
pagsusuka,Vomiting,vomiting,filipino,active
sumuka,Vomiting,vomiting,filipino,active
nasusuka,Nausea,nausea,filipino,active
nakakaramdam ng pagduduwal,Nausea,nausea,filipino,active
nahihilo,Dizziness,dizziness,filipino,active
hilo,Dizziness,dizziness,filipino,active
umaaligid ang paningin,Dizziness,dizziness,filipino,active
nahihina,Weakness,weakness,filipino,active
panghihina,Weakness,weakness,filipino,active
pagod na pagod,Weakness,weakness,filipino,active
pagtatae,Diarrhea,diarrhea,filipino,active
nagtatae,Diarrhea,diarrhea,filipino,active
matubig na dumi,Diarrhea,diarrhea,filipino,active
masakit ang lalamunan,Sore Throat,sore_throat,filipino,active
sakit ng lalamunan,Sore Throat,sore_throat,filipino,active
sakit ng katawan,Body Pain,body_pain,filipino,active
pananakit ng katawan,Body Pain,body_pain,filipino,active
nagsusuka ng dugo,Vomiting Blood,vomiting_blood,filipino,active
may dugo sa suka,Vomiting Blood,vomiting_blood,filipino,active
umuubo ng dugo,Coughing Blood,coughing_blood,filipino,active
may dugo sa plema,Coughing Blood,coughing_blood,filipino,active
nahimatay,Fainting,fainting,filipino,active
nawalan ng malay,Fainting,fainting,filipino,active
dumudugo,Bleeding,bleeding,filipino,active
matinding pagdurugo,Bleeding,bleeding,filipino,active
buntis at dumudugo,Pregnancy Bleeding,pregnant_bleeding,filipino,active
may dugo habang buntis,Pregnancy Bleeding,pregnant_bleeding,filipino,active
fever,Fever,fever,english,active
cough,Cough,cough,english,active
headache,Headache,headache,english,active
chest pain,Chest Pain,chest_pain,english,active
difficulty breathing,Difficulty Breathing,difficulty_breathing,english,active
shortness of breath,Shortness of Breath,shortness_of_breath,english,active
vomiting,Vomiting,vomiting,english,active
diarrhea,Diarrhea,diarrhea,english,active
abdominal pain,Abdominal Pain,abdominal_pain,english,active
nausea,Nausea,nausea,english,active
dizziness,Dizziness,dizziness,english,active
fatigue,Fatigue,fatigue,english,active
sore throat,Sore Throat,sore_throat,english,active
runny nose,Runny Nose,runny_nose,english,active
body pain,Body Pain,body_pain,english,active
back pain,Back Pain,back_pain,english,active
ear pain,Ear Pain,ear_pain,english,active
eye pain,Eye Pain,eye_pain,english,active
rash,Rash,rash,english,active
palpitations,Palpitations,palpitations,english,active
confusion,Confusion,confusion,english,active
seizure,Seizure,seizure,english,active
bleeding,Bleeding,bleeding,english,active
burn,Burn,burn,english,active
weakness,Weakness,weakness,english,active
swelling,Swelling,swelling,english,active
itching,Itching,itching,english,active
chills,Chills,chills,english,active
loss of appetite,Loss of Appetite,loss_of_appetite,english,active
urinary pain,Urinary Pain,urinary_pain,english,active
constipation,Constipation,constipation,english,active
insomnia,Insomnia,insomnia,english,active
wheezing,Wheezing,wheezing,english,active
coughing blood,Coughing Blood,coughing_blood,english,active
vomiting blood,Vomiting Blood,vomiting_blood,english,active
fainting,Fainting,fainting,english,active
numbness,Numbness,numbness,english,active
paralysis,Paralysis,paralysis,english,active
vision loss,Vision Loss,vision_loss,english,active
1-methylhistidinuria,1-Methylhistidinuria,1-methylhistidinuria,english,active
1-minute apgar score of 0,1-minute APGAR Score of 0,1-minute_apgar_score_of_0,english,active
1-minute apgar score of 1,1-minute APGAR Score of 1,1-minute_apgar_score_of_1,english,active
1-minute apgar score of 2,1-minute APGAR Score of 2,1-minute_apgar_score_of_2,english,active
1-minute apgar score of 3,1-minute APGAR Score of 3,1-minute_apgar_score_of_3,english,active
1-minute apgar score of 4,1-minute APGAR Score of 4,1-minute_apgar_score_of_4,english,active
1-minute apgar score of 5,1-minute APGAR Score of 5,1-minute_apgar_score_of_5,english,active
1-minute apgar score of 6,1-minute APGAR Score of 6,1-minute_apgar_score_of_6,english,active
10 pairs of ribs,10 Pairs of Ribs,10_pairs_of_ribs,english,active
10-minute apgar score of 0,10-minute APGAR Score of 0,10-minute_apgar_score_of_0,english,active
10-minute apgar score of 1,10-minute APGAR Score of 1,10-minute_apgar_score_of_1,english,active
10-minute apgar score of 2,10-minute APGAR Score of 2,10-minute_apgar_score_of_2,english,active
10-minute apgar score of 3,10-minute APGAR Score of 3,10-minute_apgar_score_of_3,english,active
10-minute apgar score of 4,10-minute APGAR Score of 4,10-minute_apgar_score_of_4,english,active
10-minute apgar score of 5,10-minute APGAR Score of 5,10-minute_apgar_score_of_5,english,active
10-minute apgar score of 6,10-minute APGAR Score of 6,10-minute_apgar_score_of_6,english,active
11 pairs of ribs,11 Pairs of Ribs,11_pairs_of_ribs,english,active
11 thoracic vertebrae,11 Thoracic Vertebrae,11_thoracic_vertebrae,english,active
2 vessel cord,2 Vessel Cord,2_vessel_cord,english,active
2 vessel umbilical cord,2 Vessel Umbilical Cord,2_vessel_umbilical_cord,english,active
2'-deoxyadenosine (dado) elevated in urine,2'-deoxyadenosine (dAdo) Elevated in Urine,2'-deoxyadenosine_(dado)_elevated_in_urine,english,active
"2,8-dihydroxyadenine crystalluria","2,8-dihydroxyadenine Crystalluria","2,8-dihydroxyadenine_crystalluria",english,active
"2,8-dihydroxyadenine urinary crystals","2,8-dihydroxyadenine Urinary Crystals","2,8-dihydroxyadenine_urinary_crystals",english,active
2--hydroxyphenylacetic aciduria,2--hydroxyphenylacetic Aciduria,2--hydroxyphenylacetic_aciduria,english,active
2-aminoadipic aciduria,2-aminoadipic Aciduria,2-aminoadipic_aciduria,english,active
2-ethylhydracylic aciduria,2-ethylhydracylic Aciduria,2-ethylhydracylic_aciduria,english,active
2-hydroxy-3-methylvaleric acid high in urine,2-hydroxy-3-methylvaleric Acid High in Urine,2-hydroxy-3-methylvaleric_acid_high_in_urine,english,active
2-hydroxyadipic acid high in urine,2-hydroxyadipic Acid High in Urine,2-hydroxyadipic_acid_high_in_urine,english,active
2-hydroxyadipic aciduria,2-hydroxyadipic Aciduria,2-hydroxyadipic_aciduria,english,active
2-hydroxyglutarate aciduria,2-hydroxyglutarate Aciduria,2-hydroxyglutarate_aciduria,english,active
"2-methyl-2,3-dihydroxybutyrate high in urine","2-methyl-2,3-dihydroxybutyrate High in Urine","2-methyl-2,3-dihydroxybutyrate_high_in_urine",english,active
2-methylacetoacetic acid present in urine,2-methylacetoacetic Acid Present in Urine,2-methylacetoacetic_acid_present_in_urine,english,active
2-methylbutyryl glycinuria,2-Methylbutyryl Glycinuria,2-methylbutyryl_glycinuria,english,active
2-methylcitric acid high in urine,2-methylcitric Acid High in Urine,2-methylcitric_acid_high_in_urine,english,active
2-oxoadipic aciduria,2-oxoadipic Aciduria,2-oxoadipic_aciduria,english,active
2:1 atrioventricular block,2:1 Atrioventricular Block,2:1_atrioventricular_block,english,active
2:1 av block,2:1 AV Block,2:1_av_block,english,active
2nd toe symphalangism,2nd Toe Symphalangism,2nd_toe_symphalangism,english,active
2nd-5th toe middle phalangeal hypoplasia,2nd-5th Toe Middle Phalangeal Hypoplasia,2nd-5th_toe_middle_phalangeal_hypoplasia,english,active
3-hydroxydicarboxylic aciduria,3-hydroxydicarboxylic Aciduria,3-hydroxydicarboxylic_aciduria,english,active
3-hydroxyglutaric acid high in urine,3-hydroxyglutaric Acid High in Urine,3-hydroxyglutaric_acid_high_in_urine,english,active
3-hydroxyisobutyryl-coa hydrolase deficiency,3-hydroxyisobutyryl-CoA Hydrolase Deficiency,3-hydroxyisobutyryl-coa_hydrolase_deficiency,english,active
3-hydroxyisovaleric aciduria,3-hydroxyisovaleric Aciduria,3-hydroxyisovaleric_aciduria,english,active
3-hydroxypropionic acid high in urine,3-hydroxypropionic Acid High in Urine,3-hydroxypropionic_acid_high_in_urine,english,active
3-ketoacyl-coa thiolase (thio) deficiency,3-ketoacyl-CoA Thiolase (THIO) Deficiency,3-ketoacyl-coa_thiolase_(thio)_deficiency,english,active
3-methylcrotonyl coa carboxylase low in fibroblasts,3-methylcrotonyl CoA Carboxylase Low in Fibroblasts,3-methylcrotonyl_coa_carboxylase_low_in_fibroblasts,english,active
3-methylglutaconic aciduria,3-Methylglutaconic Aciduria,3-methylglutaconic_aciduria,english,active
3-methylglutaconicaciduria,3-Methylglutaconicaciduria,3-methylglutaconicaciduria,english,active
3-methylglutaric aciduria,3-Methylglutaric Aciduria,3-methylglutaric_aciduria,english,active
3-methylglutaricaciduria,3-methylglutaricaciduria,3-methylglutaricaciduria,english,active
3-methylhistidinuria,3-Methylhistidinuria,3-methylhistidinuria,english,active
3rd toe clinodactyly,3rd Toe Clinodactyly,3rd_toe_clinodactyly,english,active
4-hydroxyisovaleric acid present in urine,4-hydroxyisovaleric Acid Present in Urine,4-hydroxyisovaleric_acid_present_in_urine,english,active
4-hydroxyphenylacetic aciduria,4-hydroxyphenylacetic Aciduria,4-hydroxyphenylacetic_aciduria,english,active
4-hydroxyphenyllactic aciduria,4-hydroxyphenyllactic Aciduria,4-hydroxyphenyllactic_aciduria,english,active
4-hydroxyphenylpyruvic aciduria,4-Hydroxyphenylpyruvic Aciduria,4-hydroxyphenylpyruvic_aciduria,english,active
4-layered lissencephaly,4-layered Lissencephaly,4-layered_lissencephaly,english,active
"46,xy gonadal dysgenesis","46,xy Gonadal Dysgenesis","46,xy_gonadal_dysgenesis",english,active
4th finger camptodactyly,4th Finger Camptodactyly,4th_finger_camptodactyly,english,active
5-fluorouracil exposure,5-fluorouracil Exposure,5-fluorouracil_exposure,english,active
5-hydroxymethyluracil high in blood,5-hydroxymethyluracil High in Blood,5-hydroxymethyluracil_high_in_blood,english,active
5-hydroxymethyluracil high in csf,5-hydroxymethyluracil High in CSF,5-hydroxymethyluracil_high_in_csf,english,active
5-hydroxymethyluracil high in urine,5-hydroxymethyluracil High in Urine,5-hydroxymethyluracil_high_in_urine,english,active
5-minute apgar score of 0,5-minute APGAR Score of 0,5-minute_apgar_score_of_0,english,active
5-minute apgar score of 1,5-minute APGAR Score of 1,5-minute_apgar_score_of_1,english,active
5-minute apgar score of 2,5-minute APGAR Score of 2,5-minute_apgar_score_of_2,english,active
5-minute apgar score of 3,5-minute APGAR Score of 3,5-minute_apgar_score_of_3,english,active
5-minute apgar score of 4,5-minute APGAR Score of 4,5-minute_apgar_score_of_4,english,active
5-minute apgar score of 5,5-minute APGAR Score of 5,5-minute_apgar_score_of_5,english,active
5-minute apgar score of 6,5-minute APGAR Score of 6,5-minute_apgar_score_of_6,english,active
5-oxoprolinase deficiency,5-oxoprolinase Deficiency,5-oxoprolinase_deficiency,english,active
5th finger middle phalangeal hypoplasia,5th Finger Middle Phalangeal Hypoplasia,5th_finger_middle_phalangeal_hypoplasia,english,active
6 long bones of hand,6 Long Bones of Hand,6_long_bones_of_hand,english,active
6 metacarpals,6 Metacarpals,6_metacarpals,english,active
6-layered lissencephaly,6-layered Lissencephaly,6-layered_lissencephaly,english,active
6-mercaptopurine exposure,6-mercaptopurine Exposure,6-mercaptopurine_exposure,english,active
a decline or reduced social expression and social connectedness,A Decline or Reduced Social Expression and Social Connectedness,a_decline_or_reduced_social_expression_and_social_connectedn,english,active
a severe pyogenic infection of the epidural space,A Severe Pyogenic Infection of the Epidural Space,a_severe_pyogenic_infection_of_the_epidural_space,english,active
aa amyloidosis,AA Amyloidosis,aa_amyloidosis,english,active
abasia,Abasia,abasia,english,active
abdominal adhesions,Abdominal Adhesions,abdominal_adhesions,english,active
abdominal aortic aneurysm,Abdominal Aortic Aneurysm,abdominal_aortic_aneurysm,english,active
abdominal aortic calcification,Abdominal Aortic Calcification,abdominal_aortic_calcification,english,active
abdominal aortic dissection,Abdominal Aortic Dissection,abdominal_aortic_dissection,english,active
abdominal aseptic abscess,Abdominal Aseptic Abscess,abdominal_aseptic_abscess,english,active
abdominal aura,Abdominal Aura,abdominal_aura,english,active
abdominal bloating,Abdominal Bloating,abdominal_bloating,english,active
abdominal colic,Abdominal Colic,abdominal_colic,english,active
abdominal cramps,Abdominal Cramps,abdominal_cramps,english,active
abdominal distension,Abdominal Distension,abdominal_distension,english,active
abdominal distension (gaseous),Abdominal Distension (gaseous),abdominal_distension_(gaseous),english,active
abdominal distention,Abdominal Distention,abdominal_distention,english,active
abdominal ectopia cordis,Abdominal Ectopia Cordis,abdominal_ectopia_cordis,english,active
abdominal guarding,Abdominal Guarding,abdominal_guarding,english,active
abdominal mass,Abdominal Mass,abdominal_mass,english,active
abdominal muscular hypoplasia,Abdominal Muscular Hypoplasia,abdominal_muscular_hypoplasia,english,active
abdominal obesity,Abdominal Obesity,abdominal_obesity,english,active
abdominal organ duplication,Abdominal Organ Duplication,abdominal_organ_duplication,english,active
abdominal protuberance,Abdominal Protuberance,abdominal_protuberance,english,active
abdominal reflex absent,Abdominal Reflex Absent,abdominal_reflex_absent,english,active
abdominal rigidity,Abdominal Rigidity,abdominal_rigidity,english,active
"abdominal rigidity, unspecified site","Abdominal Rigidity, Unspecified Site","abdominal_rigidity,_unspecified_site",english,active
abdominal situs ambiguus,Abdominal Situs Ambiguus,abdominal_situs_ambiguus,english,active
abdominal situs inversus,Abdominal Situs Inversus,abdominal_situs_inversus,english,active
abdominal swelling,Abdominal Swelling,abdominal_swelling,english,active
abdominal symptom,Abdominal Symptom,abdominal_symptom,english,active
"abdominal tenderness, unspecified site","Abdominal Tenderness, Unspecified Site","abdominal_tenderness,_unspecified_site",english,active
abdominal wall defect,Abdominal Wall Defect,abdominal_wall_defect,english,active
abdominal wall mass,Abdominal Wall Mass,abdominal_wall_mass,english,active
abdominal wall muscle weakness,Abdominal Wall Muscle Weakness,abdominal_wall_muscle_weakness,english,active
abducens nerve palsy,Abducens Nerve Palsy,abducens_nerve_palsy,english,active
abducens nerve paralysis,Abducens Nerve Paralysis,abducens_nerve_paralysis,english,active
abducens nerve paresis,Abducens Nerve Paresis,abducens_nerve_paresis,english,active
abducens palsy,Abducens Palsy,abducens_palsy,english,active
abducted thumb,Abducted Thumb,abducted_thumb,english,active
abduction contracture of the shoulder,Abduction Contracture of the Shoulder,abduction_contracture_of_the_shoulder,english,active
aberrant melanosome maturation,Aberrant Melanosome Maturation,aberrant_melanosome_maturation,english,active
aberrant neuronal branching,Aberrant Neuronal Branching,aberrant_neuronal_branching,english,active
aberrant right subclavian artery,Aberrant Right Subclavian Artery,aberrant_right_subclavian_artery,english,active
aberrant right subclavian artery syndrome,Aberrant Right Subclavian Artery Syndrome,aberrant_right_subclavian_artery_syndrome,english,active
aberrant thyroid,Aberrant Thyroid,aberrant_thyroid,english,active
aberrant thyroid gland,Aberrant Thyroid Gland,aberrant_thyroid_gland,english,active
abetalipoproteinemia,Abetalipoproteinemia,abetalipoproteinemia,english,active
ablepharon,Ablepharon,ablepharon,english,active
ablepharon of eyelid,Ablepharon of Eyelid,ablepharon_of_eyelid,english,active
abn cytolog find in specmn from oth female genital organs,Abn Cytolog Find in Specmn From Oth Female Genital Organs,abn_cytolog_find_in_specmn_from_oth_female_genital_organs,english,active
abn cytolog findings in specmn from oth dgstv org/abd cav,Abn Cytolog Findings in Specmn From Oth Dgstv Org/abd Cav,abn_cytolog_findings_in_specmn_from_oth_dgstv_org/abd_cav,english,active
"abn findings on dx imaging of abd regions, inc retroperiton","Abn Findings On Dx Imaging of Abd Regions, Inc Retroperiton","abn_findings_on_dx_imaging_of_abd_regions,_inc_retroperiton",english,active
abn histolog findings in specmn from female genital organs,Abn Histolog Findings in Specmn From Female Genital Organs,abn_histolog_findings_in_specmn_from_female_genital_organs,english,active
abn histolog findings in specmn from male genital organs,Abn Histolog Findings in Specmn From Male Genital Organs,abn_histolog_findings_in_specmn_from_male_genital_organs,english,active
abn immunolog findings in specmn from female genital organs,Abn Immunolog Findings in Specmn From Female Genital Organs,abn_immunolog_findings_in_specmn_from_female_genital_organs,english,active
abn immunolog findings in specmn from male genital organs,Abn Immunolog Findings in Specmn From Male Genital Organs,abn_immunolog_findings_in_specmn_from_male_genital_organs,english,active
abn lev drug/meds/biol subst in cerebrospinal fluid,Abn Lev Drug/meds/biol Subst in Cerebrospinal Fluid,abn_lev_drug/meds/biol_subst_in_cerebrospinal_fluid,english,active
abn lev drug/meds/biol subst in specimens from oth org/tiss,Abn Lev Drug/meds/biol Subst in Specimens From Oth Org/tiss,abn_lev_drug/meds/biol_subst_in_specimens_from_oth_org/tiss,english,active
abn lev drug/meds/biol subst in specimens from resp org/thrx,Abn Lev Drug/meds/biol Subst in Specimens From Resp Org/thrx,abn_lev_drug/meds/biol_subst_in_specimens_from_resp_org/thrx,english,active
abn lev drug/meds/biol subst in specmn fr dgstv org/abd cav,Abn Lev Drug/meds/biol Subst in Specmn Fr Dgstv Org/abd Cav,abn_lev_drug/meds/biol_subst_in_specmn_fr_dgstv_org/abd_cav,english,active
abn lev drug/meds/biol subst in specmn from fem gntl organs,Abn Lev Drug/meds/biol Subst in Specmn From Fem Gntl Organs,abn_lev_drug/meds/biol_subst_in_specmn_from_fem_gntl_organs,english,active
abn lev drug/meds/biol subst in specmn from male gntl organs,Abn Lev Drug/meds/biol Subst in Specmn From Male Gntl Organs,abn_lev_drug/meds/biol_subst_in_specmn_from_male_gntl_organs,english,active
abn lev enzymes in specimens from dgstv org/abd cav,Abn Lev Enzymes in Specimens From Dgstv Org/abd Cav,abn_lev_enzymes_in_specimens_from_dgstv_org/abd_cav,english,active
abn lev enzymes in specimens from female genital organs,Abn Lev Enzymes in Specimens From Female Genital Organs,abn_lev_enzymes_in_specimens_from_female_genital_organs,english,active
abn lev enzymes in specimens from male genital organs,Abn Lev Enzymes in Specimens From Male Genital Organs,abn_lev_enzymes_in_specimens_from_male_genital_organs,english,active
abn lev hormones in specimens from dgstv org/abd cav,Abn Lev Hormones in Specimens From Dgstv Org/abd Cav,abn_lev_hormones_in_specimens_from_dgstv_org/abd_cav,english,active
abn lev hormones in specimens from female genital organs,Abn Lev Hormones in Specimens From Female Genital Organs,abn_lev_hormones_in_specimens_from_female_genital_organs,english,active
abn lev hormones in specimens from male genital organs,Abn Lev Hormones in Specimens From Male Genital Organs,abn_lev_hormones_in_specimens_from_male_genital_organs,english,active
abn lev substances chiefly nonmedicinal as to source in csf,Abn Lev Substances Chiefly Nonmedicinal As to Source in CSF,abn_lev_substances_chiefly_nonmedicinal_as_to_source_in_csf,english,active
abn lev substnc nonmed source in specmn fr dgstv org/abd cav,Abn Lev Substnc Nonmed Source in Specmn Fr Dgstv Org/abd Cav,abn_lev_substnc_nonmed_source_in_specmn_fr_dgstv_org/abd_cav,english,active
abn lev substnc nonmed source in specmn from fem gntl organs,Abn Lev Substnc Nonmed Source in Specmn From Fem Gntl Organs,abn_lev_substnc_nonmed_source_in_specmn_from_fem_gntl_organs,english,active
abn lev substnc nonmed source in specmn from male gntl org,Abn Lev Substnc Nonmed Source in Specmn From Male Gntl Org,abn_lev_substnc_nonmed_source_in_specmn_from_male_gntl_org,english,active
abn lev substnc nonmed source in specmn from oth org/tiss,Abn Lev Substnc Nonmed Source in Specmn From Oth Org/tiss,abn_lev_substnc_nonmed_source_in_specmn_from_oth_org/tiss,english,active
abn lev substnc nonmed source in specmn from resp org/thrx,Abn Lev Substnc Nonmed Source in Specmn From Resp Org/thrx,abn_lev_substnc_nonmed_source_in_specmn_from_resp_org/thrx,english,active
abn microbiolog find in specmn from female genital organs,Abn Microbiolog Find in Specmn From Female Genital Organs,abn_microbiolog_find_in_specmn_from_female_genital_organs,english,active
abn microbiolog findings in specmn from dgstv org/abd cav,Abn Microbiolog Findings in Specmn From Dgstv Org/abd Cav,abn_microbiolog_findings_in_specmn_from_dgstv_org/abd_cav,english,active
