combo_id,symptom_a,symptom_b,variant,classification,severity_points,rationale,status
SC00061,vomiting,diabetes,clinical,URGENT,6,Clinical combination: vomiting + diabetes,active
SC00062,diarrhea,diabetes,clinical,URGENT,5,Clinical combination: diarrhea + diabetes,active
SC00063,abdominal_pain,diabetes,clinical,URGENT,7,Clinical combination: abdominal_pain + diabetes,active
SC00064,fever,asthma,clinical,NON-URGENT,4,Clinical combination: fever + asthma,active
SC00065,cough,asthma,clinical,NON-URGENT,3,Clinical combination: cough + asthma,active
SC00066,vomiting,asthma,clinical,URGENT,6,Clinical combination: vomiting + asthma,active
SC00067,diarrhea,asthma,clinical,URGENT,5,Clinical combination: diarrhea + asthma,active
SC00068,abdominal_pain,asthma,clinical,URGENT,7,Clinical combination: abdominal_pain + asthma,active
SC00069,fever,heart_disease,clinical,NON-URGENT,4,Clinical combination: fever + heart_disease,active
SC00070,cough,heart_disease,clinical,NON-URGENT,3,Clinical combination: cough + heart_disease,active
SC00071,vomiting,heart_disease,clinical,URGENT,6,Clinical combination: vomiting + heart_disease,active
SC00072,diarrhea,heart_disease,clinical,URGENT,5,Clinical combination: diarrhea + heart_disease,active
SC00073,abdominal_pain,heart_disease,clinical,URGENT,7,Clinical combination: abdominal_pain + heart_disease,active
SC00074,fever,hypertension,clinical,NON-URGENT,4,Clinical combination: fever + hypertension,active
SC00075,cough,hypertension,clinical,NON-URGENT,3,Clinical combination: cough + hypertension,active
SC00076,vomiting,hypertension,clinical,URGENT,6,Clinical combination: vomiting + hypertension,active
SC00077,diarrhea,hypertension,clinical,URGENT,5,Clinical combination: diarrhea + hypertension,active
SC00078,abdominal_pain,hypertension,clinical,URGENT,7,Clinical combination: abdominal_pain + hypertension,active
SC00079,fever,immunocompromised,clinical,NON-URGENT,4,Clinical combination: fever + immunocompromised,active
SC00080,cough,immunocompromised,clinical,NON-URGENT,3,Clinical combination: cough + immunocompromised,active
SC00081,vomiting,immunocompromised,clinical,URGENT,6,Clinical combination: vomiting + immunocompromised,active
SC00082,diarrhea,immunocompromised,clinical,URGENT,5,Clinical combination: diarrhea + immunocompromised,active
SC00083,abdominal_pain,immunocompromised,clinical,URGENT,7,Clinical combination: abdominal_pain + immunocompromised,active
SC00084,fever,cancer,clinical,NON-URGENT,4,Clinical combination: fever + cancer,active
SC00085,cough,cancer,clinical,NON-URGENT,3,Clinical combination: cough + cancer,active
SC00086,vomiting,cancer,clinical,URGENT,6,Clinical combination: vomiting + cancer,active
SC00087,diarrhea,cancer,clinical,URGENT,5,Clinical combination: diarrhea + cancer,active
SC00088,abdominal_pain,cancer,clinical,URGENT,7,Clinical combination: abdominal_pain + cancer,active
SC00089,abdominal_pain,chest_pain,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + chest_pain,active
SC00090,abdominal_pain,coughing_blood,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + coughing_blood,active
SC00091,abdominal_pain,difficulty_breathing,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + difficulty_breathing,active
SC00092,abdominal_pain,head_injury,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + head_injury,active
SC00093,abdominal_pain,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + loss_of_consciousness,active
SC00094,abdominal_pain,major_trauma,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + major_trauma,active
SC00095,abdominal_pain,poisoning,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + poisoning,active
SC00096,abdominal_pain,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + pregnancy_bleeding,active
SC00097,abdominal_pain,seizure,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + seizure,active
SC00098,abdominal_pain,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + severe_bleeding,active
SC00099,abdominal_pain,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + stroke_symptoms,active
SC00100,abdominal_pain,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: abdominal_pain + vomiting_blood,active
SC00101,chest_pain,cough,clinical,EMERGENCY,14,Clinical combination: chest_pain + cough,active
SC00102,chest_pain,coughing_blood,clinical,EMERGENCY,14,Clinical combination: chest_pain + coughing_blood,active
SC00103,chest_pain,diarrhea,clinical,EMERGENCY,14,Clinical combination: chest_pain + diarrhea,active
SC00104,chest_pain,fever,clinical,EMERGENCY,14,Clinical combination: chest_pain + fever,active
SC00105,chest_pain,head_injury,clinical,EMERGENCY,14,Clinical combination: chest_pain + head_injury,active
SC00106,chest_pain,headache,clinical,EMERGENCY,14,Clinical combination: chest_pain + headache,active
SC00107,chest_pain,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: chest_pain + loss_of_consciousness,active
SC00108,chest_pain,major_trauma,clinical,EMERGENCY,14,Clinical combination: chest_pain + major_trauma,active
SC00109,chest_pain,poisoning,clinical,EMERGENCY,14,Clinical combination: chest_pain + poisoning,active
SC00110,chest_pain,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: chest_pain + pregnancy_bleeding,active
SC00111,chest_pain,rash,clinical,EMERGENCY,14,Clinical combination: chest_pain + rash,active
SC00112,chest_pain,seizure,clinical,EMERGENCY,14,Clinical combination: chest_pain + seizure,active
SC00113,chest_pain,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: chest_pain + severe_bleeding,active
SC00114,chest_pain,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: chest_pain + stroke_symptoms,active
SC00115,chest_pain,vomiting,clinical,EMERGENCY,14,Clinical combination: chest_pain + vomiting,active
SC00116,chest_pain,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: chest_pain + vomiting_blood,active
SC00117,chest_pain,weakness,clinical,EMERGENCY,14,Clinical combination: chest_pain + weakness,active
SC00118,cough,coughing_blood,clinical,EMERGENCY,14,Clinical combination: cough + coughing_blood,active
SC00119,cough,difficulty_breathing,clinical,EMERGENCY,14,Clinical combination: cough + difficulty_breathing,active
SC00120,cough,head_injury,clinical,EMERGENCY,14,Clinical combination: cough + head_injury,active
SC00121,cough,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: cough + loss_of_consciousness,active
SC00122,cough,major_trauma,clinical,EMERGENCY,14,Clinical combination: cough + major_trauma,active
SC00123,cough,poisoning,clinical,EMERGENCY,14,Clinical combination: cough + poisoning,active
SC00124,cough,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: cough + pregnancy_bleeding,active
SC00125,cough,seizure,clinical,EMERGENCY,14,Clinical combination: cough + seizure,active
SC00126,cough,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: cough + severe_bleeding,active
SC00127,cough,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: cough + stroke_symptoms,active
SC00128,cough,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: cough + vomiting_blood,active
SC00129,coughing_blood,diarrhea,clinical,EMERGENCY,14,Clinical combination: coughing_blood + diarrhea,active
SC00130,coughing_blood,difficulty_breathing,clinical,EMERGENCY,14,Clinical combination: coughing_blood + difficulty_breathing,active
SC00131,coughing_blood,fever,clinical,EMERGENCY,14,Clinical combination: coughing_blood + fever,active
SC00132,coughing_blood,head_injury,clinical,EMERGENCY,14,Clinical combination: coughing_blood + head_injury,active
SC00133,coughing_blood,headache,clinical,EMERGENCY,14,Clinical combination: coughing_blood + headache,active
SC00134,coughing_blood,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: coughing_blood + loss_of_consciousness,active
SC00135,coughing_blood,major_trauma,clinical,EMERGENCY,14,Clinical combination: coughing_blood + major_trauma,active
SC00136,coughing_blood,poisoning,clinical,EMERGENCY,14,Clinical combination: coughing_blood + poisoning,active
SC00137,coughing_blood,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: coughing_blood + pregnancy_bleeding,active
SC00138,coughing_blood,rash,clinical,EMERGENCY,14,Clinical combination: coughing_blood + rash,active
SC00139,coughing_blood,seizure,clinical,EMERGENCY,14,Clinical combination: coughing_blood + seizure,active
SC00140,coughing_blood,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: coughing_blood + severe_bleeding,active
SC00141,coughing_blood,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: coughing_blood + stroke_symptoms,active
SC00142,coughing_blood,vomiting,clinical,EMERGENCY,14,Clinical combination: coughing_blood + vomiting,active
SC00143,coughing_blood,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: coughing_blood + vomiting_blood,active
SC00144,coughing_blood,weakness,clinical,EMERGENCY,14,Clinical combination: coughing_blood + weakness,active
SC00145,diarrhea,difficulty_breathing,clinical,EMERGENCY,14,Clinical combination: diarrhea + difficulty_breathing,active
SC00146,diarrhea,head_injury,clinical,EMERGENCY,14,Clinical combination: diarrhea + head_injury,active
SC00147,diarrhea,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: diarrhea + loss_of_consciousness,active
SC00148,diarrhea,major_trauma,clinical,EMERGENCY,14,Clinical combination: diarrhea + major_trauma,active
SC00149,diarrhea,poisoning,clinical,EMERGENCY,14,Clinical combination: diarrhea + poisoning,active
SC00150,diarrhea,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: diarrhea + pregnancy_bleeding,active
SC00151,diarrhea,seizure,clinical,EMERGENCY,14,Clinical combination: diarrhea + seizure,active
SC00152,diarrhea,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: diarrhea + severe_bleeding,active
SC00153,diarrhea,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: diarrhea + stroke_symptoms,active
SC00154,diarrhea,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: diarrhea + vomiting_blood,active
SC00155,difficulty_breathing,fever,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + fever,active
SC00156,difficulty_breathing,head_injury,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + head_injury,active
SC00157,difficulty_breathing,headache,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + headache,active
SC00158,difficulty_breathing,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + loss_of_consciousness,active
SC00159,difficulty_breathing,major_trauma,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + major_trauma,active
SC00160,difficulty_breathing,poisoning,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + poisoning,active
SC00161,difficulty_breathing,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + pregnancy_bleeding,active
SC00162,difficulty_breathing,rash,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + rash,active
SC00163,difficulty_breathing,seizure,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + seizure,active
SC00164,difficulty_breathing,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + severe_bleeding,active
SC00165,difficulty_breathing,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + stroke_symptoms,active
SC00166,difficulty_breathing,vomiting,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + vomiting,active
SC00167,difficulty_breathing,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + vomiting_blood,active
SC00168,difficulty_breathing,weakness,clinical,EMERGENCY,14,Clinical combination: difficulty_breathing + weakness,active
SC00169,fever,head_injury,clinical,EMERGENCY,14,Clinical combination: fever + head_injury,active
SC00170,fever,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: fever + loss_of_consciousness,active
SC00171,fever,major_trauma,clinical,EMERGENCY,14,Clinical combination: fever + major_trauma,active
SC00172,fever,poisoning,clinical,EMERGENCY,14,Clinical combination: fever + poisoning,active
SC00173,fever,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: fever + pregnancy_bleeding,active
SC00174,fever,seizure,clinical,EMERGENCY,14,Clinical combination: fever + seizure,active
SC00175,fever,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: fever + severe_bleeding,active
SC00176,fever,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: fever + stroke_symptoms,active
SC00177,fever,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: fever + vomiting_blood,active
SC00178,head_injury,headache,clinical,EMERGENCY,14,Clinical combination: head_injury + headache,active
SC00179,head_injury,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: head_injury + loss_of_consciousness,active
SC00180,head_injury,major_trauma,clinical,EMERGENCY,14,Clinical combination: head_injury + major_trauma,active
SC00181,head_injury,poisoning,clinical,EMERGENCY,14,Clinical combination: head_injury + poisoning,active
SC00182,head_injury,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: head_injury + pregnancy_bleeding,active
SC00183,head_injury,rash,clinical,EMERGENCY,14,Clinical combination: head_injury + rash,active
SC00184,head_injury,seizure,clinical,EMERGENCY,14,Clinical combination: head_injury + seizure,active
SC00185,head_injury,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: head_injury + severe_bleeding,active
SC00186,head_injury,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: head_injury + stroke_symptoms,active
SC00187,head_injury,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: head_injury + vomiting_blood,active
SC00188,head_injury,weakness,clinical,EMERGENCY,14,Clinical combination: head_injury + weakness,active
SC00189,headache,loss_of_consciousness,clinical,EMERGENCY,14,Clinical combination: headache + loss_of_consciousness,active
SC00190,headache,major_trauma,clinical,EMERGENCY,14,Clinical combination: headache + major_trauma,active
SC00191,headache,poisoning,clinical,EMERGENCY,14,Clinical combination: headache + poisoning,active
SC00192,headache,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: headache + pregnancy_bleeding,active
SC00193,headache,seizure,clinical,EMERGENCY,14,Clinical combination: headache + seizure,active
SC00194,headache,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: headache + severe_bleeding,active
SC00195,headache,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: headache + stroke_symptoms,active
SC00196,headache,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: headache + vomiting_blood,active
SC00197,loss_of_consciousness,major_trauma,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + major_trauma,active
SC00198,loss_of_consciousness,poisoning,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + poisoning,active
SC00199,loss_of_consciousness,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + pregnancy_bleeding,active
SC00200,loss_of_consciousness,rash,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + rash,active
SC00201,loss_of_consciousness,seizure,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + seizure,active
SC00202,loss_of_consciousness,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + severe_bleeding,active
SC00203,loss_of_consciousness,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + stroke_symptoms,active
SC00204,loss_of_consciousness,vomiting,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + vomiting,active
SC00205,loss_of_consciousness,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + vomiting_blood,active
SC00206,loss_of_consciousness,weakness,clinical,EMERGENCY,14,Clinical combination: loss_of_consciousness + weakness,active
SC00207,major_trauma,poisoning,clinical,EMERGENCY,14,Clinical combination: major_trauma + poisoning,active
SC00208,major_trauma,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: major_trauma + pregnancy_bleeding,active
SC00209,major_trauma,rash,clinical,EMERGENCY,14,Clinical combination: major_trauma + rash,active
SC00210,major_trauma,seizure,clinical,EMERGENCY,14,Clinical combination: major_trauma + seizure,active
SC00211,major_trauma,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: major_trauma + severe_bleeding,active
SC00212,major_trauma,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: major_trauma + stroke_symptoms,active
SC00213,major_trauma,vomiting,clinical,EMERGENCY,14,Clinical combination: major_trauma + vomiting,active
SC00214,major_trauma,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: major_trauma + vomiting_blood,active
SC00215,major_trauma,weakness,clinical,EMERGENCY,14,Clinical combination: major_trauma + weakness,active
SC00216,poisoning,pregnancy_bleeding,clinical,EMERGENCY,14,Clinical combination: poisoning + pregnancy_bleeding,active
SC00217,poisoning,rash,clinical,EMERGENCY,14,Clinical combination: poisoning + rash,active
SC00218,poisoning,seizure,clinical,EMERGENCY,14,Clinical combination: poisoning + seizure,active
SC00219,poisoning,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: poisoning + severe_bleeding,active
SC00220,poisoning,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: poisoning + stroke_symptoms,active
SC00221,poisoning,vomiting,clinical,EMERGENCY,14,Clinical combination: poisoning + vomiting,active
SC00222,poisoning,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: poisoning + vomiting_blood,active
SC00223,poisoning,weakness,clinical,EMERGENCY,14,Clinical combination: poisoning + weakness,active
SC00224,pregnancy_bleeding,rash,clinical,EMERGENCY,14,Clinical combination: pregnancy_bleeding + rash,active
SC00225,pregnancy_bleeding,seizure,clinical,EMERGENCY,14,Clinical combination: pregnancy_bleeding + seizure,active
SC00226,pregnancy_bleeding,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: pregnancy_bleeding + severe_bleeding,active
SC00227,pregnancy_bleeding,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: pregnancy_bleeding + stroke_symptoms,active
SC00228,pregnancy_bleeding,vomiting,clinical,EMERGENCY,14,Clinical combination: pregnancy_bleeding + vomiting,active
SC00229,pregnancy_bleeding,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: pregnancy_bleeding + vomiting_blood,active
SC00230,pregnancy_bleeding,weakness,clinical,EMERGENCY,14,Clinical combination: pregnancy_bleeding + weakness,active
SC00231,rash,seizure,clinical,EMERGENCY,14,Clinical combination: rash + seizure,active
SC00232,rash,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: rash + severe_bleeding,active
SC00233,rash,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: rash + stroke_symptoms,active
SC00234,rash,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: rash + vomiting_blood,active
SC00235,seizure,severe_bleeding,clinical,EMERGENCY,14,Clinical combination: seizure + severe_bleeding,active
SC00236,seizure,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: seizure + stroke_symptoms,active
SC00237,seizure,vomiting,clinical,EMERGENCY,14,Clinical combination: seizure + vomiting,active
SC00238,seizure,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: seizure + vomiting_blood,active
SC00239,seizure,weakness,clinical,EMERGENCY,14,Clinical combination: seizure + weakness,active
SC00240,severe_bleeding,stroke_symptoms,clinical,EMERGENCY,14,Clinical combination: severe_bleeding + stroke_symptoms,active
SC00241,severe_bleeding,vomiting,clinical,EMERGENCY,14,Clinical combination: severe_bleeding + vomiting,active
SC00242,severe_bleeding,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: severe_bleeding + vomiting_blood,active
SC00243,severe_bleeding,weakness,clinical,EMERGENCY,14,Clinical combination: severe_bleeding + weakness,active
SC00244,stroke_symptoms,vomiting,clinical,EMERGENCY,14,Clinical combination: stroke_symptoms + vomiting,active
SC00245,stroke_symptoms,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: stroke_symptoms + vomiting_blood,active
SC00246,stroke_symptoms,weakness,clinical,EMERGENCY,14,Clinical combination: stroke_symptoms + weakness,active
SC00247,vomiting,vomiting_blood,clinical,EMERGENCY,14,Clinical combination: vomiting + vomiting_blood,active
SC00248,vomiting_blood,weakness,clinical,EMERGENCY,14,Clinical combination: vomiting_blood + weakness,active
SC00249,wheezing,asthma_exacerbation,clinical,URGENT,7,Clinical combination: wheezing + asthma_exacerbation,active
SC00250,wheezing,stridor,clinical,URGENT,7,Clinical combination: wheezing + stridor,active
SC00251,wheezing,bronchitis,clinical,NON-URGENT,3,Clinical combination: wheezing + bronchitis,active
SC00252,wheezing,pneumonia_symptoms,clinical,NON-URGENT,3,Clinical combination: wheezing + pneumonia_symptoms,active
SC00253,wheezing,pleuritic_chest_pain,clinical,NON-URGENT,3,Clinical combination: wheezing + pleuritic_chest_pain,active
SC00254,wheezing,hoarseness,clinical,NON-URGENT,3,Clinical combination: wheezing + hoarseness,active
SC00255,wheezing,nasal_congestion,clinical,NON-URGENT,3,Clinical combination: wheezing + nasal_congestion,active
SC00256,wheezing,sinus_pain,clinical,NON-URGENT,3,Clinical combination: wheezing + sinus_pain,active
SC00257,wheezing,hemoptysis,clinical,URGENT,7,Clinical combination: wheezing + hemoptysis,active
SC00258,wheezing,throat_swelling,clinical,URGENT,7,Clinical combination: wheezing + throat_swelling,active
SC00259,wheezing,aspiration,clinical,URGENT,7,Clinical combination: wheezing + aspiration,active
SC00260,wheezing,croup,clinical,NON-URGENT,3,Clinical combination: wheezing + croup,active
SC00261,wheezing,epistaxis,clinical,NON-URGENT,3,Clinical combination: wheezing + epistaxis,active
SC00262,wheezing,severe_epistaxis,clinical,URGENT,7,Clinical combination: wheezing + severe_epistaxis,active
SC00263,wheezing,cyanosis,clinical,URGENT,7,Clinical combination: wheezing + cyanosis,active
SC00264,wheezing,sleep_apnea_symptoms,clinical,NON-URGENT,3,Clinical combination: wheezing + sleep_apnea_symptoms,active
SC00265,wheezing,syncope,clinical,URGENT,7,Clinical combination: wheezing + syncope,active
SC00266,wheezing,hypotension,clinical,NON-URGENT,3,Clinical combination: wheezing + hypotension,active
SC00267,wheezing,hypertension_severe,clinical,NON-URGENT,3,Clinical combination: wheezing + hypertension_severe,active
SC00268,wheezing,leg_swelling_unilateral,clinical,NON-URGENT,3,Clinical combination: wheezing + leg_swelling_unilateral,active
SC00269,wheezing,claudication,clinical,NON-URGENT,3,Clinical combination: wheezing + claudication,active
SC00270,wheezing,arrhythmia,clinical,NON-URGENT,3,Clinical combination: wheezing + arrhythmia,active
SC00271,wheezing,angina,clinical,URGENT,7,Clinical combination: wheezing + angina,active
SC00272,wheezing,heart_failure_symptoms,clinical,URGENT,7,Clinical combination: wheezing + heart_failure_symptoms,active
