pattern_id,pattern,celsius,band,severity_points,language,status
TMPB0123,fever,,fever,2,mixed,active
TMPB0124,high fever,,high_fever,4,mixed,active
TMPB0125,lagnat,,fever,2,mixed,active
TMPB0126,hilanat,,fever,2,mixed,active
TMPB0127,mataas na lagnat,,high_fever,4,mixed,active
TMPB0128,grabe nga lagnat,,high_fever,4,mixed,active
TMPB0129,low grade fever,,low_grade,1,mixed,active
TMPB0130,may init lawas,,fever,2,mixed,active
TMP0001,hilanat 39.4,39.4,fever,2,mixed,active
TMP0002,hilanat 40.9,40.9,fever,2,mixed,active
TMP0003,lagnat 38.1,38.1,fever,2,mixed,active
TMP0004,temp 37.9,37.9,low_grade,1,mixed,active
TMP0005,lagnat 40.4,40.4,fever,2,mixed,active
TMP0006,hilanat 38.4,38.4,fever,2,mixed,active
TMP0007,hilanat 37.8,37.8,low_grade,1,mixed,active
TMP0008,body temp 40.2,40.2,fever,2,mixed,active
TMP0009,temp 36.7,36.7,low_grade,1,mixed,active
TMP0010,lagnat 37.9,37.9,low_grade,1,mixed,active
TMP0011,hilanat 37.0,37.0,low_grade,1,mixed,active
TMP0012,temp 40.4,40.4,fever,2,mixed,active
TMP0013,body temp 39.5,39.5,fever,2,mixed,active
TMP0014,temp 38.6,38.6,fever,2,mixed,active
TMP0015,lagnat 37.3,37.3,low_grade,1,mixed,active
TMP0016,hilanat 39.3,39.3,fever,2,mixed,active
TMP0017,temp 39.3,39.3,fever,2,mixed,active
TMP0018,body temp 37.4,37.4,low_grade,1,mixed,active
TMP0019,lagnat 37.1,37.1,low_grade,1,mixed,active
TMP0020,hilanat 38.5,38.5,fever,2,mixed,active
TMP0021,body temp 37.0,37.0,low_grade,1,mixed,active
TMP0022,temperature 40.1,40.1,fever,2,mixed,active
TMP0023,temp 37.9,37.9,low_grade,1,mixed,active
TMP0024,temp 39.0,39.0,fever,2,mixed,active
TMP0025,temp 37.5,37.5,low_grade,1,mixed,active
TMP0026,temp 38.6,38.6,fever,2,mixed,active
TMP0027,temperature 39.4,39.4,fever,2,mixed,active
TMP0028,lagnat 38.7,38.7,fever,2,mixed,active
TMP0029,lagnat 38.8,38.8,fever,2,mixed,active
TMP0030,hilanat 38.4,38.4,fever,2,mixed,active
TMP0031,temperature 40.9,40.9,fever,2,mixed,active
TMP0032,temperature 38.6,38.6,fever,2,mixed,active
TMP0033,body temp 38.2,38.2,fever,2,mixed,active
TMP0034,temperature 38.8,38.8,fever,2,mixed,active
TMP0035,lagnat 40.4,40.4,fever,2,mixed,active
TMP0036,hilanat 40.0,40.0,fever,2,mixed,active
TMP0037,body temp 38.0,38.0,fever,2,mixed,active
TMP0038,temp 37.7,37.7,low_grade,1,mixed,active
TMP0039,lagnat 37.8,37.8,low_grade,1,mixed,active
TMP0040,body temp 40.3,40.3,fever,2,mixed,active
TMP0041,hilanat 41.0,41.0,fever,2,mixed,active
TMP0042,hilanat 40.4,40.4,fever,2,mixed,active
TMP0043,lagnat 38.9,38.9,fever,2,mixed,active
TMP0044,body temp 38.0,38.0,fever,2,mixed,active
TMP0045,lagnat 38.2,38.2,fever,2,mixed,active
TMP0046,temperature 40.4,40.4,fever,2,mixed,active
TMP0047,temperature 39.1,39.1,fever,2,mixed,active
TMP0048,hilanat 40.4,40.4,fever,2,mixed,active
TMP0049,hilanat 36.7,36.7,low_grade,1,mixed,active
TMP0050,hilanat 39.7,39.7,fever,2,mixed,active
TMP0051,temperature 38.2,38.2,fever,2,mixed,active
TMP0052,temp 38.7,38.7,fever,2,mixed,active
TMP0053,body temp 37.1,37.1,low_grade,1,mixed,active
TMP0054,temp 38.0,38.0,fever,2,mixed,active
TMP0055,hilanat 40.4,40.4,fever,2,mixed,active
TMP0056,hilanat 36.9,36.9,low_grade,1,mixed,active
TMP0057,temperature 36.6,36.6,low_grade,1,mixed,active
TMP0058,temperature 38.3,38.3,fever,2,mixed,active
TMP0059,lagnat 36.8,36.8,low_grade,1,mixed,active
TMP0060,hilanat 38.0,38.0,fever,2,mixed,active
TMP0061,lagnat 39.4,39.4,fever,2,mixed,active
TMP0062,body temp 40.3,40.3,fever,2,mixed,active
TMP0063,lagnat 38.2,38.2,fever,2,mixed,active
TMP0064,hilanat 39.3,39.3,fever,2,mixed,active
TMP0065,temp 40.4,40.4,fever,2,mixed,active
TMP0066,temperature 39.3,39.3,fever,2,mixed,active
TMP0067,lagnat 39.3,39.3,fever,2,mixed,active
TMP0068,temp 41.0,41.0,fever,2,mixed,active
TMP0069,temp 38.5,38.5,fever,2,mixed,active
TMP0070,temp 39.9,39.9,fever,2,mixed,active
TMP0071,lagnat 38.5,38.5,fever,2,mixed,active
TMP0072,temp 40.6,40.6,fever,2,mixed,active
TMP0073,temp 38.0,38.0,fever,2,mixed,active
TMP0074,lagnat 37.8,37.8,low_grade,1,mixed,active
TMP0075,temperature 38.4,38.4,fever,2,mixed,active
TMP0076,body temp 38.9,38.9,fever,2,mixed,active
TMP0077,temperature 39.6,39.6,fever,2,mixed,active
TMP0078,temp 37.3,37.3,low_grade,1,mixed,active
TMP0079,hilanat 39.2,39.2,fever,2,mixed,active
TMP0080,temperature 39.3,39.3,fever,2,mixed,active
TMP0081,body temp 38.7,38.7,fever,2,mixed,active
TMP0082,hilanat 37.1,37.1,low_grade,1,mixed,active
TMP0083,hilanat 39.4,39.4,fever,2,mixed,active
TMP0084,temp 37.6,37.6,low_grade,1,mixed,active
TMP0085,hilanat 40.5,40.5,fever,2,mixed,active
TMP0086,body temp 40.6,40.6,fever,2,mixed,active
TMP0087,hilanat 37.2,37.2,low_grade,1,mixed,active
TMP0088,body temp 40.8,40.8,fever,2,mixed,active
TMP0089,hilanat 37.8,37.8,low_grade,1,mixed,active
TMP0090,hilanat 39.6,39.6,fever,2,mixed,active
TMP0091,temperature 40.3,40.3,fever,2,mixed,active
TMP0092,hilanat 41.0,41.0,fever,2,mixed,active
TMP0093,hilanat 37.0,37.0,low_grade,1,mixed,active
TMP0094,body temp 39.1,39.1,fever,2,mixed,active
TMP0095,lagnat 37.8,37.8,low_grade,1,mixed,active
TMP0096,hilanat 36.6,36.6,low_grade,1,mixed,active
TMP0097,body temp 37.7,37.7,low_grade,1,mixed,active
TMP0098,temp 40.4,40.4,fever,2,mixed,active
TMP0099,hilanat 40.6,40.6,fever,2,mixed,active
TMP0100,lagnat 40.2,40.2,fever,2,mixed,active
TMP0101,temperature 40.0,40.0,fever,2,mixed,active
TMP0102,lagnat 39.2,39.2,fever,2,mixed,active
TMP0103,temperature 37.5,37.5,low_grade,1,mixed,active
TMP0104,temperature 39.3,39.3,fever,2,mixed,active
TMP0105,temp 39.3,39.3,fever,2,mixed,active
TMP0106,hilanat 37.9,37.9,low_grade,1,mixed,active
TMP0107,lagnat 36.7,36.7,low_grade,1,mixed,active
TMP0108,temp 39.8,39.8,fever,2,mixed,active
TMP0109,lagnat 40.6,40.6,fever,2,mixed,active
TMP0110,temperature 39.9,39.9,fever,2,mixed,active
TMP0111,body temp 37.4,37.4,low_grade,1,mixed,active
TMP0112,lagnat 40.4,40.4,fever,2,mixed,active
TMP0113,lagnat 38.9,38.9,fever,2,mixed,active
TMP0114,lagnat 40.2,40.2,fever,2,mixed,active
TMP0115,hilanat 40.6,40.6,fever,2,mixed,active
TMP0116,lagnat 40.9,40.9,fever,2,mixed,active
TMP0117,lagnat 39.9,39.9,fever,2,mixed,active
TMP0118,hilanat 40.1,40.1,fever,2,mixed,active
TMP0119,temperature 40.8,40.8,fever,2,mixed,active
TMP0120,temperature 39.9,39.9,fever,2,mixed,active
TMP0121,hilanat 40.4,40.4,fever,2,mixed,active
TMP0122,body temp 40.9,40.9,fever,2,mixed,active
TMP0123,hilanat 38.1,38.1,fever,2,mixed,active
TMP0124,body temp 36.6,36.6,low_grade,1,mixed,active
TMP0125,lagnat 37.1,37.1,low_grade,1,mixed,active
TMP0126,lagnat 39.5,39.5,fever,2,mixed,active
TMP0127,lagnat 39.1,39.1,fever,2,mixed,active
TMP0128,temperature 37.0,37.0,low_grade,1,mixed,active
TMP0129,body temp 38.6,38.6,fever,2,mixed,active
TMP0130,body temp 40.5,40.5,fever,2,mixed,active
TMP0131,body temp 38.0,38.0,fever,2,mixed,active
TMP0132,temp 37.5,37.5,low_grade,1,mixed,active
TMP0133,hilanat 39.4,39.4,fever,2,mixed,active
TMP0134,lagnat 40.6,40.6,fever,2,mixed,active
TMP0135,temp 39.4,39.4,fever,2,mixed,active
TMP0136,temp 37.1,37.1,low_grade,1,mixed,active
TMP0137,hilanat 37.9,37.9,low_grade,1,mixed,active
TMP0138,temperature 37.0,37.0,low_grade,1,mixed,active
TMP0139,temperature 40.5,40.5,fever,2,mixed,active
TMP0140,lagnat 38.2,38.2,fever,2,mixed,active
TMP0141,body temp 39.5,39.5,fever,2,mixed,active
TMP0142,temperature 38.4,38.4,fever,2,mixed,active
TMP0143,temp 40.5,40.5,fever,2,mixed,active
TMP0144,body temp 40.3,40.3,fever,2,mixed,active
TMP0145,lagnat 38.3,38.3,fever,2,mixed,active
TMP0146,lagnat 36.6,36.6,low_grade,1,mixed,active
TMP0147,hilanat 37.5,37.5,low_grade,1,mixed,active
TMP0148,lagnat 40.8,40.8,fever,2,mixed,active
TMP0149,lagnat 36.9,36.9,low_grade,1,mixed,active
TMP0150,lagnat 39.0,39.0,fever,2,mixed,active
TMP0151,lagnat 36.8,36.8,low_grade,1,mixed,active
TMP0152,temp 37.4,37.4,low_grade,1,mixed,active
TMP0153,hilanat 40.8,40.8,fever,2,mixed,active
TMP0154,temperature 36.9,36.9,low_grade,1,mixed,active
TMP0155,body temp 39.4,39.4,fever,2,mixed,active
TMP0156,temp 40.9,40.9,fever,2,mixed,active
TMP0157,temperature 40.0,40.0,fever,2,mixed,active
TMP0158,body temp 40.9,40.9,fever,2,mixed,active
TMP0159,body temp 37.4,37.4,low_grade,1,mixed,active
TMP0160,temperature 37.4,37.4,low_grade,1,mixed,active
TMP0161,temperature 40.2,40.2,fever,2,mixed,active
TMP0162,temperature 38.0,38.0,fever,2,mixed,active
TMP0163,body temp 40.0,40.0,fever,2,mixed,active
TMP0164,temperature 36.5,36.5,low_grade,1,mixed,active
TMP0165,body temp 40.9,40.9,fever,2,mixed,active
TMP0166,temperature 37.6,37.6,low_grade,1,mixed,active
TMP0167,temp 37.0,37.0,low_grade,1,mixed,active
TMP0168,lagnat 37.1,37.1,low_grade,1,mixed,active
TMP0169,temperature 40.1,40.1,fever,2,mixed,active
TMP0170,temp 39.1,39.1,fever,2,mixed,active
