dictionary_id,local_term,english_term,category
149,allergy sa eye drops,medication allergy,allergy
150,allergy sa flu vaccine,vaccine allergy,allergy
151,allergy sa gabi,taro allergy,allergy
152,allergy sa gamot na ito,drug allergy,allergy
153,allergy sa gatas,milk allergy,allergy
154,allergy sa gatas sang baka,milk allergy,allergy
155,allergy sa ginamos,shellfish allergy,allergy
156,allergy sa gloves,latex allergy,allergy
157,allergy sa gluten,gluten allergy,allergy
158,allergy sa hangin,environmental allergy,allergy
159,allergy sa harina,wheat allergy,allergy
160,allergy sa hayop,animal dander allergy,allergy
161,allergy sa hipon,shrimp allergy,allergy
162,allergy sa hornet,wasp sting allergy,allergy
163,allergy sa iodine,iodine allergy,allergy
164,allergy sa iring,cat dander allergy,allergy
165,allergy sa iro,dog dander allergy,allergy
166,allergy sa iro sa balay,dog dander allergy,allergy
167,allergy sa isda,fish allergy,allergy
168,allergy sa itlog,egg allergy,allergy
169,allergy sa itlog manok,egg allergy,allergy
170,allergy sa kanding,animal dander allergy,allergy
171,allergy sa karagatan,seafood allergy,allergy
172,allergy sa karne,meat allergy,allergy
173,allergy sa lamian,shellfish allergy,allergy
174,allergy sa lamok,mosquito bite allergy,allergy
175,allergy sa lamok bite,mosquito bite allergy,allergy
176,allergy sa latex,latex allergy,allergy
177,allergy sa lidocaine,local anesthetic allergy,allergy
178,allergy sa liso,soy allergy,allergy
179,allergy sa mais,corn allergy,allergy
180,allergy sa mangga,fruit allergy,allergy
181,allergy sa mani,peanut allergy,allergy
182,allergy sa manok,poultry allergy,allergy
183,allergy sa manok feather,feather allergy,allergy
184,allergy sa medicine,drug allergy,allergy
185,allergy sa mefenamic,NSAID allergy,allergy
186,allergy sa milk,milk allergy,allergy
187,allergy sa mold,mold allergy,allergy
188,allergy sa morphine,opioid allergy,allergy
189,allergy sa mosquito,mosquito bite allergy,allergy
190,allergy sa MSG,MSG sensitivity,allergy
191,allergy sa mustard,mustard allergy,allergy
192,allergy sa neomycin,neomycin allergy,allergy
193,allergy sa NSAID,NSAID allergy,allergy
194,allergy sa ointment,medication allergy,allergy
195,allergy sa pagkaon,food allergy,allergy
196,allergy sa painkiller,NSAID allergy,allergy
197,allergy sa panahon,seasonal allergic rhinitis,allergy
198,allergy sa panit,contact dermatitis,condition
199,allergy sa paracetamol,acetaminophen sensitivity,allergy
200,allergy sa patis,fish allergy,allergy
201,allergy sa peanut butter,peanut allergy,allergy
202,allergy sa peanuts,peanut allergy,allergy
203,allergy sa penicillin,penicillin allergy,allergy
204,allergy sa perfume,fragrance sensitivity,allergy
205,allergy sa pollen,pollen allergy,allergy
206,allergy sa pollen grass,grass pollen allergy,allergy
207,allergy sa prutas,fruit allergy,allergy
208,allergy sa pusit,shellfish allergy,allergy
209,allergy sa putyukan,wasp sting allergy,allergy
210,allergy sa rice,rice allergy,allergy
211,allergy sa rubber,latex allergy,allergy
212,allergy sa sabon,soap sensitivity,allergy
213,allergy sa saging,banana allergy,allergy
214,allergy sa seafood,shellfish allergy,allergy
215,allergy sa seasoning,food allergy,allergy
216,allergy sa sesame,sesame allergy,allergy
217,allergy sa shrimp paste,shellfish allergy,allergy
218,allergy sa sigarilyo,tobacco smoke sensitivity,allergy
219,allergy sa soy,soy allergy,allergy
220,allergy sa squid,shellfish allergy,allergy
221,allergy sa strawberry,strawberry allergy,allergy
222,allergy sa sulfa,sulfa allergy,allergy
223,allergy sa sulfa drug,sulfa allergy,allergy
224,allergy sa swaki,shellfish allergy,allergy
225,allergy sa tahong,shellfish allergy,allergy
226,allergy sa talaba,shellfish allergy,allergy
227,allergy sa tambal,drug allergy,allergy
228,allergy sa tambal nga antibiotic,antibiotic allergy,allergy
229,allergy sa tambal nga aspirin,aspirin allergy,allergy
230,allergy sa tetanus,vaccine allergy,allergy
231,allergy sa topical,medication allergy,allergy
232,allergy sa toyo,soy allergy,allergy
233,allergy sa uban,mold allergy,allergy
234,allergy sa usok,smoke sensitivity,allergy
235,allergy sa utanan,tree nut allergy,allergy
236,allergy sa uyap,shrimp allergy,allergy
237,allergy sa vaccine,vaccine allergy,allergy
238,allergy sa wasp,wasp sting allergy,allergy
239,allergy sa wheat,wheat allergy,allergy
240,almond allergy,tree nut allergy,allergy
241,almoranas,hemorrhoids,condition
242,alta presyon,hypertension,condition
243,alta presyon ko,hypertension,condition
244,altakolesterol,hyperlipidemia,condition
245,altapresion,hypertension,condition
246,altapresyon,hypertension,condition
247,altapresyon ko,hypertension,condition
248,alzheimer,alzheimer disease,condition
249,amoebiasis,amoebiasis,condition
250,amoxicillin allergy,amoxicillin allergy,allergy
251,an-an,tinea versicolor,condition
252,anaphylactic,anaphylaxis,allergy
253,anaphylaxis,anaphylaxis,allergy
254,anemia,anemia,condition
255,anemic,anemia,condition
256,angina,angina,condition
257,ano ang buhaton budlay magginhawa ko,difficulty breathing,condition
258,ano ang buhaton gasakit dughan ko,chest pain,condition
259,ano ang buhaton ginkagat sang ido ko,dog bite,condition
260,ano ang buhaton may nana akon mata,eye infection,condition
261,ano ang buhaton nabali kamot ko,hand fracture,condition
262,ano ang buhaton nagdugo ulo ko,head bleeding,condition
263,ano ang buhaton nga budlay magginhawa ko,difficulty breathing,condition
264,ano ang buhaton nga gasakit dughan ko,chest pain,condition
265,ano ang buhaton nga ginkagat sang ido ko,dog bite,condition
266,ano ang buhaton nga may nana akon mata,eye infection,condition
267,ano ang buhaton nga nabali kamot ko,hand fracture,condition
268,ano ang buhaton nga nagdugo ulo ko,head bleeding,condition
269,antibiotic allergy,antibiotic allergy,allergy
270,anxiety,anxiety disorder,condition
271,anxity,anxiety disorder,condition
272,appendicitis,appendicitis,condition
273,appendix,appendicitis,condition
274,apple allergy,apple allergy,allergy
275,arthiritis,arthritis,condition
276,arthitis,arthritis,condition
277,arthritis,arthritis,condition
278,arthritis sa tuhod,osteoarthritis,condition
279,asma,asthma,condition
280,asma attack,asthma,condition
281,asma sa bata,asthma,condition
282,aspirin allergy,aspirin allergy,allergy
283,asthma,asthma,condition
284,asthma attack,asthma,condition
285,asukal,diabetes,condition
286,atake puso,heart attack,condition
287,atake sa puso,heart attack,condition
288,atake sa utok,stroke,condition
289,atay,liver,condition
290,athlete foot,tinea pedis,condition
291,atopic dermatitis,atopic dermatitis,condition
292,atrial fibrillation,atrial fibrillation,condition
293,augmentin allergy,amoxicillin allergy,allergy
294,avocado allergy,avocado allergy,allergy
295,awang,jaw,condition
296,b12 deficiency,vitamin b12 deficiency,condition
297,baba,mouth,condition
298,back pain,back pain,condition
299,bag-o lang budlay gid gid ko magginhawa subong gid,difficulty breathing,condition
300,bag-o lang budlay gid gid ko magginhawa subong gid ko,difficulty breathing,condition
301,bag-o lang budlay gid gid ko magginhawa subong ko gid,difficulty breathing,condition
302,bag-o lang budlay gid gid ko magginhawa subong man,difficulty breathing,condition
303,bag-o lang budlay gid gid ko magginhawa subong na gid,difficulty breathing,condition
304,bag-o lang budlay gid ko mag ginhawa subong gid,difficulty breathing,condition
305,bag-o lang budlay gid ko mag ginhawa subong gid ko,difficulty breathing,condition
306,bag-o lang budlay gid ko mag ginhawa subong ko gid,difficulty breathing,condition
307,bag-o lang budlay gid ko mag ginhawa subong man,difficulty breathing,condition
308,bag-o lang budlay gid ko mag ginhawa subong na gid,difficulty breathing,condition
309,bag-o lang budlay gid ko magginhawa subong gid,difficulty breathing,condition
310,bag-o lang budlay gid ko magginhawa subong gid ko,difficulty breathing,condition
311,bag-o lang budlay gid ko magginhawa subong ko gid,difficulty breathing,condition
312,bag-o lang budlay gid ko magginhawa subong man,difficulty breathing,condition
313,bag-o lang budlay gid ko magginhawa subong na gid,difficulty breathing,condition
314,bag-o lang budlay gid ku magginhawa subong gid,difficulty breathing,condition
315,bag-o lang budlay gid ku magginhawa subong gid ko,difficulty breathing,condition
316,bag-o lang budlay gid ku magginhawa subong ko gid,difficulty breathing,condition
317,bag-o lang budlay gid ku magginhawa subong man,difficulty breathing,condition
318,bag-o lang budlay gid ku magginhawa subong na gid,difficulty breathing,condition
319,bag-o lang gahabok dila ko gid gid,swollen tongue,condition
320,bag-o lang gahabok dila ko gid gid ko,swollen tongue,condition
321,bag-o lang gahabok dila ko gid ko gid,swollen tongue,condition
322,bag-o lang gahabok dila ko gid man,swollen tongue,condition
323,bag-o lang gahabok dila ko gid na gid,swollen tongue,condition
324,bag-o lang gahabok dila ku gid gid,swollen tongue,condition
325,bag-o lang gahabok dila ku gid gid ko,swollen tongue,condition
326,bag-o lang gahabok dila ku gid ko gid,swollen tongue,condition
327,bag-o lang gahabok dila ku gid man,swollen tongue,condition
328,bag-o lang gahabok dila ku gid na gid,swollen tongue,condition
329,bag-o lang gahika ko,cough,condition
330,bag-o lang gahubag dila ko gid gid,swollen tongue,condition
331,bag-o lang gahubag dila ko gid gid ko,swollen tongue,condition
332,bag-o lang gahubag dila ko gid ko gid,swollen tongue,condition
333,bag-o lang gahubag dila ko gid man,swollen tongue,condition
334,bag-o lang gahubag dila ko gid na gid,swollen tongue,condition
335,bag-o lang gahubag tiyan ko,abdominal swelling,condition
336,bag-o lang galuya lawas ko,body weakness,condition
337,bag-o lang galuya lawas ko kag kapoy gid gid,body weakness with severe fatigue,condition
338,bag-o lang galuya lawas ko kag kapoy gid gid ko,body weakness with severe fatigue,condition
339,bag-o lang galuya lawas ko kag kapoy gid ko gid,body weakness with severe fatigue,condition
340,bag-o lang galuya lawas ko kag kapoy gid man,body weakness with severe fatigue,condition
341,bag-o lang galuya lawas ko kag kapoy gid na gid,body weakness with severe fatigue,condition
342,bag-o lang gapula mata ko kag gakatol gid,red itchy eyes,condition
343,bag-o lang gapula mata ko kag gakatol gid ko,red itchy eyes,condition
344,bag-o lang gapula mata ko kag gakatol ko gid,red itchy eyes,condition
345,bag-o lang gapula mata ko kag gakatol man,red itchy eyes,condition
346,bag-o lang gapula mata ko kag gakatol na gid,red itchy eyes,condition
347,bag-o lang gasakit ulo ko,head pain,condition
348,bag-o lang gasakit ulo ko karon gid,head pain,condition
349,bag-o lang gasakit ulo ko karon gid ko,head pain,condition
350,bag-o lang gasakit ulo ko karon ko gid,head pain,condition
351,bag-o lang gasakit ulo ko karon man,head pain,condition
352,bag-o lang gasakit ulo ko karon na gid,head pain,condition
353,bag-o lang gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,condition
354,bag-o lang gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,condition
355,bag-o lang gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,condition
356,bag-o lang gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,condition
357,bag-o lang gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,condition
358,bag-o lang ginadudul-om ko,diarrhea,condition
359,bag-o lang ginahilanat ko,fever,condition
360,bag-o lang ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,condition
361,bag-o lang ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,condition
362,bag-o lang ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,condition
363,bag-o lang ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,condition
364,bag-o lang ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,condition
365,bag-o lang ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,condition
366,bag-o lang ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,condition
367,bag-o lang ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,condition
368,bag-o lang ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,condition
369,bag-o lang ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,condition
370,bag-o lang ginkagat sang ido ku kag nagdugo gid,dog bite with bleeding,condition
371,bag-o lang ginkagat sang ido ku kag nagdugo gid ko,dog bite with bleeding,condition
372,bag-o lang ginkagat sang ido ku kag nagdugo ko gid,dog bite with bleeding,condition
373,bag-o lang ginkagat sang ido ku kag nagdugo man,dog bite with bleeding,condition
374,bag-o lang ginkagat sang ido ku kag nagdugo na gid,dog bite with bleeding,condition
375,bag-o lang ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,condition
376,bag-o lang ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,condition
377,bag-o lang ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,condition
378,bag-o lang ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,condition
379,bag-o lang ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,condition
380,bag-o lang ginsumbag ku kag nabun-og ulo gid,physical assault with head bruise,condition
381,bag-o lang ginsumbag ku kag nabun-og ulo gid ko,physical assault with head bruise,condition
382,bag-o lang ginsumbag ku kag nabun-og ulo ko gid,physical assault with head bruise,condition
383,bag-o lang ginsumbag ku kag nabun-og ulo man,physical assault with head bruise,condition
384,bag-o lang ginsumbag ku kag nabun-og ulo na gid,physical assault with head bruise,condition
385,bag-o lang may nana akon mata,eye infection,condition
386,bag-o lang may nana akon mata subong gid,eye infection,condition
387,bag-o lang may nana akon mata subong gid ko,eye infection,condition
388,bag-o lang may nana akon mata subong ko gid,eye infection,condition
389,bag-o lang may nana akon mata subong man,eye infection,condition
390,bag-o lang may nana akon mata subong na gid,eye infection,condition
391,bag-o lang may pilas ko sa kamot,hand wound,condition
392,bag-o lang may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,condition
393,bag-o lang may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,condition
394,bag-o lang may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,condition
395,bag-o lang may pilas ko sa kamot kag nag dugo man,bleeding hand wound,condition
396,bag-o lang may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,condition
397,bag-o lang may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,condition
398,bag-o lang may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,condition
399,bag-o lang may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,condition
400,bag-o lang may pilas ko sa kamot kag nagdugo man,bleeding hand wound,condition
401,bag-o lang may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,condition
402,bag-o lang may pilas ku sa kamot kag nagdugo gid,bleeding hand wound,condition
403,bag-o lang may pilas ku sa kamot kag nagdugo gid ko,bleeding hand wound,condition
404,bag-o lang may pilas ku sa kamot kag nagdugo ko gid,bleeding hand wound,condition
405,bag-o lang may pilas ku sa kamot kag nagdugo man,bleeding hand wound,condition
406,bag-o lang may pilas ku sa kamot kag nagdugo na gid,bleeding hand wound,condition
407,bag-o lang nabali kamot ko sang natumba gid,hand fracture,condition
408,bag-o lang nabali kamot ko sang natumba gid ko,hand fracture,condition
409,bag-o lang nabali kamot ko sang natumba ko gid,hand fracture,condition
410,bag-o lang nabali kamot ko sang natumba man,hand fracture,condition
411,bag-o lang nabali kamot ko sang natumba na gid,hand fracture,condition
412,bag-o lang nabali kamot ku sang natumba gid,hand fracture,condition
413,bag-o lang nabali kamot ku sang natumba gid ko,hand fracture,condition
414,bag-o lang nabali kamot ku sang natumba ko gid,hand fracture,condition
415,bag-o lang nabali kamot ku sang natumba man,hand fracture,condition
416,bag-o lang nabali kamot ku sang natumba na gid,hand fracture,condition
417,bag-o lang nabali na kamot ko sang natumba gid,hand fracture,condition
418,bag-o lang nabali na kamot ko sang natumba gid ko,hand fracture,condition
419,bag-o lang nabali na kamot ko sang natumba ko gid,hand fracture,condition
420,bag-o lang nabali na kamot ko sang natumba man,hand fracture,condition
421,bag-o lang nabali na kamot ko sang natumba na gid,hand fracture,condition
422,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,condition
423,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,condition
424,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,condition
425,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,condition
426,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,condition
427,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,condition
428,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,condition
429,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,condition
430,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,condition
431,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,condition
432,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,condition
433,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,condition
434,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,condition
435,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,condition
436,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,condition
437,bag-o lang nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,condition
438,bag-o lang nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,condition
439,bag-o lang nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,condition
440,bag-o lang nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,condition
441,bag-o lang nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,condition
442,bag-o lang nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,condition
443,bag-o lang nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,condition
444,bag-o lang nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,condition
445,bag-o lang nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,condition
446,bag-o lang nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,condition
447,bag-o lang nagdugo ulo ku pagkatapos natumba gid,head bleeding after fall,condition
448,bag-o lang nagdugo ulo ku pagkatapos natumba gid ko,head bleeding after fall,condition
449,bag-o lang nagdugo ulo ku pagkatapos natumba ko gid,head bleeding after fall,condition
450,bag-o lang nagdugo ulo ku pagkatapos natumba man,head bleeding after fall,condition
451,bag-o lang nagdugo ulo ku pagkatapos natumba na gid,head bleeding after fall,condition
452,bag-o lang nakuryente ko sang kuryente gid,electrical injury,condition
453,bag-o lang nakuryente ko sang kuryente gid ko,electrical injury,condition
454,bag-o lang nakuryente ko sang kuryente ko gid,electrical injury,condition
455,bag-o lang nakuryente ko sang kuryente man,electrical injury,condition
456,bag-o lang nakuryente ko sang kuryente na gid,electrical injury,condition
457,bag-o lang nakuryente ku sang kuryente gid,electrical injury,condition
458,bag-o lang nakuryente ku sang kuryente gid ko,electrical injury,condition
459,bag-o lang nakuryente ku sang kuryente ko gid,electrical injury,condition
460,bag-o lang nakuryente ku sang kuryente man,electrical injury,condition
461,bag-o lang nakuryente ku sang kuryente na gid,electrical injury,condition
462,bag-o lang nautod na tudlo ko sang makina gid,amputated finger,condition
463,bag-o lang nautod na tudlo ko sang makina gid ko,amputated finger,condition
464,bag-o lang nautod na tudlo ko sang makina ko gid,amputated finger,condition
465,bag-o lang nautod na tudlo ko sang makina man,amputated finger,condition
466,bag-o lang nautod na tudlo ko sang makina na gid,amputated finger,condition
467,bag-o lang nautod tudlo ko sang makina gid,amputated finger,condition
468,bag-o lang nautod tudlo ko sang makina gid ko,amputated finger,condition
469,bag-o lang nautod tudlo ko sang makina ko gid,amputated finger,condition
470,bag-o lang nautod tudlo ko sang makina man,amputated finger,condition
471,bag-o lang nautod tudlo ko sang makina na gid,amputated finger,condition
472,bag-o lang nautod tudlo ku sang makina gid,amputated finger,condition
473,bag-o lang nautod tudlo ku sang makina gid ko,amputated finger,condition
474,bag-o lang nautod tudlo ku sang makina ko gid,amputated finger,condition
475,bag-o lang nautod tudlo ku sang makina man,amputated finger,condition
476,bag-o lang nautod tudlo ku sang makina na gid,amputated finger,condition
477,bag-o lang ubo ko kag ginahilanat gid,fever with cough,condition
478,bag-o lang ubo ko kag ginahilanat gid ko,fever with cough,condition
479,bag-o lang ubo ko kag ginahilanat ko gid,fever with cough,condition
480,bag-o lang ubo ko kag ginahilanat man,fever with cough,condition
481,bag-o lang ubo ko kag ginahilanat na gid,fever with cough,condition
482,bagoong allergy,shellfish allergy,allergy
483,balat,skin,condition
484,balatian,skin disease,condition
