term_id,term,english,concept,language,status
,masakit ulo,Headache,headache,hiligaynon,active
,lipong ulo,Headache,headache,hiligaynon,active
,gasuka,Vomiting,vomiting,hiligaynon,active
,ginasuka,Vomiting,vomiting,hiligaynon,active
,nagasuka,Vomiting,vomiting,hiligaynon,active
,naga suka,Vomiting,vomiting,hiligaynon,active
,gapalanuka,Vomiting,vomiting,hiligaynon,active
,ginsuka,Vomiting,vomiting,hiligaynon,active
,suka,Vomiting,vomiting,hiligaynon,active
,ginakulba,Nausea,nausea,hiligaynon,active
,kulba,Nausea,nausea,hiligaynon,active
,ginakulba ko,Nausea,nausea,hiligaynon,active
,daw magasuka,Nausea,nausea,hiligaynon,active
,ginakalipong,Dizziness,dizziness,hiligaynon,active
,lipong,Dizziness,dizziness,hiligaynon,active
,nagakalipong,Dizziness,dizziness,hiligaynon,active
,kalipong,Dizziness,dizziness,hiligaynon,active
,naluya,Weakness,weakness,hiligaynon,active
,ginapangluya,Weakness,weakness,hiligaynon,active
,luya,Weakness,weakness,hiligaynon,active
,kapoy,Weakness,weakness,hiligaynon,active
,kapoy gid,Weakness,weakness,hiligaynon,active
,ginakapoy,Weakness,weakness,hiligaynon,active
,gahubag,Swelling,swelling,hiligaynon,active
,hubag,Swelling,swelling,hiligaynon,active
,ginahubag,Swelling,swelling,hiligaynon,active
,nagahubag,Swelling,swelling,hiligaynon,active
,ginakurog,Chills,chills,hiligaynon,active
,nagakurog,Chills,chills,hiligaynon,active
,kurog,Chills,chills,hiligaynon,active
,ginakulba lawas,Chills,chills,hiligaynon,active
,may dugo sa suka,Vomiting Blood,vomiting_blood,hiligaynon,active
,nagsuka dugo,Vomiting Blood,vomiting_blood,hiligaynon,active
,dugo sa suka,Vomiting Blood,vomiting_blood,hiligaynon,active
,may dugo sa ihi,Blood in Urine,blood_in_urine,hiligaynon,active
,dugo sa ihi,Blood in Urine,blood_in_urine,hiligaynon,active
,pula ihi,Blood in Urine,blood_in_urine,hiligaynon,active
,may dugo sa dumi,Blood in Stool,blood_in_stool,hiligaynon,active
,dugo sa tae,Blood in Stool,blood_in_stool,hiligaynon,active
,dugo sa dumi,Blood in Stool,blood_in_stool,hiligaynon,active
,budlay tulog,Insomnia,insomnia,hiligaynon,active
,indi makatulog,Insomnia,insomnia,hiligaynon,active
,wala tulog,Insomnia,insomnia,hiligaynon,active
,nagabudlay lakat,Difficulty Walking,difficulty_walking,hiligaynon,active
,budlay maglakat,Difficulty Walking,difficulty_walking,hiligaynon,active
,indi makalakat,Difficulty Walking,difficulty_walking,hiligaynon,active
,naga tae,Diarrhea,diarrhea,hiligaynon,active
,tae-tae,Diarrhea,diarrhea,hiligaynon,active
,malusaw tae,Diarrhea,diarrhea,hiligaynon,active
,nagakalibang,Diarrhea,diarrhea,hiligaynon,active
,sakit tutunlan,Sore Throat,sore_throat,hiligaynon,active
,hapdi tutunlan,Sore Throat,sore_throat,hiligaynon,active
,masakit tutunlan,Sore Throat,sore_throat,hiligaynon,active
,sakit lawas,Body Pain,body_pain,hiligaynon,active
,masakit lawas,Body Pain,body_pain,hiligaynon,active
,gapalanakit lawas,Body Pain,body_pain,hiligaynon,active
,paminsa,Body Pain,body_pain,hiligaynon,active
,panganud,Rash,rash,hiligaynon,active
,gahubag panit,Rash,rash,hiligaynon,active
,kalapata,Rash,rash,hiligaynon,active
,pantal,Rash,rash,hiligaynon,active
,sakit dulunggan,Ear Pain,ear_pain,hiligaynon,active
,masakit dulunggan,Ear Pain,ear_pain,hiligaynon,active
,sakit mata,Eye Pain,eye_pain,hiligaynon,active
,masakit mata,Eye Pain,eye_pain,hiligaynon,active
,sakit likod,Back Pain,back_pain,hiligaynon,active
,masakit likod,Back Pain,back_pain,hiligaynon,active
,hapdi mag-ihi,Painful Urination,dysuria,hiligaynon,active
,sakit mag-ihi,Painful Urination,dysuria,hiligaynon,active
,masakit ihi,Painful Urination,dysuria,hiligaynon,active
,naga pitik dughan,Palpitations,palpitations,hiligaynon,active
,madasig pitik,Palpitations,palpitations,hiligaynon,active
,naguyam,Seizure,seizure,hiligaynon,active
,ginsuyam,Seizure,seizure,hiligaynon,active
,nagauyam,Seizure,seizure,hiligaynon,active
,nadulaan malay,Loss of Consciousness,loss_of_consciousness,hiligaynon,active
,nagpunaw,Loss of Consciousness,loss_of_consciousness,hiligaynon,active
,wala malay,Loss of Consciousness,loss_of_consciousness,hiligaynon,active
,nagadugo,Bleeding,bleeding,hiligaynon,active
,gadugo,Bleeding,bleeding,hiligaynon,active
,grabe nagadugo,Bleeding,bleeding,hiligaynon,active
,3 ka adlaw gahika ko,cough,cough,hiligaynon,active
,3 ka adlaw gahubag tiyan ko,abdominal swelling,abdominal_swelling,hiligaynon,active
,3 ka adlaw galuya lawas ko,body weakness,body_weakness,hiligaynon,active
,3 ka adlaw gasakit ulo ko,head pain,head_pain,hiligaynon,active
,3 ka adlaw ginadudul-om ko,diarrhea,diarrhea,hiligaynon,active
,3 ka adlaw ginahilanat ko,fever,fever,hiligaynon,active
,3 ka adlaw may nana akon mata,eye infection,eye_infection,hiligaynon,active
,3 ka adlaw may pilas ko sa kamot,hand wound,hand_wound,hiligaynon,active
,3 ka adlaw na gahubag kamot ko kag nagdugo kamot ko,hand swelling with bleeding,hand_swelling_with_bleeding,hiligaynon,active
,3 ka adlaw na gahubag lawas ko kag gakatol lawas ko,body swelling with itching,body_swelling_with_itching,hiligaynon,active
,3 ka adlaw na gahubag mata ko kag gahika ko,eye swelling with cough,eye_swelling_with_cough,hiligaynon,active
,3 ka adlaw na gahubag tungod ko kag ginahilanat ko,throat swelling with fever,throat_swelling_with_fever,hiligaynon,active
,3 ka adlaw na galuya ko kag ginahilanat ko,weakness with fever,weakness_with_fever,hiligaynon,active
,3 ka adlaw na gasakit ulo ko kag ginahilanat ko,head pain with fever,head_pain_with_fever,hiligaynon,active
,3 ka adlaw na ginahilanat ko kag ginabaldom ko,fever with abdominal pain,fever_with_abdominal_pain,hiligaynon,active
,3 ka adlaw na ginahilanat ko kag ubo ko,fever with cough,fever_with_cough,hiligaynon,active
,3 ka adlaw na ginasuka ko kag ginadudul-om ko,vomiting with diarrhea,vomiting_with_diarrhea,hiligaynon,active
,3 ka adlaw na may nana mata ko kag gapula mata ko,eye infection with red eye,eye_infection_with_red_eye,hiligaynon,active
,3 ka adlaw na nagdugo pilas ko kag ginahilanat ko,bleeding wound with fever,bleeding_wound_with_fever,hiligaynon,active
,3 ka adlaw na nagdugo ulo ko kag nahilo ko,head bleeding with dizziness,head_bleeding_with_dizziness,hiligaynon,active
,3 ka adlaw na nahilo ko kag ginahilanat ko,dizziness with fever,dizziness_with_fever,hiligaynon,active
,3 ka adlaw na sakit dughan ko kag dula ginhawa ko,chest pain with shortness of breath,chest_pain_with_shortness_of_breath,hiligaynon,active
,3 ka adlaw na sakit dughan ko kag gahika ko,chest pain with cough,chest_pain_with_cough,hiligaynon,active
,3 ka adlaw na sakit likod ko kag galuya ko,back pain with weakness,back_pain_with_weakness,hiligaynon,active
,3 ka adlaw na sakit tiyan ko kag ginasuka ko,abdominal pain with nausea,abdominal_pain_with_nausea,hiligaynon,active
,3 ka adlaw na sakit ulo ko kag ginahilanat ko,headache with fever,headache_with_fever,hiligaynon,active
,38 hilanat ko,fever,fever,hiligaynon,active
,39 hilanat ko,high fever,high_fever,hiligaynon,active
,5 ka adlaw gahika ko,cough,cough,hiligaynon,active
,5 ka adlaw gahubag tiyan ko,abdominal swelling,abdominal_swelling,hiligaynon,active
,5 ka adlaw galuya lawas ko,body weakness,body_weakness,hiligaynon,active
,5 ka adlaw gasakit ulo ko,head pain,head_pain,hiligaynon,active
,5 ka adlaw ginadudul-om ko,diarrhea,diarrhea,hiligaynon,active
,5 ka adlaw ginahilanat ko,fever,fever,hiligaynon,active
,5 ka adlaw may nana akon mata,eye infection,eye_infection,hiligaynon,active
,5 ka adlaw may pilas ko sa kamot,hand wound,hand_wound,hiligaynon,active
,abaga,shoulder,shoulder,hiligaynon,active
,abdominal pain,abdominal pain,abdominal_pain,hiligaynon,active
,abscess,abscess,abscess,hiligaynon,active
,acid reflux,gastroesophageal reflux disease,gastroesophageal_reflux_disease,hiligaynon,active
,acne,acne,acne,hiligaynon,active
,adenoid,adenoid hypertrophy,adenoid_hypertrophy,hiligaynon,active
,adhesive allergy,contact dermatitis,contact_dermatitis,hiligaynon,active
,afib,atrial fibrillation,atrial_fibrillation,hiligaynon,active
,aids,hiv/aids,hiv/aids,hiligaynon,active
,alergic,allergy,allergy,hiligaynon,active
,alergies,allergy,allergy,hiligaynon,active
,alergy,allergy,allergy,hiligaynon,active
,alergy sa dust,dust mite allergy,dust_mite_allergy,hiligaynon,active
,alergy sa mani,peanut allergy,peanut_allergy,hiligaynon,active
,alergy sa pagkaon,food allergy,food_allergy,hiligaynon,active
,alergy sa penicilin,penicillin allergy,penicillin_allergy,hiligaynon,active
,alergy sa seafood,shellfish allergy,shellfish_allergy,hiligaynon,active
,alikabok allergy,dust mite allergy,dust_mite_allergy,hiligaynon,active
,alipunga,fungal infection,fungal_infection,hiligaynon,active
,alipunga sa paa,tinea pedis,tinea_pedis,hiligaynon,active
,allergic,allergy,allergy,hiligaynon,active
,allergic ako sa,allergy,allergy,hiligaynon,active
,allergic ako sa dust,dust mite allergy,dust_mite_allergy,hiligaynon,active
,allergic ako sa eggs,egg allergy,egg_allergy,hiligaynon,active
,allergic ako sa milk,milk allergy,milk_allergy,hiligaynon,active
,allergic ako sa peanuts,peanut allergy,peanut_allergy,hiligaynon,active
,allergic ako sa penicillin,penicillin allergy,penicillin_allergy,hiligaynon,active
,allergic ako sa seafood,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergic ako sa shrimp,shrimp allergy,shrimp_allergy,hiligaynon,active
,allergic ako sa sulfa drugs,sulfa allergy,sulfa_allergy,hiligaynon,active
,allergic reaction,allergic reaction,allergic_reaction,hiligaynon,active
,allergic sa alikabok,dust mite allergy,dust_mite_allergy,hiligaynon,active
,allergic sa alimango,crab allergy,crab_allergy,hiligaynon,active
,allergic sa amag,mold allergy,mold_allergy,hiligaynon,active
,allergic sa antibiotic,antibiotic allergy,antibiotic_allergy,hiligaynon,active
,allergic sa aso,dog dander allergy,dog_dander_allergy,hiligaynon,active
,allergic sa aspirin,aspirin allergy,aspirin_allergy,hiligaynon,active
,allergic sa baboy,pork allergy,pork_allergy,hiligaynon,active
,allergic sa biogesic,acetaminophen sensitivity,acetaminophen_sensitivity,hiligaynon,active
,allergic sa bubuyog,bee sting allergy,bee_sting_allergy,hiligaynon,active
,allergic sa bulakla,pollen allergy,pollen_allergy,hiligaynon,active
,allergic sa detergent,detergent sensitivity,detergent_sensitivity,hiligaynon,active
,allergic sa dust,dust mite allergy,dust_mite_allergy,hiligaynon,active
,allergic sa gamot,drug allergy,drug_allergy,hiligaynon,active
,allergic sa gatas,milk allergy,milk_allergy,hiligaynon,active
,allergic sa grass,grass pollen allergy,grass_pollen_allergy,hiligaynon,active
,allergic sa harina,wheat allergy,wheat_allergy,hiligaynon,active
,allergic sa hipon,shrimp allergy,shrimp_allergy,hiligaynon,active
,allergic sa ipis,cockroach allergen,cockroach_allergen,hiligaynon,active
,allergic sa isda,fish allergy,fish_allergy,hiligaynon,active
,allergic sa itlog,egg allergy,egg_allergy,hiligaynon,active
,allergic sa lamang-dagat,seafood allergy,seafood_allergy,hiligaynon,active
,allergic sa lamok,mosquito bite allergy,mosquito_bite_allergy,hiligaynon,active
,allergic sa latex,latex allergy,latex_allergy,hiligaynon,active
,allergic sa lotion,contact dermatitis,contact_dermatitis,hiligaynon,active
,allergic sa mani,peanut allergy,peanut_allergy,hiligaynon,active
,allergic sa manok,poultry allergy,poultry_allergy,hiligaynon,active
,allergic sa mefenamic,nsaid allergy,nsaid_allergy,hiligaynon,active
,allergic sa pagkain,food allergy,food_allergy,hiligaynon,active
,allergic sa pagkaon,food allergy,food_allergy,hiligaynon,active
,allergic sa penicillin,penicillin allergy,penicillin_allergy,hiligaynon,active
,allergic sa perfume,fragrance sensitivity,fragrance_sensitivity,hiligaynon,active
,allergic sa pollen,pollen allergy,pollen_allergy,hiligaynon,active
,allergic sa prutas,fruit allergy,fruit_allergy,hiligaynon,active
,allergic sa pusa,cat dander allergy,cat_dander_allergy,hiligaynon,active
,allergic sa putik,contact dermatitis,contact_dermatitis,hiligaynon,active
,allergic sa rubber,latex allergy,latex_allergy,hiligaynon,active
,allergic sa sabon,soap sensitivity,soap_sensitivity,hiligaynon,active
,allergic sa saging,banana allergy,banana_allergy,hiligaynon,active
,allergic sa sigarilyo,tobacco smoke sensitivity,tobacco_smoke_sensitivity,hiligaynon,active
,allergic sa sulfa,sulfa allergy,sulfa_allergy,hiligaynon,active
,allergic sa tinapay,wheat allergy,wheat_allergy,hiligaynon,active
,allergic sa usok,smoke sensitivity,smoke_sensitivity,hiligaynon,active
,allergies,allergy,allergy,hiligaynon,active
,allergy,allergy,allergy,hiligaynon,active
,allergy attack,allergic reaction,allergic_reaction,hiligaynon,active
,allergy rash,allergic reaction,allergic_reaction,hiligaynon,active
,allergy sa alikabok,dust mite allergy,dust_mite_allergy,hiligaynon,active
,allergy sa alikabok sa balay,dust mite allergy,dust_mite_allergy,hiligaynon,active
,allergy sa alimango,crab allergy,crab_allergy,hiligaynon,active
,allergy sa amag,mold allergy,mold_allergy,hiligaynon,active
,allergy sa amoxicillin,amoxicillin allergy,amoxicillin_allergy,hiligaynon,active
,allergy sa anesthesia,anesthesia allergy,anesthesia_allergy,hiligaynon,active
,allergy sa ant,fire ant sting allergy,fire_ant_sting_allergy,hiligaynon,active
,allergy sa antibiotic,antibiotic allergy,antibiotic_allergy,hiligaynon,active
,allergy sa aspirin,aspirin allergy,aspirin_allergy,hiligaynon,active
,allergy sa baboy,pork allergy,pork_allergy,hiligaynon,active
,allergy sa bagoong,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa baybay,seafood allergy,seafood_allergy,hiligaynon,active
,allergy sa bee,bee sting allergy,bee_sting_allergy,hiligaynon,active
,allergy sa beef,beef allergy,beef_allergy,hiligaynon,active
,allergy sa biogesic,acetaminophen sensitivity,acetaminophen_sensitivity,hiligaynon,active
,allergy sa bleach,chemical allergy,chemical_allergy,hiligaynon,active
,allergy sa bugas,wheat allergy,wheat_allergy,hiligaynon,active
,allergy sa bulak,pollen allergy,pollen_allergy,hiligaynon,active
,allergy sa bulong,drug allergy,drug_allergy,hiligaynon,active
,allergy sa buyo,bee sting allergy,bee_sting_allergy,hiligaynon,active
,allergy sa buyo-buyo,bee sting allergy,bee_sting_allergy,hiligaynon,active
,allergy sa cat,cat dander allergy,cat_dander_allergy,hiligaynon,active
,allergy sa chemical,chemical allergy,chemical_allergy,hiligaynon,active
,allergy sa chicken,poultry allergy,poultry_allergy,hiligaynon,active
,allergy sa chocolate,food allergy,food_allergy,hiligaynon,active
,allergy sa cockroach,cockroach allergen,cockroach_allergen,hiligaynon,active
,allergy sa coconut,coconut allergy,coconut_allergy,hiligaynon,active
,allergy sa codeine,opioid allergy,opioid_allergy,hiligaynon,active
,allergy sa contrast,contrast dye allergy,contrast_dye_allergy,hiligaynon,active
,allergy sa corn,corn allergy,corn_allergy,hiligaynon,active
,allergy sa dagat,seafood allergy,seafood_allergy,hiligaynon,active
,allergy sa detergent,detergent sensitivity,detergent_sensitivity,hiligaynon,active
,allergy sa dust,dust mite allergy,dust_mite_allergy,hiligaynon,active
,allergy sa dust sa balay,dust mite allergy,dust_mite_allergy,hiligaynon,active
,allergy sa egg,egg allergy,egg_allergy,hiligaynon,active
,allergy sa eye drops,medication allergy,medication_allergy,hiligaynon,active
,allergy sa flu vaccine,vaccine allergy,vaccine_allergy,hiligaynon,active
,allergy sa gabi,taro allergy,taro_allergy,hiligaynon,active
,allergy sa gamot na ito,drug allergy,drug_allergy,hiligaynon,active
,allergy sa gatas,milk allergy,milk_allergy,hiligaynon,active
,allergy sa gatas sang baka,milk allergy,milk_allergy,hiligaynon,active
,allergy sa ginamos,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa gloves,latex allergy,latex_allergy,hiligaynon,active
,allergy sa gluten,gluten allergy,gluten_allergy,hiligaynon,active
,allergy sa hangin,environmental allergy,environmental_allergy,hiligaynon,active
,allergy sa harina,wheat allergy,wheat_allergy,hiligaynon,active
,allergy sa hayop,animal dander allergy,animal_dander_allergy,hiligaynon,active
,allergy sa hipon,shrimp allergy,shrimp_allergy,hiligaynon,active
,allergy sa hornet,wasp sting allergy,wasp_sting_allergy,hiligaynon,active
,allergy sa iodine,iodine allergy,iodine_allergy,hiligaynon,active
,allergy sa iring,cat dander allergy,cat_dander_allergy,hiligaynon,active
,allergy sa iro,dog dander allergy,dog_dander_allergy,hiligaynon,active
,allergy sa iro sa balay,dog dander allergy,dog_dander_allergy,hiligaynon,active
,allergy sa isda,fish allergy,fish_allergy,hiligaynon,active
,allergy sa itlog,egg allergy,egg_allergy,hiligaynon,active
,allergy sa itlog manok,egg allergy,egg_allergy,hiligaynon,active
,allergy sa kanding,animal dander allergy,animal_dander_allergy,hiligaynon,active
,allergy sa karagatan,seafood allergy,seafood_allergy,hiligaynon,active
,allergy sa karne,meat allergy,meat_allergy,hiligaynon,active
,allergy sa lamian,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa lamok,mosquito bite allergy,mosquito_bite_allergy,hiligaynon,active
,allergy sa lamok bite,mosquito bite allergy,mosquito_bite_allergy,hiligaynon,active
,allergy sa latex,latex allergy,latex_allergy,hiligaynon,active
,allergy sa lidocaine,local anesthetic allergy,local_anesthetic_allergy,hiligaynon,active
,allergy sa liso,soy allergy,soy_allergy,hiligaynon,active
,allergy sa mais,corn allergy,corn_allergy,hiligaynon,active
,allergy sa mangga,fruit allergy,fruit_allergy,hiligaynon,active
,allergy sa mani,peanut allergy,peanut_allergy,hiligaynon,active
,allergy sa manok,poultry allergy,poultry_allergy,hiligaynon,active
,allergy sa manok feather,feather allergy,feather_allergy,hiligaynon,active
,allergy sa medicine,drug allergy,drug_allergy,hiligaynon,active
,allergy sa mefenamic,nsaid allergy,nsaid_allergy,hiligaynon,active
,allergy sa milk,milk allergy,milk_allergy,hiligaynon,active
,allergy sa mold,mold allergy,mold_allergy,hiligaynon,active
,allergy sa morphine,opioid allergy,opioid_allergy,hiligaynon,active
,allergy sa mosquito,mosquito bite allergy,mosquito_bite_allergy,hiligaynon,active
,allergy sa msg,msg sensitivity,msg_sensitivity,hiligaynon,active
,allergy sa mustard,mustard allergy,mustard_allergy,hiligaynon,active
,allergy sa neomycin,neomycin allergy,neomycin_allergy,hiligaynon,active
,allergy sa nsaid,nsaid allergy,nsaid_allergy,hiligaynon,active
,allergy sa ointment,medication allergy,medication_allergy,hiligaynon,active
,allergy sa pagkaon,food allergy,food_allergy,hiligaynon,active
,allergy sa painkiller,nsaid allergy,nsaid_allergy,hiligaynon,active
,allergy sa panahon,seasonal allergic rhinitis,seasonal_allergic_rhinitis,hiligaynon,active
,allergy sa panit,contact dermatitis,contact_dermatitis,hiligaynon,active
,allergy sa paracetamol,acetaminophen sensitivity,acetaminophen_sensitivity,hiligaynon,active
,allergy sa patis,fish allergy,fish_allergy,hiligaynon,active
,allergy sa peanut butter,peanut allergy,peanut_allergy,hiligaynon,active
,allergy sa peanuts,peanut allergy,peanut_allergy,hiligaynon,active
,allergy sa penicillin,penicillin allergy,penicillin_allergy,hiligaynon,active
,allergy sa perfume,fragrance sensitivity,fragrance_sensitivity,hiligaynon,active
,allergy sa pollen,pollen allergy,pollen_allergy,hiligaynon,active
,allergy sa pollen grass,grass pollen allergy,grass_pollen_allergy,hiligaynon,active
,allergy sa prutas,fruit allergy,fruit_allergy,hiligaynon,active
,allergy sa pusit,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa putyukan,wasp sting allergy,wasp_sting_allergy,hiligaynon,active
,allergy sa rice,rice allergy,rice_allergy,hiligaynon,active
,allergy sa rubber,latex allergy,latex_allergy,hiligaynon,active
,allergy sa sabon,soap sensitivity,soap_sensitivity,hiligaynon,active
,allergy sa saging,banana allergy,banana_allergy,hiligaynon,active
,allergy sa seafood,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa seasoning,food allergy,food_allergy,hiligaynon,active
,allergy sa sesame,sesame allergy,sesame_allergy,hiligaynon,active
,allergy sa shrimp paste,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa sigarilyo,tobacco smoke sensitivity,tobacco_smoke_sensitivity,hiligaynon,active
,allergy sa soy,soy allergy,soy_allergy,hiligaynon,active
,allergy sa squid,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa strawberry,strawberry allergy,strawberry_allergy,hiligaynon,active
,allergy sa sulfa,sulfa allergy,sulfa_allergy,hiligaynon,active
,allergy sa sulfa drug,sulfa allergy,sulfa_allergy,hiligaynon,active
,allergy sa swaki,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa tahong,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa talaba,shellfish allergy,shellfish_allergy,hiligaynon,active
,allergy sa tambal,drug allergy,drug_allergy,hiligaynon,active
,allergy sa tambal nga antibiotic,antibiotic allergy,antibiotic_allergy,hiligaynon,active
,allergy sa tambal nga aspirin,aspirin allergy,aspirin_allergy,hiligaynon,active
,allergy sa tetanus,vaccine allergy,vaccine_allergy,hiligaynon,active
,allergy sa topical,medication allergy,medication_allergy,hiligaynon,active
,allergy sa toyo,soy allergy,soy_allergy,hiligaynon,active
,allergy sa uban,mold allergy,mold_allergy,hiligaynon,active
,allergy sa usok,smoke sensitivity,smoke_sensitivity,hiligaynon,active
,allergy sa utanan,tree nut allergy,tree_nut_allergy,hiligaynon,active
,allergy sa uyap,shrimp allergy,shrimp_allergy,hiligaynon,active
,allergy sa vaccine,vaccine allergy,vaccine_allergy,hiligaynon,active
,allergy sa wasp,wasp sting allergy,wasp_sting_allergy,hiligaynon,active
,allergy sa wheat,wheat allergy,wheat_allergy,hiligaynon,active
,almond allergy,tree nut allergy,tree_nut_allergy,hiligaynon,active
,almoranas,hemorrhoids,hemorrhoids,hiligaynon,active
,alta presyon,hypertension,hypertension,hiligaynon,active
,alta presyon ko,hypertension,hypertension,hiligaynon,active
,altakolesterol,hyperlipidemia,hyperlipidemia,hiligaynon,active
,altapresion,hypertension,hypertension,hiligaynon,active
,altapresyon,hypertension,hypertension,hiligaynon,active
,altapresyon ko,hypertension,hypertension,hiligaynon,active
,alzheimer,alzheimer disease,alzheimer_disease,hiligaynon,active
,amoebiasis,amoebiasis,amoebiasis,hiligaynon,active
,amoxicillin allergy,amoxicillin allergy,amoxicillin_allergy,hiligaynon,active
,an-an,tinea versicolor,tinea_versicolor,hiligaynon,active
,anaphylactic,anaphylaxis,anaphylaxis,hiligaynon,active
,anaphylaxis,anaphylaxis,anaphylaxis,hiligaynon,active
,anemia,anemia,anemia,hiligaynon,active
,anemic,anemia,anemia,hiligaynon,active
,angina,angina,angina,hiligaynon,active
,ano ang buhaton budlay magginhawa ko,difficulty breathing,difficulty_breathing,hiligaynon,active
,ano ang buhaton gasakit dughan ko,chest pain,chest_pain,hiligaynon,active
,ano ang buhaton ginkagat sang ido ko,dog bite,dog_bite,hiligaynon,active
,ano ang buhaton may nana akon mata,eye infection,eye_infection,hiligaynon,active
,ano ang buhaton nabali kamot ko,hand fracture,hand_fracture,hiligaynon,active
,ano ang buhaton nagdugo ulo ko,head bleeding,head_bleeding,hiligaynon,active
,ano ang buhaton nga budlay magginhawa ko,difficulty breathing,difficulty_breathing,hiligaynon,active
,ano ang buhaton nga gasakit dughan ko,chest pain,chest_pain,hiligaynon,active
,ano ang buhaton nga ginkagat sang ido ko,dog bite,dog_bite,hiligaynon,active
,ano ang buhaton nga may nana akon mata,eye infection,eye_infection,hiligaynon,active
,ano ang buhaton nga nabali kamot ko,hand fracture,hand_fracture,hiligaynon,active
,ano ang buhaton nga nagdugo ulo ko,head bleeding,head_bleeding,hiligaynon,active
,antibiotic allergy,antibiotic allergy,antibiotic_allergy,hiligaynon,active
,anxiety,anxiety disorder,anxiety_disorder,hiligaynon,active
,anxity,anxiety disorder,anxiety_disorder,hiligaynon,active
,appendicitis,appendicitis,appendicitis,hiligaynon,active
,appendix,appendicitis,appendicitis,hiligaynon,active
,apple allergy,apple allergy,apple_allergy,hiligaynon,active
,arthiritis,arthritis,arthritis,hiligaynon,active
,arthitis,arthritis,arthritis,hiligaynon,active
,arthritis,arthritis,arthritis,hiligaynon,active
,arthritis sa tuhod,osteoarthritis,osteoarthritis,hiligaynon,active
,asma,asthma,asthma,hiligaynon,active
,asma attack,asthma,asthma,hiligaynon,active
,asma sa bata,asthma,asthma,hiligaynon,active
,aspirin allergy,aspirin allergy,aspirin_allergy,hiligaynon,active
,asthma,asthma,asthma,hiligaynon,active
,asthma attack,asthma,asthma,hiligaynon,active
,asukal,diabetes,diabetes,hiligaynon,active
