term_id,term,english,concept,language,status
,pagod,pagod,pagod,filipino,active
,may pagod,pagod,pagod,filipino,active
,ako ay may pagod,pagod,pagod,filipino,active
,meron akong pagod,pagod,pagod,filipino,active
,nakakaranas ng pagod,pagod,pagod,filipino,active
,panghihina,panghihina,panghihina,filipino,active
,may panghihina,panghihina,panghihina,filipino,active
,ako ay may panghihina,panghihina,panghihina,filipino,active
,meron akong panghihina,panghihina,panghihina,filipino,active
,nakakaranas ng panghihina,panghihina,panghihina,filipino,active
,pantal,pantal,pantal,filipino,active
,may pantal,pantal,pantal,filipino,active
,ako ay may pantal,pantal,pantal,filipino,active
,meron akong pantal,pantal,pantal,filipino,active
,nakakaranas ng pantal,pantal,pantal,filipino,active
,pamamaga,pamamaga,pamamaga,filipino,active
,may pamamaga,pamamaga,pamamaga,filipino,active
,ako ay may pamamaga,pamamaga,pamamaga,filipino,active
,meron akong pamamaga,pamamaga,pamamaga,filipino,active
,nakakaranas ng pamamaga,pamamaga,pamamaga,filipino,active
,3 ka adlaw may nana akon mata,eye infection,eye_infection,filipino,active
,3 ka adlaw may pilas ko sa kamot,hand wound,hand_wound,filipino,active
,3 ka adlaw na may nana mata ko kag gapula mata ko,eye infection with red eye,eye_infection_with_red_eye,filipino,active
,5 ka adlaw may nana akon mata,eye infection,eye_infection,filipino,active
,5 ka adlaw may pilas ko sa kamot,hand wound,hand_wound,filipino,active
,allergic ako sa,allergy,allergy,filipino,active
,allergic ako sa dust,dust mite allergy,dust_mite_allergy,filipino,active
,allergic ako sa eggs,egg allergy,egg_allergy,filipino,active
,allergic ako sa milk,milk allergy,milk_allergy,filipino,active
,allergic ako sa peanuts,peanut allergy,peanut_allergy,filipino,active
,allergic ako sa penicillin,penicillin allergy,penicillin_allergy,filipino,active
,allergic ako sa seafood,shellfish allergy,shellfish_allergy,filipino,active
,allergic ako sa shrimp,shrimp allergy,shrimp_allergy,filipino,active
,allergic ako sa sulfa drugs,sulfa allergy,sulfa_allergy,filipino,active
,allergy sa gatas sang baka,milk allergy,milk_allergy,filipino,active
,altakolesterol,hyperlipidemia,hyperlipidemia,filipino,active
,ano ang buhaton budlay magginhawa ko,difficulty breathing,difficulty_breathing,filipino,active
,ano ang buhaton gasakit dughan ko,chest pain,chest_pain,filipino,active
,ano ang buhaton ginkagat sang ido ko,dog bite,dog_bite,filipino,active
,ano ang buhaton may nana akon mata,eye infection,eye_infection,filipino,active
,ano ang buhaton nabali kamot ko,hand fracture,hand_fracture,filipino,active
,ano ang buhaton nagdugo ulo ko,head bleeding,head_bleeding,filipino,active
,ano ang buhaton nga budlay magginhawa ko,difficulty breathing,difficulty_breathing,filipino,active
,ano ang buhaton nga gasakit dughan ko,chest pain,chest_pain,filipino,active
,ano ang buhaton nga ginkagat sang ido ko,dog bite,dog_bite,filipino,active
,ano ang buhaton nga may nana akon mata,eye infection,eye_infection,filipino,active
,ano ang buhaton nga nabali kamot ko,hand fracture,hand_fracture,filipino,active
,ano ang buhaton nga nagdugo ulo ko,head bleeding,head_bleeding,filipino,active
,bag-o lang budlay gid gid ko magginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid gid ko magginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid gid ko magginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid gid ko magginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid gid ko magginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko mag ginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko mag ginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko mag ginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko mag ginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko mag ginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko magginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko magginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko magginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko magginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ko magginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ku magginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ku magginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ku magginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ku magginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang budlay gid ku magginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,bag-o lang gahabok dila ko gid gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ko gid gid ko,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ko gid ko gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ko gid man,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ko gid na gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ku gid gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ku gid gid ko,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ku gid ko gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ku gid man,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahabok dila ku gid na gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahika ko,cough,cough,filipino,active
,bag-o lang gahubag dila ko gid gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahubag dila ko gid gid ko,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahubag dila ko gid ko gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahubag dila ko gid man,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahubag dila ko gid na gid,swollen tongue,swollen_tongue,filipino,active
,bag-o lang gahubag tiyan ko,abdominal swelling,abdominal_swelling,filipino,active
,bag-o lang galuya lawas ko,body weakness,body_weakness,filipino,active
,bag-o lang galuya lawas ko kag kapoy gid gid,body weakness with severe fatigue,body_weakness_with_severe_fatigue,filipino,active
,bag-o lang galuya lawas ko kag kapoy gid gid ko,body weakness with severe fatigue,body_weakness_with_severe_fatigue,filipino,active
,bag-o lang galuya lawas ko kag kapoy gid ko gid,body weakness with severe fatigue,body_weakness_with_severe_fatigue,filipino,active
,bag-o lang galuya lawas ko kag kapoy gid man,body weakness with severe fatigue,body_weakness_with_severe_fatigue,filipino,active
,bag-o lang galuya lawas ko kag kapoy gid na gid,body weakness with severe fatigue,body_weakness_with_severe_fatigue,filipino,active
,bag-o lang gapula mata ko kag gakatol gid,red itchy eyes,red_itchy_eyes,filipino,active
,bag-o lang gapula mata ko kag gakatol gid ko,red itchy eyes,red_itchy_eyes,filipino,active
,bag-o lang gapula mata ko kag gakatol ko gid,red itchy eyes,red_itchy_eyes,filipino,active
,bag-o lang gapula mata ko kag gakatol man,red itchy eyes,red_itchy_eyes,filipino,active
,bag-o lang gapula mata ko kag gakatol na gid,red itchy eyes,red_itchy_eyes,filipino,active
,bag-o lang gasakit ulo ko,head pain,head_pain,filipino,active
,bag-o lang gasakit ulo ko karon gid,head pain,head_pain,filipino,active
,bag-o lang gasakit ulo ko karon gid ko,head pain,head_pain,filipino,active
,bag-o lang gasakit ulo ko karon ko gid,head pain,head_pain,filipino,active
,bag-o lang gasakit ulo ko karon man,head pain,head_pain,filipino,active
,bag-o lang gasakit ulo ko karon na gid,head pain,head_pain,filipino,active
,bag-o lang gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginadudul-om ko,diarrhea,diarrhea,filipino,active
,bag-o lang ginahilanat ko,fever,fever,filipino,active
,bag-o lang ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ku kag nagdugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ku kag nagdugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ku kag nagdugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ku kag nagdugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginkagat sang ido ku kag nagdugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,bag-o lang ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ku kag nabun-og ulo gid,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ku kag nabun-og ulo gid ko,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ku kag nabun-og ulo ko gid,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ku kag nabun-og ulo man,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang ginsumbag ku kag nabun-og ulo na gid,physical assault with head bruise,physical_assault_with_head_bruise,filipino,active
,bag-o lang may nana akon mata,eye infection,eye_infection,filipino,active
,bag-o lang may nana akon mata subong gid,eye infection,eye_infection,filipino,active
,bag-o lang may nana akon mata subong gid ko,eye infection,eye_infection,filipino,active
,bag-o lang may nana akon mata subong ko gid,eye infection,eye_infection,filipino,active
,bag-o lang may nana akon mata subong man,eye infection,eye_infection,filipino,active
,bag-o lang may nana akon mata subong na gid,eye infection,eye_infection,filipino,active
,bag-o lang may pilas ko sa kamot,hand wound,hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nag dugo man,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nagdugo man,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ku sa kamot kag nagdugo gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ku sa kamot kag nagdugo gid ko,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ku sa kamot kag nagdugo ko gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ku sa kamot kag nagdugo man,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang may pilas ku sa kamot kag nagdugo na gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,bag-o lang nabali kamot ko sang natumba gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ko sang natumba gid ko,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ko sang natumba ko gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ko sang natumba man,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ko sang natumba na gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ku sang natumba gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ku sang natumba gid ko,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ku sang natumba ko gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ku sang natumba man,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali kamot ku sang natumba na gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali na kamot ko sang natumba gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali na kamot ko sang natumba gid ko,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali na kamot ko sang natumba ko gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali na kamot ko sang natumba man,hand fracture,hand_fracture,filipino,active
,bag-o lang nabali na kamot ko sang natumba na gid,hand fracture,hand_fracture,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nabunggo ku sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,vehicle_collision_with_head_bleeding,filipino,active
,bag-o lang nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ku pagkatapos natumba gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ku pagkatapos natumba gid ko,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ku pagkatapos natumba ko gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ku pagkatapos natumba man,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nagdugo ulo ku pagkatapos natumba na gid,head bleeding after fall,head_bleeding_after_fall,filipino,active
,bag-o lang nakuryente ko sang kuryente gid,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ko sang kuryente gid ko,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ko sang kuryente ko gid,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ko sang kuryente man,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ko sang kuryente na gid,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ku sang kuryente gid,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ku sang kuryente gid ko,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ku sang kuryente ko gid,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ku sang kuryente man,electrical injury,electrical_injury,filipino,active
,bag-o lang nakuryente ku sang kuryente na gid,electrical injury,electrical_injury,filipino,active
,bag-o lang nautod na tudlo ko sang makina gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod na tudlo ko sang makina gid ko,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod na tudlo ko sang makina ko gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod na tudlo ko sang makina man,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod na tudlo ko sang makina na gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ko sang makina gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ko sang makina gid ko,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ko sang makina ko gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ko sang makina man,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ko sang makina na gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ku sang makina gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ku sang makina gid ko,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ku sang makina ko gid,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ku sang makina man,amputated finger,amputated_finger,filipino,active
,bag-o lang nautod tudlo ku sang makina na gid,amputated finger,amputated_finger,filipino,active
,bag-o lang ubo ko kag ginahilanat gid,fever with cough,fever_with_cough,filipino,active
,bag-o lang ubo ko kag ginahilanat gid ko,fever with cough,fever_with_cough,filipino,active
,bag-o lang ubo ko kag ginahilanat ko gid,fever with cough,fever_with_cough,filipino,active
,bag-o lang ubo ko kag ginahilanat man,fever with cough,fever_with_cough,filipino,active
,bag-o lang ubo ko kag ginahilanat na gid,fever with cough,fever_with_cough,filipino,active
,bagoong allergy,shellfish allergy,shellfish_allergy,filipino,active
