id,patient_complaint_hiligaynon,normalized_symptom,english_translation,medical_term,body_system,urgency_level,alternative_spellings,possible_conditions,confidence_keywords
15,amuni gakurot akon dughan grabe gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
16,amuni gakurot akon dughan grabeh ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
17,amuni gapigos gid dughan ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
18,amuni gapigos gid dughan ko ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
19,amuni gapigos gid dughan ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
20,amuni grabe sakit dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
21,amuni grabe sakit dughan ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
22,amuni kusog tibok sang tagipusuon ko gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
23,amuni kusog tibok sang tagipusuon ko man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
24,amuni masakit akon dughan halin sang aga ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
25,amuni masakit akon dughan halin sang gabii man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
26,amuni masakit akon dughan kagapon gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
27,amuni masakit akon dughan karon man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
28,amuni masakit akon dughan pirmi ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
29,amuni masakit akon dughan subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
30,amuni masakit dibdib ko kagapon,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
31,amuni masakit dibdib ko kagapon subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
32,amuni masakit dibdib ko sige man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
33,amuni masakit dibdib ko since yesterday ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
34,amuni may ara ko chest pain gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
35,amuni may ara ko chest pain gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
36,amuni may ara ko chest pain ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
37,amuni may ara ko chest pain man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
38,amuni may ara ko chest pain subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
39,amuni may ginabatyag ko nga sakit sa dughan,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
40,amuni may ginabatyag ko nga sakit sa dughan ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
41,amuni may ginabatyag ko nga sakit sa dughan gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
42,amuni may ginabatyag ko nga sakit sa dughan man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
43,basin chest pain gid ko subong gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
44,basin chest pain gid ko subong ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
45,basin chest pain gid ko subong man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
46,basin chest pain gid ko subong na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
47,basin chest pain gid ko subong subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
48,basin daw ginapigos akon dughan,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
49,basin daw ginapigos akon dughan gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
50,basin daw ginapigos akon dughan na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
51,basin daw ginapunaw ko tungod dughan gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
52,basin daw ginapunaw ko tungod dughan gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
53,basin daw ginapunaw ko tungod dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
54,basin daw ginapunaw ko tungod dughan subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
55,basin daw may pressure sa dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
56,basin daw may pressure sa dughan ko gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
57,basin daw may pressure sa dughan ko ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
58,basin daw may pressure sa dughan ko na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
59,basin gakurot akon dughan grabeh gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
60,basin gakurot akon dughan grabeh na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
61,basin gakurot akon dughan sing malala subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
62,basin gakurot akon dughan sobra subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
63,basin gapigos gid dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
64,basin gapigos gid dughan ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
65,basin gapigos gid dughan ko gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
66,basin gapigos gid dughan ko na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
67,basin grabe sakit dughan ko gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
68,basin grabe sakit dughan ko gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
69,basin grabe sakit dughan ko man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
70,basin grabe sakit dughan ko na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
71,basin grabe sakit dughan ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
72,basin kusog tibok sang tagipusuon ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
73,basin kusog tibok sang tagipusuon ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
74,basin kusog tibok sang tagipusuon ko gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
75,basin kusog tibok sang tagipusuon ko man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
76,basin kusog tibok sang tagipusuon ko na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
77,basin masakit akon dughan karon gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
78,basin masakit akon dughan sige ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
79,basin masakit akon dughan sige subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
80,basin masakit akon dughan subong ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
81,basin masakit akon dughan subong gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
82,basin masakit dibdib ko halin sang aga gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
83,basin masakit dibdib ko halin sang gabii ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
84,basin masakit dibdib ko kagapon man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
85,basin masakit dibdib ko karon na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
86,basin masakit dibdib ko sige,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
87,basin masakit dibdib ko sige gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
88,basin masakit dibdib ko since yesterday gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
89,basin may ara ko chest pain,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
90,basin may ara ko chest pain gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
91,basin may ara ko chest pain gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
92,basin may ara ko chest pain na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
93,basin may ara ko chest pain subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
94,basin may ginabatyag ko nga sakit sa dughan,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
95,basin may ginabatyag ko nga sakit sa dughan gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
96,basin may ginabatyag ko nga sakit sa dughan man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
97,basin may ginabatyag ko nga sakit sa dughan subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
98,chest pain gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
99,chest pain gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
100,Chest pain gid ko gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
101,Chest pain gid ko gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
102,Chest pain gid ko gid ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
103,Chest pain gid ko ko since yesterday,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
104,Chest pain gid ko ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
105,chest pain gid ko subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
106,chest pain gid ko subong gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
107,chest pain gid ko subong gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
108,chest pain gid ko subong subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
109,chest pain ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
110,chest pain subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
111,complain ko kay chest pain gid ko subong man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
112,complain ko kay chest pain gid ko subong na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
