hiligaynon_term,english_term,medical_category,severity,triage_level,status
gahubag lawas kag gakatol bayag akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kipay ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kipay akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol mata ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol mata akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol baba ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol baba akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol dila ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol dila akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol liog ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol liog akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol siko ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol siko akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tiil ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tiil akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol lasi ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol lasi akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kuko ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kuko akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol hita ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol hita akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol titi ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol titi akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ari ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ari akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ulo ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ulo akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol talukap mata ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol talukap mata akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol bukongbukong ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol bukongbukong akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kilid mata ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kilid mata akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol dalunggan ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol dalunggan akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ngabil ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ngabil akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol dughan ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol dughan akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol pisngi ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol pisngi akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tungod ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tungod akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol singit ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol singit akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ilong ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ilong akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol abaga ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol abaga akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tiyan ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tiyan akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol likod ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol likod akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kamot ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kamot akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tudlo ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tudlo akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tuhod ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tuhod akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol itlog ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol itlog akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol bilat ko,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas ko kag gakatol bilat akon,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas ko kag gakatol bilad ko,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas ko kag gakatol bilad akon,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas ko kag gakatol ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol bayag ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol bayag akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kipay ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kipay akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol mata ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol mata akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol baba ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol baba akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol dila ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol dila akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol liog ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol liog akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol siko ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol siko akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tiil ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol tiil akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol lasi ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol lasi akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kuko ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol kuko akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol hita ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol hita akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol titi ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol titi akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ari ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ari akon,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ulo ko,body swelling,allergy,Severe,emergency,active
gahubag lawas ko kag gakatol ulo akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko talukap mata ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko talukap mata akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bukongbukong ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bukongbukong akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kilid mata ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kilid mata akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko dalunggan ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko dalunggan akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ngabil ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ngabil akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko dughan ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko dughan akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko pisngi ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko pisngi akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tungod ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tungod akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko singit ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko singit akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ilong ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ilong akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko abaga ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko abaga akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tiyan ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tiyan akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko likod ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko likod akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kamot ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kamot akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tudlo ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tudlo akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tuhod ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tuhod akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko itlog ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko itlog akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bilat ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bilat akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bilad ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bilad akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bayag ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko bayag akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kipay ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kipay akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko mata ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko mata akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko baba ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko baba akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko dila ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko dila akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko liog ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko liog akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko siko ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko siko akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tiil ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko tiil akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko lasi ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko lasi akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kuko ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko kuko akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko hita ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko hita akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko titi ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko titi akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ari ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ari akon,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ulo ko,body swelling,allergy,Severe,emergency,active
gahubag kag gakatol lawas ko ulo akon,body swelling,allergy,Severe,emergency,active
nabunggo ko sa salakyan talukap mata ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan talukap mata akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bukongbukong ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bukongbukong akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kilid mata ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kilid mata akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan dalunggan ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan dalunggan akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ngabil ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ngabil akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan dughan ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan dughan akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan pisngi ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan pisngi akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tungod ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tungod akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan singit ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan singit akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ilong ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ilong akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan abaga ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan abaga akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tiyan ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tiyan akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan likod ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan likod akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kamot ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kamot akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tudlo ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tudlo akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tuhod ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tuhod akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan itlog ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan itlog akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bilat ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bilat akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bilad ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bilad akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan lawas ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan lawas akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bayag ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan bayag akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kipay ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kipay akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan mata ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan mata akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan baba ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan baba akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan dila ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan dila akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan liog ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan liog akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan siko ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan siko akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tiil ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan tiil akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan lasi ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan lasi akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kuko ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan kuko akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan hita ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan hita akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan titi ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan titi akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ari ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ari akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ulo ko,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan ulo akon,vehicle collision,trauma,Critical,emergency,active
nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active
nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active
naaksidente ko,vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kilid mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kilid mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan dalunggan ko,ear vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan dalunggan akon,ear vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ngabil ko,lip vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ngabil akon,lip vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan dughan ko,chest vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan dughan akon,chest vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan pisngi ko,cheek vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan pisngi akon,cheek vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tungod ko,throat vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tungod akon,throat vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan singit ko,groin vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan singit akon,groin vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ilong ko,nose vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ilong akon,nose vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan abaga ko,shoulder vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan abaga akon,shoulder vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tiyan ko,abdomen vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tiyan akon,abdomen vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan likod ko,back vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan likod akon,back vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kamot ko,hand vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kamot akon,hand vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tudlo ko,finger vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tudlo akon,finger vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tuhod ko,knee vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tuhod akon,knee vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan itlog ko,vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan itlog akon,vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bilat ko,vagina vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bilat akon,vagina vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bilad ko,vagina vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bilad akon,vagina vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan lawas ko,body vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan lawas akon,body vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bayag ko,scrotum vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan bayag akon,scrotum vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kipay ko,vulva vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kipay akon,vulva vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan mata ko,eye vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan mata akon,eye vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan baba ko,chin vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan baba akon,chin vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan dila ko,tongue vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan dila akon,tongue vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan liog ko,neck vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan liog akon,neck vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan siko ko,elbow vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan siko akon,elbow vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tiil ko,foot vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan tiil akon,foot vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan lasi ko,wound site vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan lasi akon,wound site vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kuko ko,nail vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan kuko akon,nail vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan hita ko,thigh vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan hita akon,thigh vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan titi ko,breast vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan titi akon,breast vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ari ko,penis vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ari akon,penis vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ulo ko,head vehicle collision injury,trauma,Critical,emergency,active
nabunggo sa salakyan ulo akon,head vehicle collision injury,trauma,Critical,emergency,active
naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active
