symptom_id,symptom_name,standardized_concept,category,language,local_term,status
123,Abdominal Aortic Dissection,abdominal_aortic_dissection,general,english,,active
124,Abdominal Aseptic Abscess,abdominal_aseptic_abscess,general,english,,active
125,Abdominal Aura,abdominal_aura,general,english,,active
126,Abdominal Bloating,abdominal_bloating,general,english,,active
127,Abdominal Colic,abdominal_colic,general,english,,active
128,Abdominal Cramps,abdominal_cramps,general,english,,active
129,Abdominal Distension,abdominal_distension,general,english,,active
130,Abdominal Distension (gaseous),abdominal_distension_(gaseous),general,english,,active
131,Abdominal Distention,abdominal_distention,general,english,,active
132,Abdominal Ectopia Cordis,abdominal_ectopia_cordis,general,english,,active
133,Abdominal Guarding,abdominal_guarding,general,english,,active
134,Abdominal Mass,abdominal_mass,general,english,,active
135,Abdominal Muscular Hypoplasia,abdominal_muscular_hypoplasia,general,english,,active
136,Abdominal Obesity,abdominal_obesity,general,english,,active
137,Abdominal Organ Duplication,abdominal_organ_duplication,general,english,,active
138,Abdominal Protuberance,abdominal_protuberance,general,english,,active
139,Abdominal Reflex Absent,abdominal_reflex_absent,general,english,,active
140,Abdominal Rigidity,abdominal_rigidity,general,english,,active
141,"Abdominal Rigidity, Unspecified Site","abdominal_rigidity,_unspecified_site",general,english,,active
142,Abdominal Situs Ambiguus,abdominal_situs_ambiguus,general,english,,active
143,Abdominal Situs Inversus,abdominal_situs_inversus,general,english,,active
144,Abdominal Swelling,abdominal_swelling,general,english,,active
145,Abdominal Symptom,abdominal_symptom,general,english,,active
146,"Abdominal Tenderness, Unspecified Site","abdominal_tenderness,_unspecified_site",general,english,,active
147,Abdominal Wall Defect,abdominal_wall_defect,general,english,,active
148,Abdominal Wall Mass,abdominal_wall_mass,general,english,,active
149,Abdominal Wall Muscle Weakness,abdominal_wall_muscle_weakness,general,english,,active
150,Abducens Nerve Palsy,abducens_nerve_palsy,general,english,,active
151,Abducens Nerve Paralysis,abducens_nerve_paralysis,general,english,,active
152,Abducens Nerve Paresis,abducens_nerve_paresis,general,english,,active
153,Abducens Palsy,abducens_palsy,general,english,,active
154,Abducted Thumb,abducted_thumb,general,english,,active
155,Abduction Contracture of the Shoulder,abduction_contracture_of_the_shoulder,general,english,,active
156,Aberrant Melanosome Maturation,aberrant_melanosome_maturation,general,english,,active
157,Aberrant Neuronal Branching,aberrant_neuronal_branching,general,english,,active
158,Aberrant Right Subclavian Artery,aberrant_right_subclavian_artery,general,english,,active
159,Aberrant Right Subclavian Artery Syndrome,aberrant_right_subclavian_artery_syndrome,general,english,,active
160,Aberrant Thyroid,aberrant_thyroid,general,english,,active
161,Aberrant Thyroid Gland,aberrant_thyroid_gland,general,english,,active
162,Abetalipoproteinemia,abetalipoproteinemia,general,english,,active
163,Ablepharon,ablepharon,general,english,,active
164,Ablepharon of Eyelid,ablepharon_of_eyelid,general,english,,active
165,Abn Cytolog Find in Specmn From Oth Female Genital Organs,abn_cytolog_find_in_specmn_from_oth_female_genital_organs,general,english,,active
166,Abn Cytolog Findings in Specmn From Oth Dgstv Org/abd Cav,abn_cytolog_findings_in_specmn_from_oth_dgstv_org/abd_cav,general,english,,active
167,"Abn Findings On Dx Imaging of Abd Regions, Inc Retroperiton","abn_findings_on_dx_imaging_of_abd_regions,_inc_retroperiton",general,english,,active
168,Abn Histolog Findings in Specmn From Female Genital Organs,abn_histolog_findings_in_specmn_from_female_genital_organs,general,english,,active
169,Abn Histolog Findings in Specmn From Male Genital Organs,abn_histolog_findings_in_specmn_from_male_genital_organs,general,english,,active
170,Abn Immunolog Findings in Specmn From Female Genital Organs,abn_immunolog_findings_in_specmn_from_female_genital_organs,general,english,,active
171,Abn Immunolog Findings in Specmn From Male Genital Organs,abn_immunolog_findings_in_specmn_from_male_genital_organs,general,english,,active
172,Abn Lev Drug/meds/biol Subst in Cerebrospinal Fluid,abn_lev_drug/meds/biol_subst_in_cerebrospinal_fluid,general,english,,active
173,Abn Lev Drug/meds/biol Subst in Specimens From Oth Org/tiss,abn_lev_drug/meds/biol_subst_in_specimens_from_oth_org/tiss,general,english,,active
174,Abn Lev Drug/meds/biol Subst in Specimens From Resp Org/thrx,abn_lev_drug/meds/biol_subst_in_specimens_from_resp_org/thrx,general,english,,active
175,Abn Lev Drug/meds/biol Subst in Specmn Fr Dgstv Org/abd Cav,abn_lev_drug/meds/biol_subst_in_specmn_fr_dgstv_org/abd_cav,general,english,,active
176,Abn Lev Drug/meds/biol Subst in Specmn From Fem Gntl Organs,abn_lev_drug/meds/biol_subst_in_specmn_from_fem_gntl_organs,general,english,,active
177,Abn Lev Drug/meds/biol Subst in Specmn From Male Gntl Organs,abn_lev_drug/meds/biol_subst_in_specmn_from_male_gntl_organs,general,english,,active
178,Abn Lev Enzymes in Specimens From Dgstv Org/abd Cav,abn_lev_enzymes_in_specimens_from_dgstv_org/abd_cav,general,english,,active
179,Abn Lev Enzymes in Specimens From Female Genital Organs,abn_lev_enzymes_in_specimens_from_female_genital_organs,general,english,,active
180,Abn Lev Enzymes in Specimens From Male Genital Organs,abn_lev_enzymes_in_specimens_from_male_genital_organs,general,english,,active
181,Abn Lev Hormones in Specimens From Dgstv Org/abd Cav,abn_lev_hormones_in_specimens_from_dgstv_org/abd_cav,general,english,,active
182,Abn Lev Hormones in Specimens From Female Genital Organs,abn_lev_hormones_in_specimens_from_female_genital_organs,general,english,,active
183,Abn Lev Hormones in Specimens From Male Genital Organs,abn_lev_hormones_in_specimens_from_male_genital_organs,general,english,,active
184,Abn Lev Substances Chiefly Nonmedicinal As to Source in CSF,abn_lev_substances_chiefly_nonmedicinal_as_to_source_in_csf,general,english,,active
185,Abn Lev Substnc Nonmed Source in Specmn Fr Dgstv Org/abd Cav,abn_lev_substnc_nonmed_source_in_specmn_fr_dgstv_org/abd_cav,general,english,,active
186,Abn Lev Substnc Nonmed Source in Specmn From Fem Gntl Organs,abn_lev_substnc_nonmed_source_in_specmn_from_fem_gntl_organs,general,english,,active
187,Abn Lev Substnc Nonmed Source in Specmn From Male Gntl Org,abn_lev_substnc_nonmed_source_in_specmn_from_male_gntl_org,general,english,,active
188,Abn Lev Substnc Nonmed Source in Specmn From Oth Org/tiss,abn_lev_substnc_nonmed_source_in_specmn_from_oth_org/tiss,general,english,,active
189,Abn Lev Substnc Nonmed Source in Specmn From Resp Org/thrx,abn_lev_substnc_nonmed_source_in_specmn_from_resp_org/thrx,general,english,,active
190,Abn Microbiolog Find in Specmn From Female Genital Organs,abn_microbiolog_find_in_specmn_from_female_genital_organs,general,english,,active
191,Abn Microbiolog Findings in Specmn From Dgstv Org/abd Cav,abn_microbiolog_findings_in_specmn_from_dgstv_org/abd_cav,general,english,,active
192,Abn Microbiolog Findings in Specmn From Male Genital Organs,abn_microbiolog_findings_in_specmn_from_male_genital_organs,general,english,,active
193,"Abn Radlgc Find On Dx Imaging Renal Pelv, Ureter, or Blddr","abn_radlgc_find_on_dx_imaging_renal_pelv,_ureter,_or_blddr",general,english,,active
194,Abn Radlgc Findings On Dx Imaging of Other Urinary Organs,abn_radlgc_findings_on_dx_imaging_of_other_urinary_organs,general,english,,active
195,Abn Results of Function Studies of Ear and Oth Sp Senses,abn_results_of_function_studies_of_ear_and_oth_sp_senses,general,english,,active
196,Abnormal 1st Metacarpal Morphology,abnormal_1st_metacarpal_morphology,general,english,,active
197,Abnormal 2nd Finger Morphology,abnormal_2nd_finger_morphology,general,english,,active
198,Abnormal 2nd Metacarpal Morphology,abnormal_2nd_metacarpal_morphology,general,english,,active
199,Abnormal 2nd Toe Morphology,abnormal_2nd_toe_morphology,general,english,,active
200,Abnormal 2nd Toe Phalanx Morphology,abnormal_2nd_toe_phalanx_morphology,general,english,,active
201,Abnormal 3rd Finger Morphology,abnormal_3rd_finger_morphology,general,english,,active
202,Abnormal 3rd Finger Phalanx Morphology,abnormal_3rd_finger_phalanx_morphology,general,english,,active
203,Abnormal 3rd Metacarpal Epiphysis Morphology,abnormal_3rd_metacarpal_epiphysis_morphology,general,english,,active
204,Abnormal 3rd Metacarpal Morphology,abnormal_3rd_metacarpal_morphology,general,english,,active
205,Abnormal 3rd Toe Morphology,abnormal_3rd_toe_morphology,general,english,,active
206,Abnormal 4th Finger Morphology,abnormal_4th_finger_morphology,general,english,,active
207,Abnormal 4th Finger Phalanx Morphology,abnormal_4th_finger_phalanx_morphology,general,english,,active
208,Abnormal 4th Metacarpal Epiphysis Morphology,abnormal_4th_metacarpal_epiphysis_morphology,general,english,,active
209,Abnormal 4th Metacarpal Morphology,abnormal_4th_metacarpal_morphology,general,english,,active
210,Abnormal 4th Toe Morphology,abnormal_4th_toe_morphology,general,english,,active
211,Abnormal 5th Finger Morphology,abnormal_5th_finger_morphology,general,english,,active
212,Abnormal 5th Finger Phalanx Morphology,abnormal_5th_finger_phalanx_morphology,general,english,,active
213,Abnormal 5th Metacarpal Epiphysis Morphology,abnormal_5th_metacarpal_epiphysis_morphology,general,english,,active
214,Abnormal 5th Metacarpal Morphology,abnormal_5th_metacarpal_morphology,general,english,,active
215,Abnormal 5th Toe Morphology,abnormal_5th_toe_morphology,general,english,,active
216,Abnormal 6-hydroxypurine Phosphoribosyltransferase Level,abnormal_6-hydroxypurine_phosphoribosyltransferase_level,general,english,,active
217,Abnormal A-type Atrial Natriuretic Peptide Level,abnormal_a-type_atrial_natriuretic_peptide_level,general,english,,active
218,Abnormal Abdomen Morphology,abnormal_abdomen_morphology,general,english,,active
219,Abnormal Abdominal Wall Morphology,abnormal_abdominal_wall_morphology,general,english,,active
220,Abnormal Abducens Nerve Morphology,abnormal_abducens_nerve_morphology,general,english,,active
221,Abnormal Abeta 40 Level,abnormal_abeta_40_level,general,english,,active
222,Abnormal Absence of Menstruation,abnormal_absence_of_menstruation,general,english,,active
223,Abnormal Acetabulum Morphology,abnormal_acetabulum_morphology,general,english,,active
224,Abnormal Achilles Tendon Morphology,abnormal_achilles_tendon_morphology,general,english,,active
225,Abnormal Activity of Mitochondrial Respiratory Chain,abnormal_activity_of_mitochondrial_respiratory_chain,general,english,,active
226,Abnormal Adiponectin Level,abnormal_adiponectin_level,general,english,,active
227,Abnormal Adipose Tissue Morphology,abnormal_adipose_tissue_morphology,general,english,,active
228,Abnormal Adrenal Gland Position,abnormal_adrenal_gland_position,general,english,,active
229,Abnormal Adrenal Morphology,abnormal_adrenal_morphology,general,english,,active
230,Abnormal Affect,abnormal_affect,general,english,,active
231,Abnormal Affect Regulation,abnormal_affect_regulation,general,english,,active
232,Abnormal Alanine Levels in Cerebrospinal Fluid,abnormal_alanine_levels_in_cerebrospinal_fluid,general,english,,active
233,Abnormal Albumin Level,abnormal_albumin_level,general,english,,active
234,Abnormal Albumin Levels in Cerebrospinal Fluid,abnormal_albumin_levels_in_cerebrospinal_fluid,general,english,,active
235,Abnormal Alcohol Consumption,abnormal_alcohol_consumption,general,english,,active
236,Abnormal Aldolase Level,abnormal_aldolase_level,general,english,,active
237,Abnormal Alpha Granule Content,abnormal_alpha_granule_content,general,english,,active
238,Abnormal Alpha Granule Distribution,abnormal_alpha_granule_distribution,general,english,,active
239,Abnormal Alpha Granules,abnormal_alpha_granules,general,english,,active
240,Abnormal Alpha-aminobutyrate Levels in Cerebrospinal Fluid,abnormal_alpha-aminobutyrate_levels_in_cerebrospinal_fluid,general,english,,active
241,Abnormal Alveolar Epithelial Type II Cell Morphology,abnormal_alveolar_epithelial_type_ii_cell_morphology,general,english,,active
242,Abnormal Alveolar Macrophage Morphology,abnormal_alveolar_macrophage_morphology,general,english,,active
243,Abnormal Alveolar Ridge Morphology,abnormal_alveolar_ridge_morphology,general,english,,active
244,Abnormal Alveolar Type II Pneumocyte Morphology,abnormal_alveolar_type_ii_pneumocyte_morphology,general,english,,active
245,Abnormal Alveolar Volume,abnormal_alveolar_volume,general,english,,active
246,Abnormal Amino Acid Levels in Cerebrospinal Fluid,abnormal_amino_acid_levels_in_cerebrospinal_fluid,general,english,,active
247,Abnormal Amniotic Fluid,abnormal_amniotic_fluid,general,english,,active
248,Abnormal Amniotic Fluid Protein Concentration,abnormal_amniotic_fluid_protein_concentration,general,english,,active
249,Abnormal Amplitude of Dark-adapted Bright Flash Electroretinogram,abnormal_amplitude_of_dark-adapted_bright_flash_electroretinogram,general,english,,active
250,Abnormal Amplitude of Dark-adapted Dim Flash Electroretinogram,abnormal_amplitude_of_dark-adapted_dim_flash_electroretinogram,general,english,,active
251,Abnormal Amplitude of Flash Visual Evoked Potentials,abnormal_amplitude_of_flash_visual_evoked_potentials,general,english,,active
252,Abnormal Amplitude of Light-adapted Flicker Electroretinogram,abnormal_amplitude_of_light-adapted_flicker_electroretinogram,general,english,,active
253,Abnormal Amplitude of Light-adapted Single Flash Electroretinogram,abnormal_amplitude_of_light-adapted_single_flash_electroretinogram,general,english,,active
254,Abnormal Amplitude of Pattern Electroretinogram,abnormal_amplitude_of_pattern_electroretinogram,general,english,,active
255,Abnormal Amplitude of Pattern Onset/offset VEP,abnormal_amplitude_of_pattern_onset/offset_vep,general,english,,active
256,Abnormal Amplitude of Pattern Onset/offset Visual Evoked Potentials,abnormal_amplitude_of_pattern_onset/offset_visual_evoked_potentials,general,english,,active
257,Abnormal Amplitude of Pattern Reversal Visual Evoked Potentials,abnormal_amplitude_of_pattern_reversal_visual_evoked_potentials,general,english,,active
258,Abnormal Amsler Grid Test,abnormal_amsler_grid_test,general,english,,active
259,Abnormal Amygdala Morphology,abnormal_amygdala_morphology,general,english,,active
260,Abnormal Amyloid Beta 40 Peptide CSF Concentration,abnormal_amyloid_beta_40_peptide_csf_concentration,general,english,,active
261,Abnormal Amyloid Beta 42 Peptide CSF Concentration,abnormal_amyloid_beta_42_peptide_csf_concentration,general,english,,active
262,Abnormal Amyloid Beta Peptide CSF Concentration,abnormal_amyloid_beta_peptide_csf_concentration,general,english,,active
263,Abnormal Anatomic Location of the Heart,abnormal_anatomic_location_of_the_heart,general,english,,active
264,Abnormal Ankle Bones,abnormal_ankle_bones,general,english,,active
265,Abnormal Ankle Morphology,abnormal_ankle_morphology,general,english,,active
266,Abnormal Ankle Physiology,abnormal_ankle_physiology,general,english,,active
267,Abnormal Antehelix,abnormal_antehelix,general,english,,active
268,Abnormal Anterior Chamber Morphology,abnormal_anterior_chamber_morphology,general,english,,active
269,Abnormal Anterior Cricoarytenoid Muscle Morphology,abnormal_anterior_cricoarytenoid_muscle_morphology,general,english,,active
270,Abnormal Anterior Eye Segment Morphology,abnormal_anterior_eye_segment_morphology,general,english,,active
271,Abnormal Anterior Fontanelle Morphology,abnormal_anterior_fontanelle_morphology,general,english,,active
272,Abnormal Anterior Horn Cell Morphology,abnormal_anterior_horn_cell_morphology,general,english,,active
273,Abnormal Anterior Segment Morphology,abnormal_anterior_segment_morphology,general,english,,active
274,Abnormal Anterior Semicircular Canal Morphology,abnormal_anterior_semicircular_canal_morphology,general,english,,active
275,Abnormal Anteroposterior Retina Thickness On OCT,abnormal_anteroposterior_retina_thickness_on_oct,general,english,,active
276,Abnormal Anthelix,abnormal_anthelix,general,english,,active
277,Abnormal Antihelix,abnormal_antihelix,general,english,,active
278,Abnormal Antihelix Morphology,abnormal_antihelix_morphology,general,english,,active
279,Abnormal Antimullerian Hormone Level,abnormal_antimullerian_hormone_level,general,english,,active
280,Abnormal Antitragus Morphology,abnormal_antitragus_morphology,general,english,,active
281,Abnormal Antral Follicle Count,abnormal_antral_follicle_count,general,english,,active
282,Abnormal Anus Morphology,abnormal_anus_morphology,general,english,,active
283,Abnormal Anus Physiology,abnormal_anus_physiology,general,english,,active
284,Abnormal Anus Position,abnormal_anus_position,general,english,,active
285,Abnormal Aorta Morphology,abnormal_aorta_morphology,general,english,,active
286,Abnormal Aortic Arch Morphology,abnormal_aortic_arch_morphology,general,english,,active
287,Abnormal Aortic Morphology,abnormal_aortic_morphology,general,english,,active
288,Abnormal Aortic Physiology,abnormal_aortic_physiology,general,english,,active
289,Abnormal Aortic Valve Cusp Morphology,abnormal_aortic_valve_cusp_morphology,general,english,,active
290,Abnormal Aortic Valve Morphology,abnormal_aortic_valve_morphology,general,english,,active
291,Abnormal Aortic Valve Physiology,abnormal_aortic_valve_physiology,general,english,,active
292,Abnormal Apolipoprotein Level,abnormal_apolipoprotein_level,general,english,,active
293,Abnormal Apoptosis,abnormal_apoptosis,general,english,,active
294,Abnormal Appendicular Skeleton Morphology,abnormal_appendicular_skeleton_morphology,general,english,,active
295,Abnormal Arachnoid Mater Morphology,abnormal_arachnoid_mater_morphology,general,english,,active
296,Abnormal Arcuate Artery Endothelium Morphology,abnormal_arcuate_artery_endothelium_morphology,general,english,,active
297,Abnormal Arcuate Artery Intima/media Morphology,abnormal_arcuate_artery_intima/media_morphology,general,english,,active
298,Abnormal Arcuate Artery Lumen Morphology,abnormal_arcuate_artery_lumen_morphology,general,english,,active
299,Abnormal Arcuate Artery Morphology,abnormal_arcuate_artery_morphology,general,english,,active
300,Abnormal Arcuate Vein Intima/media Morphology,abnormal_arcuate_vein_intima/media_morphology,general,english,,active
301,Abnormal Arcuate Vein Lumen Morphology,abnormal_arcuate_vein_lumen_morphology,general,english,,active
302,Abnormal Arcuate Vein Morphology,abnormal_arcuate_vein_morphology,general,english,,active
303,Abnormal Areolar Morphology,abnormal_areolar_morphology,general,english,,active
304,Abnormal Arginine Levels in Cerebrospinal Fluid,abnormal_arginine_levels_in_cerebrospinal_fluid,general,english,,active
305,Abnormal Arm Span,abnormal_arm_span,general,english,,active
306,Abnormal Aromatase Activity,abnormal_aromatase_activity,general,english,,active
307,Abnormal Aromatic Amino Acid Levels in Cerebrospinal Fluid,abnormal_aromatic_amino_acid_levels_in_cerebrospinal_fluid,general,english,,active
308,Abnormal Arterial Physiology,abnormal_arterial_physiology,general,english,,active
309,Abnormal Aryepiglottic Fold Morphology,abnormal_aryepiglottic_fold_morphology,general,english,,active
310,Abnormal Aryepiglottic Folds,abnormal_aryepiglottic_folds,general,english,,active
311,Abnormal Ascending Aorta Morphology,abnormal_ascending_aorta_morphology,general,english,,active
312,Abnormal Aspartate-family Amino Acid Levels in Cerebrospinal Fluid,abnormal_aspartate-family_amino_acid_levels_in_cerebrospinal_fluid,general,english,,active
313,Abnormal Aspartic Acid Levels in Cerebrospinal Fluid,abnormal_aspartic_acid_levels_in_cerebrospinal_fluid,general,english,,active
314,Abnormal Astrocyte Morphology,abnormal_astrocyte_morphology,general,english,,active
315,Abnormal Atrial Arrangement,abnormal_atrial_arrangement,general,english,,active
316,Abnormal Atrial Septum Morphology,abnormal_atrial_septum_morphology,general,english,,active
317,Abnormal Atrioventricular Conduction,abnormal_atrioventricular_conduction,general,english,,active
318,Abnormal Atrioventricular Connection,abnormal_atrioventricular_connection,general,english,,active
319,Abnormal Atrioventricular Connexion,abnormal_atrioventricular_connexion,general,english,,active
320,Abnormal Atrioventricular Valve Morphology,abnormal_atrioventricular_valve_morphology,general,english,,active
321,Abnormal Atrioventricular Valve Physiology,abnormal_atrioventricular_valve_physiology,general,english,,active
322,Abnormal Auditory Canal Morphology,abnormal_auditory_canal_morphology,general,english,,active
323,Abnormal Auditory Evoked Potentials,abnormal_auditory_evoked_potentials,general,english,,active
324,Abnormal Auditory Function Study,abnormal_auditory_function_study,general,english,,active
