hiligaynon_term,english_term,medical_category,severity,triage_level,status
gadugo gid itlog ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ku,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ku gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlug ko ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog acun,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog acun gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog acun subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog gid ku,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ko ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ku,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlog ku gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug acun,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug acun gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug acun subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug gid ku,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ko ko gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ku,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo itlug ku gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gahabok acun itlog,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok acun itlog ko,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok acun itlug,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok acun itlug ko,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon ari,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon ari ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon ary,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon ary ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon bayag,scrotal swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon bilad,vaginal swelling,female_reproductive_symptom,Moderate,urgent,active
gahabok akon bilad ko,vaginal swelling,female_reproductive_symptom,Moderate,urgent,active
gahabok akon bilat,vaginal swelling,female_reproductive_symptom,Moderate,urgent,active
gahabok akon bilat ko,vaginal swelling,female_reproductive_symptom,Moderate,urgent,active
gahabok akon itlog,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon itlog,swollen testicle,male_reproductive_symptom,Moderate,urgent,active
gahabok akon itlog ko,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon itlog ku,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon itlug,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon itlug ko,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon itlug ku,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok akon singit,groin swelling,musculoskeletal,Moderate,urgent,active
gahabok ari ako,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari akon,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari akon gid,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari akon subong,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari gid ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko ako,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko akon,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko akon gid,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko akon subong,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko gid,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko gid ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ari ko ko gid,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ary ako,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ary akon,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ary akon gid,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ary akon subong,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ary gid ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ary ko,penile swelling,male_reproductive_symptom,Moderate,urgent,active
gahabok ary ko ako,penile swelling,male_reproductive_symptom,Moderate,urgent,active
